hole_id,project,prospect,hole_type,east,north,rl,azimuth,dip,start_depth_m,total_depth_m,start_date,end_date,status,lease,company,supervisor,remarks,edited_date,crs,hole_id_raw
CRS01,YMBT,Copper Ridge,DD,725246.53,5150635.39,2004.34,180.0,-60.0,0.0,52.7,8/19/2024,8/29/2024,Not accepted,XV-20515,,Mendbileg,DH did not accepted,10/25/2024,WGS84 / UTM zone 46N (EPSG:32646),CRS01
CRS01A,YMBT,Copper Ridge,DD,725237.26,5150570.09,1990.94,30.0,-70.0,0.0,200.5,8/29/2024,9/10/2024,Completed,XV-20515,,Enkhbayasgalan,,10/25/2024,WGS84 / UTM zone 46N (EPSG:32646),CRS01A
OVD001,YMBT,OVAL,DD,721959.82,5144522.27,1837.0,260.0,-60.0,0.0,93.4,7/15/2023,7/15/2023,Completed,XV-20516,,Batkhurel,,10/25/2024,WGS84 / UTM zone 46N (EPSG:32646),OVD001
OVD002,YMBT,OVAL,DD,722011.84,5144334.01,1835.87,0.0,-90.0,0.0,167.5,7/15/2023,7/15/2023,Completed,XV-20517,,Batkhurel,,10/25/2024,WGS84 / UTM zone 46N (EPSG:32646),OVD002
OVD003,YMBT,OVAL,DD,722024.96,5144147.09,1847.09,60.0,-60.0,0.0,209.5,7/15/2023,7/15/2023,Completed,XV-20518,,Batkhurel,,10/25/2024,WGS84 / UTM zone 46N (EPSG:32646),OVD003
OVD004,YMBT,OVAL,DD,721954.61,5144510.72,1837.18,215.0,-62.0,0.0,94.5,7/15/2023,7/15/2023,Completed,XV-20519,,Batkhurel,,10/25/2024,WGS84 / UTM zone 46N (EPSG:32646),OVD004
OVD005,YMBT,OVAL,DD,722019.75,5144331.43,1836.06,60.0,-60.0,0.0,101.5,7/15/2023,7/15/2023,Completed,XV-20520,,Batkhurel,,10/25/2024,WGS84 / UTM zone 46N (EPSG:32646),OVD005
OVD006,YMBT,OVAL,DD,721978.08,5144520.35,1835.8,275.0,-60.0,0.0,56.5,7/15/2023,7/15/2023,Completed,XV-20521,,Batkhurel,,10/25/2024,WGS84 / UTM zone 46N (EPSG:32646),OVD006
OVD007,YMBT,OVAL,DD,722016.71,5144416.86,1835.48,240.0,-60.0,0.0,100.7,7/15/2023,7/15/2023,Completed,XV-20522,,Batkhurel,,10/25/2024,WGS84 / UTM zone 46N (EPSG:32646),OVD007
OVD008,YMBT,OVAL,DD,722102.84,5144249.78,1840.96,240.0,-70.0,0.0,110.5,7/15/2023,7/15/2023,Completed,XV-20523,,Batkhurel,,10/25/2024,WGS84 / UTM zone 46N (EPSG:32646),OVD008
OVD009,YMBT,OVAL,DD,722162.29,5144172.01,1847.47,240.0,-78.0,0.0,240.0,7/15/2023,7/15/2023,Completed,XV-20524,,Batkhurel,,10/25/2024,WGS84 / UTM zone 46N (EPSG:32646),OVD009
OVD010,YMBT,OVAL,DD,722252.68,5144221.89,1856.54,240.0,-65.0,0.0,349.8,7/7/2024,7/18/2024,Completed,XV-20515,,Otgonjargal,,10/25/2024,WGS84 / UTM zone 46N (EPSG:32646),OVD010
OVD011,YMBT,OVAL,DD,722147.92,5144268.65,1843.87,235.0,-65.0,0.0,235.6,7/14/2024,7/21/2024,Completed,XV-20515,,Otgonjargal,"Due to collapse hole was unable to drill further, hole was saved to drill in NQ",10/25/2024,WGS84 / UTM zone 46N (EPSG:32646),OVD011
OVD012,YMBT,OVAL,DD,722135.08,5144173.45,1845.0,174.0,-65.0,0.0,354.3,8/5/2024,8/14/2024,Completed,XV-20515,,Batkhurel,,10/25/2024,WGS84 / UTM zone 46N (EPSG:32646),OVD012
OVD013,YMBT,OVAL,DD,722118.51,5144197.85,1843.33,240.0,-78.0,0.0,161.15,9/12/2024,9/15/2024,Completed,XV-20515,,Batkhurel,,10/25/2024,WGS84 / UTM zone 46N (EPSG:32646),OVD013
