sample_id,desc_id,raw_sample_id,raw_hole_id,raw_depth,source_file,analyst_or_lab,report_date,language,rock_name,rock_name_original,texture,minerals_json,alteration,opaque_minerals,description_text,join_method,qa_notes
40579,D0001,40579,OVD-004,36m,Yambat_petrography_samples_2022-2024_from_Core___grab__Petrography_bichiglel_table.csv,Mireslab,,en,Amphibole micro-gabbro,,"Hollocrystalline, Ophitic","{""rock_forming"": ""Pl, Amph""}","Ser, Chl",,Microscope rock name: Amph Gabbro,tag,
40605,D0002,40605,OVD-004,91m,Yambat_petrography_samples_2022-2024_from_Core___grab__Petrography_bichiglel_table.csv,Mireslab,,en,Amphibole-orthoperoxene micro-gabbro,,"hollocrystalline, ophitic","{""rock_forming"": ""Pl, Amph,""}",,,Microscope rock name: Amph-Opx Gabbro,tag,
40574,D0003,40574,OVD-004,28m,Yambat_petrography_samples_2022-2024_from_Core___grab__Petrography_bichiglel_table.csv,Mireslab,,en,Oxidized Amphibole gabbro,,"Hollocrystalline, Ophitic","{""rock_forming"": ""Pl, Amph""}","Ser, Chl","Hem, Geothite,",Microscope rock name: Amph Gabbro,tag,
40635,D0004,40635,OVD-005,53m,Yambat_petrography_samples_2022-2024_from_Core___grab__Petrography_bichiglel_table.csv,Mireslab,,en,Amphibole micro-gabbro,,"Hollocrystalline, Ophitic","{""rock_forming"": ""Pl, Amph""}","ser, carb",,Microscope rock name: Amph Gabbro,tag,
40645,D0005,40645,OVD-005,71m,Yambat_petrography_samples_2022-2024_from_Core___grab__Petrography_bichiglel_table.csv,Mireslab,,en,Amphibole gabbro,,"Hollocrystalline, Ophitic","{""rock_forming"": ""Pl, Amph""}","ser, calc, chl","Po,Py,Cpy, Pn",Microscope rock name: Amph Gabbro,tag,
40715,D0006,40715,OVD-007,98.2,Yambat_petrography_samples_2022-2024_from_Core___grab__Petrography_bichiglel_table.csv,Mireslab,,en,Shale (weak schistosity),,"Pelitic, schistous",,,Py,Microscope rock name: Schistous shale,tag,
40628,D0007,40628,OVD-005,40.5m,Yambat_petrography_samples_2022-2024_from_Core___grab__Petrography_bichiglel_table.csv,Mireslab,,en,Amphibole gabbro,,"Hollocrystalline, ophitic","{""rock_forming"": ""Pl, Amph""}","Ser, calc","Cpy, Py, Ni-Pyrite, Pn, Ag-Te mineral, Ni-bearing anglesite?",Microscope rock name: Amph Gabbro,tag,
40530,D0008,40530,OVD-003,157.5m,Yambat_petrography_samples_2022-2024_from_Core___grab__Petrography_bichiglel_table.csv,Mireslab,,en,Amphibole micro-gabbro,,Hollocrystalline,"{""rock_forming"": ""Pl, Amph""}",ser,,Microscope rock name: Amph Gabbro,tag,
40899,D0009,40899,OVD-001,15.5m,Yambat_petrography_samples_2022-2024_from_Core___grab__Petrography_bichiglel_table.csv,Oyunjargal,,en,Pelitic rock (weak schistosity),,Schistous,,,,Microscope rock name: Phyllite,tag,
40900,D0010,40900,OVD-001,56.8m,Yambat_petrography_samples_2022-2024_from_Core___grab__Petrography_bichiglel_table.csv,Mireslab,,en,Altered fine-meduim grained biotite-amphibole gabbro,,Hypidiomorph,"{""rock_forming"": ""Alt Pl-45-50%, Amph-30%, Bt-10-15%, Px-5% Ol-few""}",Serp-Act-Soss-Bt-Chl-Ser-Carb,Py-Cu-Geoth-Lim,The rock is strongly altered. Hb is strongly replaced by Bt. Px and Ol are partially replaced by Amph | Microscope rock name: Bt-Amph Gabbro,tag,
40901,D0011,40901,OVD-002,20.4m,Yambat_petrography_samples_2022-2024_from_Core___grab__Petrography_bichiglel_table.csv,Oyunjargal,,en,Oxidized Amphibole gabbro,,Hollocrystalline,"{""rock_forming"": ""Pl, Amph""}","Ser,Chl,Epi,Calc",,Microscope rock name: Amph Gabbro,tag,
40902,D0012,40902,OVD-002,87.4m,Yambat_petrography_samples_2022-2024_from_Core___grab__Petrography_bichiglel_table.csv,Mireslab,,en,Pelitic rock,,massive,,,,Microscope rock name: Phyllite,tag,
40903,D0013,40903,OVD-001,7.15m,Yambat_petrography_samples_2022-2024_from_Core___grab__Petrography_bichiglel_table.csv,Mireslab,,en,Gossan (Iron oxide-calcite-quartz. The original lithofacies are not identification.),,,,,,Microscope rock name: Gossan,tag,
40904,D0014,40904,OVD-002,44.2m,Yambat_petrography_samples_2022-2024_from_Core___grab__Petrography_bichiglel_table.csv,Mireslab,,en,,,"Hollocrystalline, Ophitic","{""rock_forming"": ""Pl, Amph""}","Ser,Chl","Py,Cpy",,tag,
40905,D0015,40905,OVD-001,35.8m,Yambat_petrography_samples_2022-2024_from_Core___grab__Petrography_bichiglel_table.csv,Mireslab,,en,Strong altered diabase,,,,Strong sericite,,Microscope rock name: Spotted,tag,
