hole_id_raw,hole_id_norm,changed,seen_in
BS001,BS001,0,BayanSair_Drilling Sample Petrography_12 Sample.docx; Collar_all_combined; Survey_all_YMB; Yambat_Petrographic_Master_Data__All.csv
CRS01,CRS01,0,Collar_all_combined; Survey_all_YMB
CRS01A,CRS01A,0,Collar_all_combined; English 41 Petrographic and Mineragraphic description.docx; English Petrographic and Mineragraphic Descriptions. 6.docx; English Petrographic and Mineragraphic description. 15.docx (Innova Mineral); Survey_all_YMB; Yambat_Petrographic_Master_Data__All.csv; Yambat_Petrographic_Master_Data__All.csv (interval label); Yambat_petrography_samples_2022-2024_from_Core___grab__Petrography_bichiglel_table.csv; Yambat_petrography_samples_2022-2024_from_Core___grab__Samples_to_Japan.csv; Yambat_petrography_samples_2022-2024_from_Core___grab__Sheet3.csv
CRS02,CRS02,0,Collar_all_combined; Survey_all_YMB; Yambat_Petrographic_Master_Data__All.csv
CRS03,CRS03,0,Collar_all_combined; Survey_all_YMB; Yambat_Petrographic_Master_Data__All.csv
CRS04,CRS04,0,Collar_all_combined; Survey_all_YMB
CRSO1A,CRS01A,1,
MU2501,MU2501,0,Collar_all_combined; Survey_all_YMB
MU2502,MU2502,0,Collar_all_combined; Survey_all_YMB
OVD-001,OVD001,1,Drillhole Petrograph_2023__Sheet1.csv; Petrograph_2023__Sheet1.csv; Petrograph_MIRESL20230816_summary__Summary Table.csv; Suggested_Petro_for_the_Oval_2024__Sheet1.csv; Yambat_petrography_samples_2022-2024_from_Core___grab__Petrography_bichiglel_table.csv; missing_sources: Report20231124.docx; missing_sources: Report_20230816_Part1.pdf + Report_20230
OVD-002,OVD002,1,Drillhole Petrograph_2023__Sheet1.csv; Petrograph_2023__Sheet1.csv; Petrograph_MIRESL20230816_summary__Summary Table.csv; Suggested_Petro_for_the_Oval_2024__Sheet1.csv; Yambat_petrography_samples_2022-2024_from_Core___grab__Petrography_bichiglel_table.csv; missing_sources: Report_20230816_Part1.pdf + Report_20230
OVD-003,OVD003,1,Drillhole Petrograph_2023__Sheet1.csv; Petrograph_2023__Sheet1.csv; Petrograph_MIRESL20230816_summary__Summary Table.csv; Suggested_Petro_for_the_Oval_2024__Sheet1.csv; Yambat_petrography_samples_2022-2024_from_Core___grab__Petrography_bichiglel_table.csv; missing_sources: Report_20230816_Part1.pdf + Report_20230
OVD-004,OVD004,1,Drillhole Petrograph_2023__Sheet1.csv; Petrograph_2023__Sheet1.csv; Petrograph_MIRESL20230816_summary__Summary Table.csv; Yambat_petrography_samples_2022-2024_from_Core___grab__Petrography_bichiglel_table.csv; missing_sources: Report_20230816_Part1.pdf + Report_20230
OVD-005,OVD005,1,Drillhole Petrograph_2023__Sheet1.csv; Petrograph_2023__Sheet1.csv; Petrograph_MIRESL20230816_summary__Summary Table.csv; Suggested_Petro_for_the_Oval_2024__Sheet1.csv; Yambat_petrography_samples_2022-2024_from_Core___grab__Petrography_bichiglel_table.csv; missing_sources: Report_20230816_Part1.pdf + Report_20230
OVD-007,OVD007,1,Drillhole Petrograph_2023__Sheet1.csv; Petrograph_2023__Sheet1.csv; Petrograph_MIRESL20230816_summary__Summary Table.csv; Suggested_Petro_for_the_Oval_2024__Sheet1.csv; Yambat_petrography_samples_2022-2024_from_Core___grab__Petrography_bichiglel_table.csv; missing_sources: Report_20230816_Part1.pdf + Report_20230
OVD-008,OVD008,1,Drillhole Petrograph_2023__Sheet1.csv; Petrograph_2023__Sheet1.csv; Suggested_Petro_for_the_Oval_2024__Sheet1.csv; Yambat_petrography_samples_2022-2024_from_Core___grab__Petrography_bichiglel_table.csv; missing_sources: Report20231124.docx
OVD-009,OVD009,1,"15ш пет-мин бичиглэл. 09.02. (2 петрографи, 13 пет-мин бичиглэл) (1).docx; Drillhole Petrograph_2023__Sheet1.csv; Petrograph_2023__Sheet1.csv; Petrograph_MIRESL20230816_summary__Summary Table.csv; Suggested_Petro_for_the_Oval_2024__Sheet1.csv; Yambat_petrography_samples_2022-2024_from_Core___grab__Petrography_bichiglel_table.csv; missing_sources: Report_20230816_Part1.pdf + Report_20230"
OVD-11,OVD011,1,
OVD-21,OVD021,1,
OVD001,OVD001,0,2023-06-20-3 thin sections.pdf; Collar_all_combined; Survey_all_YMB; Yambat_Petrographic_Master_Data__All.csv; missing_sources: BE-3 samples in English.pdf (Results of 
OVD002,OVD002,0,Asian Battery Metals March 2025 The Oval Summary Report.pdf; Collar_all_combined; Survey_all_YMB; Yambat_Petrographic_Master_Data__All.csv
OVD003,OVD003,0,Asian Battery Metals March 2025 The Oval Summary Report.pdf; Collar_all_combined; Survey_all_YMB; Yambat_Petrographic_Master_Data__All.csv; Петрограф008.docx
OVD004,OVD004,0,Collar_all_combined; Survey_all_YMB; Yambat_Petrographic_Master_Data__All.csv
OVD005,OVD005,0,Asian Battery Metals March 2025 The Oval Summary Report.pdf; Collar_all_combined; Survey_all_YMB; Yambat_Petrographic_Master_Data__All.csv; Петрограф008.docx
OVD006,OVD006,0,Collar_all_combined; Survey_all_YMB
OVD007,OVD007,0,Asian Battery Metals March 2025 The Oval Summary Report.pdf; Collar_all_combined; Survey_all_YMB; Yambat_Petrographic_Master_Data__All.csv; Петрограф008.docx
OVD008,OVD008,0,2023-06-20-3 thin sections.pdf; Asian Battery Metals March 2025 The Oval Summary Report.pdf; Collar_all_combined; Survey_all_YMB; Yambat_Petrographic_Master_Data__All.csv; missing_sources: BE-3 samples in English.pdf (Results of ; Петрограф008.docx
OVD008A,OVD008A,0,Survey_all_YMB
OVD008a,OVD008A,1,Collar_all_combined
OVD009,OVD009,0,"15ш пет-мин бичиглэл. 09.02. (2 петрографи, 13 пет-мин бичиглэл) (1).docx; Asian Battery Metals March 2025 The Oval Summary Report.pdf; Collar_all_combined; Survey_all_YMB; Yambat_Petrographic_Master_Data__All.csv; missing_sources: Petrography_mineragraphy_24 sample.pdf ("
OVD010,OVD010,0,Collar_all_combined; English 41 Petrographic and Mineragraphic description.docx; Survey_all_YMB; Yambat_Petrographic_Master_Data__All.csv; Yambat_Petrographic_Master_Data__All.csv (interval label); Yambat_petrography_samples_2022-2024_from_Core___grab__Petrography_bichiglel_table.csv; Yambat_petrography_samples_2022-2024_from_Core___grab__Sheet3.csv
OVD011,OVD011,0,Collar_all_combined; English 41 Petrographic and Mineragraphic description.docx; English Petrographic and Mineragraphic description. 15.docx (Innova Mineral); Survey_all_YMB; Yambat_Petrographic_Master_Data__All.csv; Yambat_Petrographic_Master_Data__All.csv (interval label); Yambat_petrography_samples_2022-2024_from_Core___grab__Petrography_bichiglel_table.csv; Yambat_petrography_samples_2022-2024_from_Core___grab__Sheet3.csv
OVD011E,OVD011E,0,Collar_all_combined; Survey_all_YMB
OVD012,OVD012,0,Collar_all_combined; Survey_all_YMB
OVD013,OVD013,0,Collar_all_combined; Survey_all_YMB
OVD013A,OVD013A,0,Collar_all_combined; Survey_all_YMB
OVD013E,OVD013E,0,Collar_all_combined; Survey_all_YMB
OVD014,OVD014,0,Collar_all_combined; Survey_all_YMB; Yambat_Petrographic_Master_Data__All.csv; Yambat_Petrographic_Master_Data__All.csv (interval label); Yambat_petrography_samples_2022-2024_from_Core___grab__Petrography_bichiglel_table.csv; Yambat_petrography_samples_2022-2024_from_Core___grab__Sheet3.csv
OVD015,OVD015,0,Collar_all_combined; English 41 Petrographic and Mineragraphic description.docx; Survey_all_YMB; Yambat_Petrographic_Master_Data__All.csv; Yambat_Petrographic_Master_Data__All.csv (interval label); Yambat_petrography_samples_2022-2024_from_Core___grab__Petrography_bichiglel_table.csv; Yambat_petrography_samples_2022-2024_from_Core___grab__Sheet3.csv
OVD016,OVD016,0,Collar_all_combined; Survey_all_YMB
OVD017,OVD017,0,Collar_all_combined; Survey_all_YMB
OVD018,OVD018,0,Collar_all_combined; Survey_all_YMB
OVD019,OVD019,0,Collar_all_combined; Survey_all_YMB
OVD020,OVD020,0,Collar_all_combined; Survey_all_YMB; Yambat_Petrographic_Master_Data__All.csv; Yambat_Petrographic_Master_Data__All.csv (interval label); Yambat_petrography_samples_2022-2024_from_Core___grab__Petrography_bichiglel_table.csv; Yambat_petrography_samples_2022-2024_from_Core___grab__Sheet3.csv
OVD021,OVD021,0,Asian Battery Metals March 2025 The Oval Summary Report.pdf; Collar_all_combined; Survey_all_YMB; Yambat_Petrographic_Master_Data__All.csv
OVD022,OVD022,0,Collar_all_combined; Survey_all_YMB; Yambat_Petrographic_Master_Data__All.csv; Yambat_Petrographic_Master_Data__All.csv (interval label); Yambat_petrography_samples_2022-2024_from_Core___grab__2024_Phase_2_Drilling.csv; Yambat_petrography_samples_2022-2024_from_Core___grab__Petrography_bichiglel_table.csv
OVD023,OVD023,0,Collar_all_combined; Survey_all_YMB; Yambat_Petrographic_Master_Data__All.csv; Yambat_Petrographic_Master_Data__All.csv (interval label); Yambat_petrography_samples_2022-2024_from_Core___grab__2024_Phase_2_Drilling.csv; Yambat_petrography_samples_2022-2024_from_Core___grab__Petrography_bichiglel_table.csv
OVD024,OVD024,0,Collar_all_combined; Survey_all_YMB; Yambat_Petrographic_Master_Data__All.csv; Yambat_Petrographic_Master_Data__All.csv (interval label); Yambat_petrography_samples_2022-2024_from_Core___grab__2024_Phase_2_Drilling.csv; Yambat_petrography_samples_2022-2024_from_Core___grab__Petrography_bichiglel_table.csv
OVD025,OVD025,0,Collar_all_combined; Survey_all_YMB; Yambat_Petrographic_Master_Data__All.csv; Yambat_Petrographic_Master_Data__All.csv (interval label); Yambat_petrography_samples_2022-2024_from_Core___grab__2024_Phase_2_Drilling.csv; Yambat_petrography_samples_2022-2024_from_Core___grab__Petrography_bichiglel_table.csv
