lab_raw,lab_canonical,role,n_records
ABM field geologist (not named in the sheet),ABM field geologist (not named in the sheet),unresolved,54
Altantsetseg,Altantsetseg (ABM/Aventura in-house petrographer),ABM in-house,161
"Dr Anthony J Crawford, A & A Crawford Geological Research Consultants",Dr Anthony J Crawford (A & A Crawford Geological Research),consultant,40
Innova Mineral LLC,Innova Mineral LLC,commercial lab,15
Khanlab,Khanlab LLC (KhanAltai),commercial lab,48
L. Oyunjargal Ph.D (NUM); client Ragnarock Investment LLC; 9-page report. Mongolian-language twin: 'BE-3 samples in Mongolian.pdf' fileId 1POBc4Or0a4L_m33xSjb5WwJSULy7bb0X,National University of Mongolia (МУИС/NUM; L.Jargal PhD),university lab,3
MIRES,Mireslab Mongol LLC (MIRESL),commercial lab,22
MIRESL (Mireslab Mongol LLC),Mireslab Mongol LLC (MIRESL),commercial lab,23
"MUST (ШУТИС) Mineral Resource Research professor team — B.Enkhjargal (PhD), T.Oyunchimeg (PhD), N.Bolorchimeg (PhD), B.Altanzul (PhD); client: Ragnarok Investment LLC | N.Bolorchimeg",MUST — Mongolian University of Science & Technology (ШУТИС),university lab,2
"MUST (ШУТИС) Mineral Resource Research professor team — B.Enkhjargal (PhD), T.Oyunchimeg (PhD), N.Bolorchimeg (PhD), B.Altanzul (PhD); client: Ragnarok Investment LLC | N.Bolorchimeg (petro+minera+SEM)",MUST — Mongolian University of Science & Technology (ШУТИС),university lab,2
"MUST (ШУТИС) Mineral Resource Research professor team — B.Enkhjargal (PhD), T.Oyunchimeg (PhD), N.Bolorchimeg (PhD), B.Altanzul (PhD); client: Ragnarok Investment LLC | T.Oyunchimeg",MUST — Mongolian University of Science & Technology (ШУТИС),university lab,7
