rock_name_original,rock_group,rock_family,n_occurrences,seen_in
Gabbro,gabbro / gabbronorite / norite,mafic intrusive,96,samples.field_lithology; samples.iogas_lithology; samples.petro_lithology
Peridotite,peridotite / ultramafic,ultramafic,50,samples.field_lithology; samples.iogas_lithology; samples.petro_lithology
Gabbrodiorite,gabbrodiorite,mafic intrusive,42,descriptions.rock_name; samples.field_lithology; samples.iogas_lithology; samples.petro_lithology
Diorite,diorite / quartz diorite,felsic-intermediate intrusive,27,descriptions.rock_name; samples.field_lithology; samples.iogas_lithology; samples.petro_lithology
Gabbro mineralized,gabbro / gabbronorite / norite,mafic intrusive,26,samples.field_lithology
Peridodtite,peridotite / ultramafic,ultramafic,22,samples.petro_lithology
Olivine gabbro,olivine gabbro / melagabbro,mafic intrusive,19,descriptions.rock_name; samples.petro_lithology
Amphibole micro-gabbro,gabbro / gabbronorite / norite,mafic intrusive,16,descriptions.rock_name
Meta sediment,sediment / metasediment,sedimentary,16,samples.field_lithology; samples.petro_lithology
Spotted rock,hornfels / spotted rock,metamorphic,16,samples.field_lithology; samples.petro_lithology
Pyroxenite,peridotite / ultramafic,ultramafic,14,samples.field_lithology; samples.petro_lithology
Altered gabbrodiorite porphyry,gabbrodiorite,mafic intrusive,13,descriptions.rock_name; samples.petro_lithology
Amphibole gabbro,gabbro / gabbronorite / norite,mafic intrusive,12,descriptions.rock_name
Strong altered diabase,dolerite / diabase / basalt dyke,mafic intrusive,12,descriptions.rock_name
Siltstone,sediment / metasediment,sedimentary,11,samples.field_lithology; samples.petro_lithology
Gabbro Mineralized,gabbro / gabbronorite / norite,mafic intrusive,10,samples.field_lithology
Porphyritic fine grained pyroxene-hornblende gabbro (Altered gabbro porphyry),gabbro / gabbronorite / norite,mafic intrusive,10,descriptions.rock_name
gabbro,gabbro / gabbronorite / norite,mafic intrusive,10,samples.field_lithology
schist,schist / phyllite,metamorphic,10,samples.field_lithology; samples.petro_lithology
Dolerite,dolerite / diabase / basalt dyke,mafic intrusive,9,samples.field_lithology
Breccia,breccia / fault rock,metamorphic,8,samples.field_lithology; samples.petro_lithology
Hornblende peridotite,peridotite / ultramafic,ultramafic,8,descriptions.rock_name; samples.field_lithology
"Хүдэржиж, хувирсан жигд биш ширхэгтэй пироксен-оливин-эвэр хуурмагт меланократ габбро",olivine gabbro / melagabbro,mafic intrusive,8,descriptions.rock_name_original
Alkalic Gabbro,gabbro / gabbronorite / norite,mafic intrusive,7,samples.iogas_lithology
Diabase,dolerite / diabase / basalt dyke,mafic intrusive,7,samples.field_lithology; samples.petro_lithology
Porphyritic fine-grained pyroxene-hornblende gabbro (altered gabbro porphyry),gabbro / gabbronorite / norite,mafic intrusive,7,descriptions.rock_name
Sandstone,sediment / metasediment,sedimentary,7,samples.field_lithology; samples.petro_lithology
Altered andesite,volcanic / subvolcanic,volcanic,6,descriptions.rock_name; samples.field_lithology; samples.petro_lithology
Gabbro dyke,gabbro / gabbronorite / norite,mafic intrusive,6,samples.field_lithology
Gossan,gossan / oxidized,vein-ore,6,descriptions.rock_name; samples.field_lithology; samples.petro_lithology
Хувирсан габбродиорит порфир,gabbrodiorite,mafic intrusive,6,descriptions.rock_name_original
"Хүдэржиж, серпентинжсэн жижиг дунд ширхэгтэй эвэр хуурмагтай перидотит",peridotite / ultramafic,ultramafic,6,descriptions.rock_name_original
Шигтгээ маягийн жижиг ширхэгтэй пироксен-эвэр хуурмагт габбро (Хувирсан габбро порфир),gabbro / gabbronorite / norite,mafic intrusive,6,descriptions.rock_name_original
Altered gabbro porphyry,gabbro / gabbronorite / norite,mafic intrusive,5,descriptions.rock_name
Andesite,volcanic / subvolcanic,volcanic,5,descriptions.rock_name; samples.field_lithology; samples.petro_lithology
Massive sulphide,massive sulfide / ore,vein-ore,5,samples.field_lithology; samples.petro_lithology
"Mineralised, altered uneven-grained pyroxene-olivine-hornblende melanocratic gabbro (hornblende peridotite)",peridotite / ultramafic,ultramafic,5,descriptions.rock_name
Mineralized gabbro,gabbro / gabbronorite / norite,mafic intrusive,5,samples.field_lithology
Norite,gabbro / gabbronorite / norite,mafic intrusive,5,samples.field_lithology
Rhyolite,volcanic / subvolcanic,volcanic,5,samples.field_lithology; samples.petro_lithology
Silstone,sediment / metasediment,sedimentary,5,samples.petro_lithology
"Strongly altered, mineralised uneven-grained pyroxene-olivine-hornblende peridotite",peridotite / ultramafic,ultramafic,5,descriptions.rock_name
"Хүчтэй хувирч, хүдэржсэн жигд биш ширхэгтэй пироксен-оливин-эвэр хуурмагт перидотит",peridotite / ultramafic,ultramafic,5,descriptions.rock_name_original
Altered Amphibole-Orthopyroxene micro-gabbro,gabbro / gabbronorite / norite,mafic intrusive,4,descriptions.rock_name
Altered porphyritic fine grained pyroxene-hornblende melanocratic gabbro (Altered melanocratic gabbro porphyry),olivine gabbro / melagabbro,mafic intrusive,4,descriptions.rock_name
Andesite porphyry,volcanic / subvolcanic,volcanic,4,descriptions.rock_name; samples.field_lithology
Basalt - Andesite basalt,dolerite / diabase / basalt dyke,mafic intrusive,4,descriptions.rock_name; samples.field_lithology
Black Schist (weak schistosity),schist / phyllite,metamorphic,4,descriptions.rock_name
Metasediment,sediment / metasediment,sedimentary,4,samples.field_lithology
"Mineralised, serpentinized, fine to medium grained hornblende peridotite",peridotite / ultramafic,ultramafic,4,descriptions.rock_name
Oxidized Amphibole Gabbro,gossan / oxidized,vein-ore,4,descriptions.rock_name
Oxidized Amphibole gabbro,gossan / oxidized,vein-ore,4,descriptions.rock_name
Pelitic rock,sediment / metasediment,sedimentary,4,descriptions.rock_name
Pelitic rock (weak schistosity),schist / phyllite,metamorphic,4,descriptions.rock_name
Phyllite,schist / phyllite,metamorphic,4,descriptions.rock_name; samples.petro_lithology
Shale (weak schistosity),schist / phyllite,metamorphic,4,descriptions.rock_name
Хувирсан андезит,volcanic / subvolcanic,volcanic,4,descriptions.rock_name_original; samples.petro_lithology
Altered diorite porphyry,diorite / quartz diorite,felsic-intermediate intrusive,3,descriptions.rock_name
Foid Gabbro,gabbro / gabbronorite / norite,mafic intrusive,3,samples.iogas_lithology
Gossan (Iron-copper oxide. Altered Gabbro?),gossan / oxidized,vein-ore,3,descriptions.rock_name
"Mineralised, altered uneven-grained pyroxene-olivine-hornblende melanocratic gabbro",olivine gabbro / melagabbro,mafic intrusive,3,descriptions.rock_name
"Mineralized, serpentinitized, fine to medium grained Amph-peridotite",peridotite / ultramafic,ultramafic,3,descriptions.rock_name
Monzodiorite,diorite / quartz diorite,felsic-intermediate intrusive,3,samples.field_lithology
Poorly mineralized gabbro,gabbro / gabbronorite / norite,mafic intrusive,3,samples.field_lithology
Quartz vein,vein / quartz,vein-ore,3,descriptions.rock_name; samples.field_lithology; samples.petro_lithology
Spotted Rock,hornfels / spotted rock,metamorphic,3,samples.field_lithology
Weakly mineralized gabbro,gabbro / gabbronorite / norite,mafic intrusive,3,samples.field_lithology
gneiss,sediment / metasediment,sedimentary,3,samples.petro_lithology
spotted,hornfels / spotted rock,metamorphic,3,samples.field_lithology
Верлит,peridotite / ultramafic,ultramafic,3,descriptions.rock_name_original; samples.petro_lithology
Хувирсан габбро,gabbro / gabbronorite / norite,mafic intrusive,3,descriptions.rock_name_original; samples.petro_lithology
Хувирсан диорит порфир,diorite / quartz diorite,felsic-intermediate intrusive,3,descriptions.rock_name_original
Altered amygdaloidal basalt,dolerite / diabase / basalt dyke,mafic intrusive,2,descriptions.rock_name; samples.petro_lithology
Altered fine-meduim grained biotite-amphibole gabbro,gabbro / gabbronorite / norite,mafic intrusive,2,descriptions.rock_name
Altered medium- to fine-grained biotite-hornblende gabbrodiorite,gabbrodiorite,mafic intrusive,2,descriptions.rock_name; samples.petro_lithology
Altered medium- to fine-grained hornblende-pyroxene gabbro,gabbro / gabbronorite / norite,mafic intrusive,2,descriptions.rock_name; samples.petro_lithology
Altered melanocratic microgabbro,gabbro / gabbronorite / norite,mafic intrusive,2,descriptions.rock_name
Altered mineralized gabbro,gabbro / gabbronorite / norite,mafic intrusive,2,samples.field_lithology
Altered porphyritic-like fine- to medium-grained olivine-pyroxene-hornblende melanocratic gabbro,olivine gabbro / melagabbro,mafic intrusive,2,descriptions.rock_name
Altered uneven-grained peridotite,peridotite / ultramafic,ultramafic,2,descriptions.rock_name
"Altered, mineralised uneven-grained olivine-hornblende melanocratic gabbro",olivine gabbro / melagabbro,mafic intrusive,2,descriptions.rock_name
Altereted Gabbrodiorite,gabbrodiorite,mafic intrusive,2,samples.field_lithology
Amphibole micro-Gabbro,gabbro / gabbronorite / norite,mafic intrusive,2,descriptions.rock_name
Amphibole-Orthopyroxene micro-gabbro,gabbro / gabbronorite / norite,mafic intrusive,2,descriptions.rock_name
Amphibole-orthoperoxene micro-gabbro,gabbro / gabbronorite / norite,mafic intrusive,2,descriptions.rock_name
Black Schist,schist / phyllite,metamorphic,2,descriptions.rock_name
Black schist,schist / phyllite,metamorphic,2,descriptions.rock_name
Carbonate-altered basalt,dolerite / diabase / basalt dyke,mafic intrusive,2,descriptions.rock_name; samples.petro_lithology
Coarse- to medium-grained biotite granite,granitoid,felsic-intermediate intrusive,2,descriptions.rock_name; samples.petro_lithology
Dacite Porphyry,volcanic / subvolcanic,volcanic,2,descriptions.rock_name; samples.field_lithology
Dense dissemination,other / unclassified,unknown,2,samples.field_lithology
Diorite Porphyry,diorite / quartz diorite,felsic-intermediate intrusive,2,samples.petro_lithology
Felsic (acid) subvolcanic rock,volcanic / subvolcanic,volcanic,2,descriptions.rock_name; samples.petro_lithology
Fine and medium grained olivine-hornblende- pyroxene peridotite,peridotite / ultramafic,ultramafic,2,descriptions.rock_name
Fine- to medium-grained biotite granite,granitoid,felsic-intermediate intrusive,2,descriptions.rock_name; samples.petro_lithology
Fine- to medium-grained biotite-hornblende-pyroxene gabbro,gabbro / gabbronorite / norite,mafic intrusive,2,descriptions.rock_name; samples.petro_lithology
"Fine- to medium-grained hornblende quartz diorite (gabbrodiorite), weakly gneissose",gabbrodiorite,mafic intrusive,2,descriptions.rock_name; samples.petro_lithology
Fine- to medium-grained olivine-pyroxene gabbro,gabbro / gabbronorite / norite,mafic intrusive,2,descriptions.rock_name; samples.petro_lithology
Fine- to medium-grained pyroxene-hornblende gabbrodiorite,gabbrodiorite,mafic intrusive,2,descriptions.rock_name; samples.petro_lithology
Fine-grained hornblende gabbrodiorite,gabbrodiorite,mafic intrusive,2,descriptions.rock_name
Fine-grained pyroxene-hornblende gabbrodiorite,gabbrodiorite,mafic intrusive,2,descriptions.rock_name; samples.petro_lithology
Gabbro Mineralized M,gabbro / gabbronorite / norite,mafic intrusive,2,samples.field_lithology
Gabbro amphybolite,gabbro / gabbronorite / norite,mafic intrusive,2,descriptions.rock_name; samples.field_lithology
Gabbro pyroxenite,peridotite / ultramafic,ultramafic,2,descriptions.rock_name; samples.field_lithology
Gabbrodiorite porphyry and Amphybolite,gabbrodiorite,mafic intrusive,2,descriptions.rock_name; samples.field_lithology
Gossan (Copper-iron-oxide. The original lithofacies is not identified.),gossan / oxidized,vein-ore,2,descriptions.rock_name
Gossan (Iron oxide-calcite-quartz. The original lithofacies are not identification.),gossan / oxidized,vein-ore,2,descriptions.rock_name
Granodiorite,diorite / quartz diorite,felsic-intermediate intrusive,2,samples.field_lithology; samples.petro_lithology
High Mineralized gabbro,gabbro / gabbronorite / norite,mafic intrusive,2,samples.field_lithology
Hydrothermal breccia,breccia / fault rock,metamorphic,2,samples.field_lithology
Intense Limonited Metasediment rock. Cut by Quartz.,gossan / oxidized,vein-ore,2,samples.field_lithology
Intense mineralized quartz diorite porphyry (Andesite-dacite),diorite / quartz diorite,felsic-intermediate intrusive,2,descriptions.rock_name
Intensely hydrothermally altered and brecciated protomylonite (protolith probably olivine-hornblende gabbro),gabbro / gabbronorite / norite,mafic intrusive,2,descriptions.rock_name; samples.petro_lithology
"Intensely hydrothermally altered rock, probably a leucogabbro dyke (no protolith evidence preserved)",gabbro / gabbronorite / norite,mafic intrusive,2,descriptions.rock_name; samples.petro_lithology
Intensive metasomatic altered gabbrodiorite porphyry,skarn / metasomatite,metamorphic,2,descriptions.rock_name
Intensively altered fine-meduim grained olivine-amphibole gabbro (melanocratic gabbro),olivine gabbro / melagabbro,mafic intrusive,2,descriptions.rock_name
Intrusive Rock?,intrusive (undifferentiated),unknown,2,descriptions.rock_name; samples.field_lithology
Massive sulfide ore,massive sulfide / ore,vein-ore,2,descriptions.rock_name
Massive sulphide top contact,massive sulfide / ore,vein-ore,2,samples.field_lithology
Mineralised cordierite-actinolite metasomatite,skarn / metasomatite,metamorphic,2,descriptions.rock_name
Mineralised quartz-carbonate vein (oxidised Cu),vein / quartz,vein-ore,2,descriptions.rock_name; samples.petro_lithology
Mineralised spinel-bearing epidote-pyroxene micro-gneiss (skarn?),skarn / metasomatite,metamorphic,2,descriptions.rock_name; samples.petro_lithology
Mineralised spinel-cordierite-actinolite metasomatite (micro-gneiss),skarn / metasomatite,metamorphic,2,descriptions.rock_name
Mineralized Amph-Pl gneiss (from diorite),diorite / quartz diorite,felsic-intermediate intrusive,2,descriptions.rock_name
Mineralized altered porphyritic medium-fine grained hornblende pyroxene melanocratic gabbronorite (Peridotite?),peridotite / ultramafic,ultramafic,2,descriptions.rock_name
Mineralized and altered fine- medium grained hornblende pyroxene melanocratic gabbronorite (Peridotite?),peridotite / ultramafic,ultramafic,2,descriptions.rock_name
Mineralized olivine+hornblende orthocumulate,peridotite / ultramafic,ultramafic,2,descriptions.rock_name
Mineralized porphyritic fine grained hornblende-olivine-pyroxene melanocratic gabbro,olivine gabbro / melagabbro,mafic intrusive,2,descriptions.rock_name
Mineralized qtz-actinolite-albite gneiss (after gabbrodiorite),gabbrodiorite,mafic intrusive,2,descriptions.rock_name
Mineralized sericite-quartz schist,schist / phyllite,metamorphic,2,descriptions.rock_name; samples.petro_lithology
