sample_id,hole_id_norm,depth_from_m,depth_to_m,Au_ppm__PGM_ICP27,Pt_ppm__PGM_ICP27,Pd_ppm__PGM_ICP27,Ag_ppm__ME_ICP61,Al_pct__ME_ICP61,As_ppm__ME_ICP61,Ba_ppm__ME_ICP61,Be_ppm__ME_ICP61,Bi_ppm__ME_ICP61,Ca_pct__ME_ICP61,Cd_ppm__ME_ICP61,Co_ppm__ME_ICP61,Cr_ppm__ME_ICP61,Cu_ppm__ME_ICP61,Cu_pct__Cu_OG62,Fe_pct__ME_ICP61,Ga_ppm__ME_ICP61,K_pct__ME_ICP61,La_ppm__ME_ICP61,Li_ppm__ME_ICP61,Mg_pct__ME_ICP61,MgO_pct__ME_ICP61,Mn_ppm__ME_ICP61,Mo_ppm__ME_ICP61,Na_pct__ME_ICP61,Ni_ppm__ME_ICP61,Ni_pct_ppm__Ni_OG62,P_pct__ME_ICP61,Pb_ppm__ME_ICP61,S_pct__ME_ICP61,Sb_ppm__ME_ICP61,Sc_ppm__ME_ICP61,Sr_ppm__ME_ICP61,Th_ppm__ME_ICP61,Ti_pct__ME_ICP61,Tl_ppm__ME_ICP61,U_ppm__ME_ICP61,V_ppm__ME_ICP61,W_ppm__ME_ICP61,Zn_ppm__ME_ICP61,Zr_ppm__IC40M,Se_PPM__IC40M,Rb_PPM__IC40M,Y_PPM__IC40M,Nb_PPM__IC40M,In_PPM__IC40M,Sn_PPM__IC40M,Te_PPM__IC40M,Cs_PPM__IC40M,Ce_PPM__IC40M,Tb_PPM__IC40M,Yb_PPM__IC40M,Lu_PPM__IC40M,Hf_PPM__IC40M,Ta_PPM__IC40M,Pr_PPM__IC90M,Nd_PPM__IC90M,Sm_PPM__IC90M,Eu_PPM__IC90M,Gd_PPM__IC90M,Dy_PPM__IC90M,Ho_PPM__IC90M,Er_PPM__IC90M,Tm_PPM__IC90M,Ge_PPM__IC90M,Al2O3_pct__ME_XRF26,BaO_pct__ME_XRF26,CaO_pct__ME_XRF26,Cr2O3_pct__ME_XRF26,Fe2O3_pct__ME_XRF26,K2O_pct__ME_XRF26,MgO_pct__ME_XRF26,MnO_pct__ME_XRF26,Na2O_pct__ME_XRF26,P2O5_pct__ME_XRF26,SO3_pct__ME_XRF26,SiO2_pct__ME_XRF26,SrO_pct__ME_XRF26,TiO2_pct__ME_XRF26,Total_pct__ME_XRF26,PbO_pct__XRF76V,CuO_pct__XRF76V,TiO2_pct__XRF76V,V2O5_pct__XRF76V,ZnO_pct__XRF76V
40903,OVD001,7.15,,0.131,0.12,0.11,8.34,0.24,5,11,5,0.3,3.81,0.8,43.6,80,5986,0.5986,10,1,0.1,0.1,10,0.09,0.14922,124,3,,316,0.0316,0.01,5,0.21,0.1,5,129,0.1,0.01,0.5,4.36,7,1,5,5.1,,0.2,1.1,1,0.2,1,2.78,0.1,0.1,0.05,0.1,0.05,1,0.5,0.05,0.6,0.1,0.05,0.17,0.13,0.05,0.09,0.05,1,,,,,,,,,,,,,,,,,,,,
40908,OVD001,8.6,,0.114,0.16,0.17,23.2,1,5,26,5,2.4,4.27,2.1,234,202,10000,24.34,22.4,1,0.1,1.1,10,0.14,0.23212000000000002,270,5,,2060,0.206,0.01,52,2.97,0.1,5,217,0.1,0.03,0.5,3.87,27,1,36,1.4,,0.2,2.1,1,0.3,4,2.15,0.1,3.9,0.08,0.2,0.05,1,0.5,0.41,1.7,0.4,0.15,0.55,0.47,0.11,0.23,0.05,1,,,,,,,,,,,,,,,,,,,,
40914,OVD001,9.4,,0.114,0.16,0.17,23.2,1,5,26,5,2.4,4.27,2.1,234,202,10000,24.34,22.4,1,0.1,1.1,10,0.14,0.23212000000000002,270,5,,2060,0.206,0.01,52,2.97,0.1,5,217,0.1,0.03,0.5,3.87,27,1,36,1.4,,0.2,2.1,1,0.3,4,2.15,0.1,3.9,0.08,0.2,0.05,1,0.5,0.41,1.7,0.4,0.15,0.55,0.47,0.11,0.23,0.05,1,,,,,,,,,,,,,,,,,,,,
40899,OVD001,15.5,,0.064,0.02,0.018,1.46,7.97,13,193,5,0.3,1.5,0.3,278,235,7757,0.7757,10.59,17,0.1,9.6,44,3.07,5.090059999999999,1063,2,,6397,0.6397,0.04,19,0.03,0.2,34,829,1.6,0.4,0.5,2.59,199,1,147,43.2,,2.6,11.4,2,0.2,1,0.34,1.3,22.4,0.47,1.5,0.24,2,0.5,3.06,14.4,3.3,1.1,3.08,2.6,0.48,1.32,0.23,3,15.71,0.26,2.28,0.04,18.26,0.32,5.13,0.15,1.6,0.15,0.1,44.74,,0.76,,0.01,0.79,0.76,0.03,0.01
40905,OVD001,35.8,,0.005,0.01,0.004,0.68,9.96,6,218,5,0.1,1.35,0.3,40,137,662,0.0662,7.43,21,0.94,10.8,68,2.74,4.5429200000000005,1322,2,,355,0.0355,0.07,9,0.02,0.4,33,338,1.5,0.67,0.5,1.02,222,1,111,94.1,,21.5,26.2,5,0.2,2,0.09,0.9,23.1,0.74,2.7,0.47,3,0.5,3.24,15.6,3.8,1.31,4.67,4.81,0.96,2.85,0.39,2,18.11,0.05,1.83,0.02,10.93,1.33,4.39,0.17,2.5,0.17,0.1,51.59,,1.1,,0.01,0.05,1.1,0.04,0.01
40900,OVD001,56.8,,0.017,0.02,0.018,0.45,5.05,5,129,5,0.1,7.03,0.3,96,811,861,0.0861,6.51,10,0.1,9.4,70,9.75,16.165499999999998,1264,2,,983,0.0983,0.08,9,0.12,0.1,17,353,0.6,0.46,0.5,0.77,103,1,60,22.6,,3.6,13.4,3,0.2,1,0.19,1.3,21.4,0.41,1.3,0.18,2,0.5,2.86,12.5,2.8,0.94,2.72,2.64,0.48,1.3,0.2,1,9.27,0.07,9.53,0.13,11.06,0.37,15.31,0.18,0.83,0.18,0.3,38.12,,0.76,,0.01,0.08,0.76,0.02,0.01
40907,OVD001,62.4,,0.021,0.02,0.017,0.76,5.99,5,224,5,0.2,6.08,0.3,87.4,623,919,0.0919,7.31,12,0.1,12.3,41,8.53,14.142739999999998,1362,2,,881,0.0881,0.09,12,1.41,0.1,21,444,0.9,0.53,0.5,0.73,135,1,79,23.5,,4.1,18.6,4,0.2,1,0.22,0.8,27.9,0.58,1.9,0.26,3,0.5,3.66,16.2,3.5,1.13,3.93,3.55,0.69,1.85,0.25,2,11.23,0.05,8.48,0.1,11.18,0.53,13.86,0.19,1.66,0.24,2.64,41.17,,0.92,,0.01,0.08,0.92,0.03,0.01
40913,OVD001,68.0,,0.122,0.2,0.216,4.17,5.52,9,105,5,1.8,0.84,1.8,542,195,8698,0.8698,19.33,11,0.1,7.5,42,2.94,4.8745199999999995,1084,2,,1.19,0.00011899999999999999,0.03,42,14.66,0.5,18,220,0.8,0.33,0.5,0.55,113,1,97,13.1,,5.4,13.6,3,0.2,2,2.1,0.9,16.2,0.41,1.5,0.24,2,0.5,2.06,9.5,2.3,0.7,2.59,2.71,0.52,1.4,0.21,2,10.98,0.15,1.4,0.03,30.37,0.51,4.54,0.17,1.6,0.12,9.89,32.27,,0.59,,0.01,0.67,0.59,0.02,0.01
40901,OVD002,20.4,,0.038,0.03,0.041,2.86,4.27,5,64,5,1.3,2.37,0.8,178,1076,5019,0.5019,12.52,9,0.24,8.1,25,10.23,16.96134,991,2,,3378,0.3378,0.04,28,0.1,0.2,15,258,0.8,0.39,0.5,1.7,97,1,106,64,,1.8,12.6,3,0.2,2,0.9,0.8,19,0.46,1.2,0.19,2,0.5,2.67,11.9,2.7,0.88,2.71,2.58,0.52,1.41,0.21,1,7.43,0.01,3.6,0.18,18.38,0.14,16.41,0.15,0.51,0.15,0.23,39.77,,0.69,,0.01,1.03,0.69,0.01,0.02
40910,OVD002,37.0,,0.052,0.06,0.063,3.11,5.74,5,147,5,1.4,2.83,1.5,175,658,4213,0.4213,10.97,13,0.17,12.9,22,9.46,15.68468,1208,2,,3441,0.3441,0.09,17,2.75,0.2,18,290,1.7,0.51,0.5,0.49,126,1,97,95.3,,4,17.4,3,0.2,2,1.02,0.2,29.1,0.57,1.8,0.23,2,0.5,3.93,17.2,3.7,1.2,3.79,3.36,0.65,1.78,0.25,2,10.6,0.01,4.28,0.1,15.52,0.37,15.09,0.17,1.3,0.26,4.51,42.08,,0.89,,0.01,0.49,0.89,0.02,0.02
40909,OVD002,51.6,,0.001,0.01,0.005,0.02,7.99,7,158,0.9,0.04,0.39,0.04,30.4,171,91.8,0.009179999999999999,8.25,22.8,1.36,2.5,71,3.15,5.2227,1020,0.27,1.58,102,0.0102,0.0322,3.4,0.28,0.11,28.8,146,0.5,0.23,0.1,0.6,172,0.3,69,22.9,2,11.5,6.3,1.6,0.04,0.3,,1,6.65,0.26,1.1,0.17,1.07,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40911,OVD002,75.5,,0.003,0.01,0.004,0.22,7.83,6,224,1,0.07,0.92,0.09,28.3,106,98.6,0.009859999999999999,7.3,21.5,1.57,8,76,2.44,4.04552,1040,0.7,2.19,68.3,0.00683,0.0591,7.6,0.99,0.27,27.4,427,1.2,0.39,0.14,0.96,188,0.3,108,86.1,2,26.1,15.8,2.6,0.09,0.9,,1,18.7,0.52,2,0.3,2.86,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40902,OVD002,87.4,,0.002,0.01,0.002,0.17,8.31,5,85,0.6,0.05,5.59,0.07,17.9,24,66,0.0066,6.86,17.4,0.63,8.8,81,1.95,3.2331,2596,0.46,2.72,13.1,0.00131,0.0817,5.7,0.29,0.13,25.3,348,1,0.64,0.06,0.65,187,0.4,102,98,2,13.5,28.7,2,0.08,0.9,,1,21.1,0.83,2.9,0.42,3.11,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40906,OVD002,126.4,,0.002,0.01,0.003,0.13,9,5,231,0.8,0.06,3.55,0.09,26.7,150,90.4,0.009040000000000001,6.88,20.1,1.14,10,86,2.68,4.44344,1107,0.42,2.5,65.5,0.00655,0.0558,8.2,0.71,0.21,30.7,456,1.7,0.49,0.11,0.98,159,0.4,89,91.6,2,21.5,22.4,3.1,0.06,0.8,,1,23.3,0.66,2.3,0.33,2.89,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40912,OVD002,137.6,,0.001,0.01,0.003,0.15,8.86,4,164,0.6,0.04,2.53,0.09,21.7,82,66.2,0.00662,6.89,19.3,0.84,3.9,89,2,3.316,1112,0.31,4.14,37.4,0.00374,0.0375,4.6,0.71,0.22,24.3,336,0.7,0.55,0.08,0.36,166,0.3,96,66.7,2,7.5,16.1,2.2,0.06,0.9,,1,9.99,0.51,1.9,0.25,2.35,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41012,OVD003,155.3,,0.012,0.01,0.013,0.53,6.84,5,157,5,0.3,4.31,0.5,104,655,1098,0.1098,9.04,14,0.2,14.4,23,8.97,14.87226,1283,2,,1257,0.1257,0.11,9,0.89,0.2,23,460,1.4,0.63,0.5,0.49,147,1,97,90.6,,3.9,22,5,0.2,1,0.26,0.3,30.6,0.66,2,0.31,3,0.5,4.03,18,4.5,1.4,4.82,3.9,0.84,2.18,0.34,2,12.2,0.05,5.87,0.09,11.59,0.33,14.15,0.18,2.05,0.25,1.73,45.04,,1.02,,0.01,0.07,1.02,0.01,0.01
