sample_id,alt_ids,hole_id_norm,depth_from_m,depth_to_m,depth_mid_m,sample_source,year,petrographer_lab,thin_section,polished_thin_section,asd,xrd,eds,fluid_incl,epma,field_lithology,petro_lithology,iogas_lithology,rock_group,iogas_no,x_utm,y_utm,z_rl,coord_source,qa_flags,source_files
40903,,OVD001,7.15,,7.15,drill core,2023,MIRES,0,1,0,0,1,0,0,schist,Gossan,,gossan / oxidized,1,721956.3,5144521.67,1830.81,desurvey,,Yambat_Petrographic_Master_Data__All.csv
40908,,OVD001,8.6,,8.6,drill core,2023,MIRES,0,1,0,0,1,0,0,schist,Gossan,,gossan / oxidized,2,721955.58,5144521.55,1829.55,desurvey,,Yambat_Petrographic_Master_Data__All.csv
40914,,OVD001,9.4,,9.4,drill core,2023,MIRES,0,1,0,0,1,0,0,gabbro,Gabbro,,gabbro / gabbronorite / norite,3,721955.19,5144521.48,1828.86,desurvey,,Yambat_Petrographic_Master_Data__All.csv
40899,,OVD001,15.5,,15.5,drill core,2023,MIRES,0,1,0,0,0,0,0,gabbro,schist,,schist / phyllite,4,721952.17,5144521.07,1823.58,desurvey,,Yambat_Petrographic_Master_Data__All.csv
40905,,OVD001,35.8,,35.8,drill core,2023,MIRES,0,1,0,0,0,0,0,gabbro,Diabase,,dolerite / diabase / basalt dyke,5,721942.07,5144520.01,1806.0,desurvey,,Yambat_Petrographic_Master_Data__All.csv
40900,,OVD001,56.8,,56.8,drill core,2023,NUM,0,1,0,0,0,0,0,spotted/Schist,Gabbro,,gabbro / gabbronorite / norite,6,721931.63,5144518.94,1787.81,desurvey,,Yambat_Petrographic_Master_Data__All.csv
40907,,OVD001,62.4,,62.4,drill core,2023,MIRES,0,1,0,0,0,0,0,schist,Diabase,,dolerite / diabase / basalt dyke,7,721928.85,5144518.6,1782.96,desurvey,,Yambat_Petrographic_Master_Data__All.csv
40913,,OVD001,68.0,,68.0,drill core,2023,NUM,0,1,0,0,0,0,0,schist?,Gabbro,,gabbro / gabbronorite / norite,8,721926.07,5144518.25,1778.11,desurvey,,Yambat_Petrographic_Master_Data__All.csv
40901,,OVD002,20.4,,20.4,drill core,2023,MIRES,0,1,0,0,1,0,0,gabbro,Gabbro,,gabbro / gabbronorite / norite,9,722011.84,5144334.01,1815.47,desurvey,,Yambat_Petrographic_Master_Data__All.csv
40910,,OVD002,37.0,,37.0,drill core,2023,MIRES,0,1,0,0,0,0,0,schist?,Gabbro,,gabbro / gabbronorite / norite,10,722011.84,5144334.01,1798.87,desurvey,,Yambat_Petrographic_Master_Data__All.csv
40909,,OVD002,51.6,,51.6,drill core,2023,MIRES,0,1,0,0,0,0,0,Spotted,Gabbro,,gabbro / gabbronorite / norite,12,722011.84,5144334.01,1784.27,desurvey,,Yambat_Petrographic_Master_Data__All.csv
40911,,OVD002,75.5,,75.5,drill core,2023,MIRES,0,1,0,0,0,0,0,gabbro,Diabase,,dolerite / diabase / basalt dyke,13,722011.84,5144334.01,1760.37,desurvey,,Yambat_Petrographic_Master_Data__All.csv
40902,,OVD002,87.4,,87.4,drill core,2023,MIRES,0,1,0,0,0,0,0,oxidazed gabbro,Gabbro,,gabbro / gabbronorite / norite,14,722011.84,5144334.01,1748.47,desurvey,,Yambat_Petrographic_Master_Data__All.csv
40906,,OVD002,126.4,,126.4,drill core,2023,MIRES,0,1,0,0,0,0,0,spotted,schist,,schist / phyllite,15,722011.84,5144334.01,1709.47,desurvey,,Yambat_Petrographic_Master_Data__All.csv
40912,,OVD002,137.6,,137.6,drill core,2023,MIRES,0,1,0,0,0,0,0,spotted,schist,,schist / phyllite,16,722011.84,5144334.01,1698.27,desurvey,,Yambat_Petrographic_Master_Data__All.csv
41012,,OVD003,155.3,,155.3,drill core,2023,Altantsetseg,0,1,0,0,0,0,0,Gabbro,Gabbro,,gabbro / gabbronorite / norite,17,722091.66,5144182.44,1711.38,desurvey,,Yambat_Petrographic_Master_Data__All.csv
40530,,OVD003,157.5,,157.5,drill core,2023,MIRES,0,1,0,0,1,0,0,schist,Gabbro,,gabbro / gabbronorite / norite,18,722092.65,5144182.88,1709.47,desurvey,,Yambat_Petrographic_Master_Data__All.csv
40574,,OVD004,28.0,,28.0,drill core,2023,MIRES,0,1,0,0,1,0,0,spotted???,Gabbro,,gabbro / gabbronorite / norite,19,721946.89,5144499.04,1812.93,desurvey,,Yambat_Petrographic_Master_Data__All.csv
40579,,OVD004,36.0,,36.0,drill core,2023,MIRES,0,1,0,0,0,0,0,gabbro,Gabbro,,gabbro / gabbronorite / norite,20,721944.62,5144495.75,1806.0,desurvey,,Yambat_Petrographic_Master_Data__All.csv
40605,,OVD004,91.0,,91.0,drill core,2023,MIRES,0,1,0,0,0,0,0,oxidazed gabbro,Gabbro,,gabbro / gabbronorite / norite,21,721929.13,5144473.02,1758.37,desurvey,,Yambat_Petrographic_Master_Data__All.csv
41027,,OVD005,13.4,,13.4,drill core,2023,Altantsetseg,0,1,0,0,0,0,0,Gabbro,Peridodtite,,peridotite / ultramafic,22,722025.61,5144334.67,1824.45,desurvey,,Yambat_Petrographic_Master_Data__All.csv
40628,,OVD005,40.5,,40.5,drill core,2023,MIRES,0,1,0,0,0,0,0,gabbro,Gabbro,,gabbro / gabbronorite / norite,23,722037.72,5144340.73,1800.98,desurvey,"Crawford 2025 caveat: section far too thin — very little rock preserved, diagnosis provisional [source: OVD005@40.5m]",Yambat_Petrographic_Master_Data__All.csv
40635,,OVD005,53.0,,53.0,drill core,2023,MIRES,0,1,0,0,0,0,0,spotted,Gabbro,,gabbro / gabbronorite / norite,24,722043.33,5144343.49,1790.16,desurvey,Crawford 2025 caveat: another far too-thin section with little useful material [source: OVD005@53.0m],Yambat_Petrographic_Master_Data__All.csv
