hole_id,depth_m,dip,azimuth,grid,method,survey_company,survey_date,hole_id_raw
OVD010,0.0,-65.7,241.8,WGS84_46N,MS,Bayan Undraga LLC,7/19/2024,OVD010
OVD010,20.0,-65.7,241.8,WGS84_46N,MS,Bayan Undraga LLC,7/19/2024,OVD010
OVD010,24.0,-65.7,241.3,WGS84_46N,MS,Bayan Undraga LLC,7/19/2024,OVD010
OVD010,40.0,-65.9,242.0,WGS84_46N,MS,Bayan Undraga LLC,7/19/2024,OVD010
OVD010,60.0,-65.8,241.46,WGS84_46N,MS,Bayan Undraga LLC,7/19/2024,OVD010
OVD010,68.8,-65.8,241.7,WGS84_46N,MS,Bayan Undraga LLC,7/19/2024,OVD010
OVD010,72.0,-65.5,242.2,WGS84_46N,MS,Bayan Undraga LLC,7/19/2024,OVD010
OVD010,140.0,-65.2,242.44,WGS84_46N,MS,Bayan Undraga LLC,7/19/2024,OVD010
OVD010,168.0,-65.13,243.54,WGS84_46N,MS,Bayan Undraga LLC,7/19/2024,OVD010
OVD010,216.0,-65.37,244.31,WGS84_46N,MS,Bayan Undraga LLC,7/19/2024,OVD010
OVD010,264.0,-65.58,244.81,WGS84_46N,MS,Bayan Undraga LLC,7/19/2024,OVD010
OVD010,312.0,-64.95,246.88,WGS84_46N,MS,Bayan Undraga LLC,7/19/2024,OVD010
OVD010,349.8,-64.95,246.88,WGS84_46N,MS,Bayan Undraga LLC,7/19/2024,OVD010
OVD011,0.0,-65.68,239.55,WGS84_46N,MS,Bayan Undraga LLC,7/19/2024,OVD011
OVD011,23.5,-65.68,239.55,WGS84_46N,MS,Bayan Undraga LLC,7/19/2024,OVD011
OVD011,71.5,-66.84,237.92,WGS84_46N,MS,Bayan Undraga LLC,7/19/2024,OVD011
OVD011,119.5,-67.16,236.26,WGS84_46N,MS,Bayan Undraga LLC,7/19/2024,OVD011
OVD011,167.5,-67.56,237.68,WGS84_46N,MS,Bayan Undraga LLC,7/19/2024,OVD011
OVD011,223.4,-66.82,234.99,WGS84_46N,MS,Bayan Undraga LLC,7/24/2024,OVD011
OVD011,235.6,-66.82,234.99,WGS84_46N,MS,Bayan Undraga LLC,7/24/2024,OVD011
OVD014,0.0,-59.11,235.57,WGS84_46N,MS,Bayan Undraga LLC,7/24/2024,OVD014
OVD014,50.5,-59.11,235.57,WGS84_46N,MS,Bayan Undraga LLC,7/24/2024,OVD014
OVD014,101.0,-59.28,236.88,WGS84_46N,MS,Bayan Undraga LLC,7/24/2024,OVD014
OVD014,143.5,-59.69,237.57,WGS84_46N,MS,Bayan Undraga LLC,7/24/2024,OVD014
OVD014,149.5,-59.69,237.57,WGS84_46N,MS,Bayan Undraga LLC,7/24/2024,OVD014
OVD016,0.0,-56.79,59.48,WGS84_46N,MS,Bayan Undraga LLC,7/24/2024,OVD016
OVD016,50.5,-56.79,59.48,WGS84_46N,MS,Bayan Undraga LLC,7/24/2024,OVD016
OVD016,80.5,-56.79,59.48,WGS84_46N,MS,Bayan Undraga LLC,7/24/2024,OVD016
OVD017,0.0,-53.75,247.42,WGS84_46N,MS,Bayan Undraga LLC,7/27/2024,OVD017
OVD017,13.7,-53.75,247.42,WGS84_46N,MS,Bayan Undraga LLC,7/27/2024,OVD017
OVD017,61.7,-54.51,246.59,WGS84_46N,MS,Bayan Undraga LLC,7/28/2024,OVD017
OVD018,0.0,-53.86,238.27,WGS84_46N,MS,Bayan Undraga LLC,7/28/2024,OVD018
OVD018,50.0,-53.86,238.27,WGS84_46N,MS,Bayan Undraga LLC,7/28/2024,OVD018
OVD018,59.2,-53.86,238.27,WGS84_46N,MS,Bayan Undraga LLC,7/28/2024,OVD018
OVD009,0.0,-77.72,242.19,WGS84_46N,MS,Bayan Undraga LLC,7/27/2024,OVD009
OVD009,56.0,-77.72,242.19,WGS84_46N,MS,Bayan Undraga LLC,7/27/2024,OVD009
OVD009,104.0,-77.87,242.63,WGS84_46N,MS,Bayan Undraga LLC,7/27/2024,OVD009
OVD009,144.0,-78.15,243.14,WGS84_46N,MS,Bayan Undraga LLC,7/27/2024,OVD009
OVD009,198.0,-78.91,244.64,WGS84_46N,MS,Bayan Undraga LLC,7/27/2024,OVD009
OVD009,240.0,-78.91,244.64,WGS84_46N,MS,Bayan Undraga LLC,7/28/2024,OVD009
OVD019,0.0,-47.93,222.56,WGS84_46N,MS,Bayan Undraga LLC,11/18/2024,OVD019
OVD019,5.0,-47.82,222.48,WGS84_46N,MS,Bayan Undraga LLC,11/18/2024,OVD019
OVD019,10.0,-48.67,222.31,WGS84_46N,MS,Bayan Undraga LLC,11/18/2024,OVD019
OVD019,15.0,-48.81,222.39,WGS84_46N,MS,Bayan Undraga LLC,11/18/2024,OVD019
OVD019,20.0,-48.63,222.44,WGS84_46N,MS,Bayan Undraga LLC,11/18/2024,OVD019
OVD019,25.0,-48.57,222.61,WGS84_46N,MS,Bayan Undraga LLC,11/18/2024,OVD019
OVD019,30.0,-48.55,222.72,WGS84_46N,MS,Bayan Undraga LLC,11/18/2024,OVD019
OVD019,35.0,-48.38,222.5,WGS84_46N,MS,Bayan Undraga LLC,11/18/2024,OVD019
OVD019,40.0,-48.55,222.44,WGS84_46N,MS,Bayan Undraga LLC,11/18/2024,OVD019
OVD019,45.0,-48.41,222.36,WGS84_46N,MS,Bayan Undraga LLC,11/18/2024,OVD019
OVD019,50.0,-48.32,222.36,WGS84_46N,MS,Bayan Undraga LLC,11/18/2024,OVD019
OVD019,55.0,-48.3,222.3,WGS84_46N,MS,Bayan Undraga LLC,11/18/2024,OVD019
OVD019,60.0,-48.26,222.45,WGS84_46N,MS,Bayan Undraga LLC,11/18/2024,OVD019
OVD019,65.0,-48.09,222.33,WGS84_46N,MS,Bayan Undraga LLC,11/18/2024,OVD019
OVD019,70.0,-48.12,222.26,WGS84_46N,MS,Bayan Undraga LLC,11/18/2024,OVD019
OVD019,75.0,-47.87,222.14,WGS84_46N,MS,Bayan Undraga LLC,11/18/2024,OVD019
OVD019,80.0,-47.55,221.9,WGS84_46N,MS,Bayan Undraga LLC,11/18/2024,OVD019
OVD019,80.54,-47.55,221.92,WGS84_46N,MS,Bayan Undraga LLC,11/18/2024,OVD019
OVD019,91.2,-47.55,221.92,WGS84_46N,MS,Bayan Undraga LLC,11/18/2024,OVD019
SC01,0.0,-60.65,216.26,WGS84_46N,MS,Bayan Undraga LLC,8/3/2024,SC01
SC01,13.8,-60.65,216.26,WGS84_46N,MS,Bayan Undraga LLC,8/3/2024,SC01
SC01,61.8,-60.11,215.38,WGS84_46N,MS,Bayan Undraga LLC,8/3/2024,SC01
OVD015,0.0,-56.17,62.53,WGS84_46N,MS,Bayan Undraga LLC,7/30/2024,OVD015
