PROJECT,PROSPECT,HOLE_ID,Hole_TYPE,ORIG_EAST,ORIG_NORTH,ORIG_RL,Azimuth,Dip,Starting depth,Drilled depth,Total drilled depth,Start date,End date,DH statuus,LEASE,COMPANY,SUPERVISOR,DH closed and sealed,REMARKS,Edited date
YMBT,Copper Ridge,CRS01,DD,725246.53,5150635.39,2004.34,180,-60,0,52.7,52.7,8/19/2024,8/29/2024,Not accepted,XV-20515,,Mendbileg,,DH did not accepted,10/25/2024
YMBT,Copper Ridge,CRS01A,DD,725237.26,5150570.09,1990.94,30,-70,0,200.5,200.5,8/29/2024,9/10/2024,Completed,XV-20515,,Enkhbayasgalan,,,10/25/2024
YMBT,OVAL,OVD001,DD,721959.82,5144522.27,1837,260,-60,0,93.4,93.4,7/15/2023,7/15/2023,Completed,XV-20516,,Batkhurel,,,10/25/2024
YMBT,OVAL,OVD002,DD,722011.84,5144334.01,1835.87,0,-90,0,167.5,167.5,7/15/2023,7/15/2023,Completed,XV-20517,,Batkhurel,,,10/25/2024
YMBT,OVAL,OVD003,DD,722024.96,5144147.09,1847.09,60,-60,0,209.5,209.5,7/15/2023,7/15/2023,Completed,XV-20518,,Batkhurel,,,10/25/2024
YMBT,OVAL,OVD004,DD,721954.61,5144510.72,1837.18,215,-62,0,94.5,94.5,7/15/2023,7/15/2023,Completed,XV-20519,,Batkhurel,,,10/25/2024
YMBT,OVAL,OVD005,DD,722019.75,5144331.43,1836.06,60,-60,0,101.5,101.5,7/15/2023,7/15/2023,Completed,XV-20520,,Batkhurel,,,10/25/2024
YMBT,OVAL,OVD006,DD,721978.08,5144520.35,1835.8,275,-60,0,56.5,56.5,7/15/2023,7/15/2023,Completed,XV-20521,,Batkhurel,,,10/25/2024
YMBT,OVAL,OVD007,DD,722016.71,5144416.86,1835.48,240,-60,0,100.7,100.7,7/15/2023,7/15/2023,Completed,XV-20522,,Batkhurel,,,10/25/2024
YMBT,OVAL,OVD008,DD,722102.84,5144249.78,1840.96,240,-70,0,110.5,110.5,7/15/2023,7/15/2023,Completed,XV-20523,,Batkhurel,,,10/25/2024
YMBT,OVAL,OVD009,DD,722162.29,5144172.01,1847.47,240,-78,0,240,240,7/15/2023,7/15/2023,Completed,XV-20524,,Batkhurel,,,10/25/2024
YMBT,OVAL,OVD010,DD,722252.68,5144221.89,1856.54,240,-65,0,349.8,349.8,7/7/2024,7/18/2024,Completed,XV-20515,,Otgonjargal,,,10/25/2024
YMBT,OVAL,OVD011,DD,722147.92,5144268.65,1843.87,235,-65,0,235.6,235.6,7/14/2024,7/21/2024,Completed,XV-20515,,Otgonjargal,,"Due to collapse hole was unable to drill further, hole was saved to drill in NQ",10/25/2024
YMBT,OVAL,OVD012,DD,722135.08,5144173.45,1845,174,-65,0,354.3,354.3,8/5/2024,8/14/2024,Completed,XV-20515,,Batkhurel,,,10/25/2024
YMBT,OVAL,OVD013,DD,722118.51,5144197.85,1843.33,240,-78,0,161.15,161.15,9/12/2024,9/15/2024,Completed,XV-20515,,Batkhurel,,,10/25/2024
YMBT,OVAL,OVD013A,DD,722146,5144215,1851,240,-70,0,5.9,5.9,8/5/2024,7/16/2024,Not accepted,XV-20515,,Batkhurel,,,10/25/2024
YMBT,OVAL,OVD014,DD,722110.92,5144300.85,1841.21,240,-60,0,149.5,149.5,7/21/2024,7/24/2024,Completed,XV-20515,,Otgonjargal,,,10/25/2024
YMBT,OVAL,OVD015,DD,722049,5144108,1843.01,63,-57,0,213.7,213.7,7/28/2024,8/4/2024,Completed,XV-20515,,Otgonjargal,,,10/25/2024
YMBT,North Oval,OVD016,DD,721756.22,5144649.84,1827.75,64,-57,0,80.5,80.5,7/23/2024,7/24/2024,Completed,XV-20515,,Otgonjargal,,,10/25/2024
YMBT,North Oval,OVD017,DD,721824.05,5144688.95,1822.68,244,-55,0,61.7,61.7,7/25/2024,7/27/2024,Completed,XV-20515,,Otgonjargal,,,10/25/2024
YMBT,North Oval,OVD018,DD,721812.77,5144734.86,1809.33,235,-55,0,59.2,59.2,7/27/2024,7/28/2024,Completed,XV-20515,,Otgonjargal,,,10/25/2024
YMBT,North Oval,OVD019,DD,721782.77,5144792.56,1810.58,225,-50,0,91.2,91.2,7/29/2024,7/31/2024,Completed,XV-20515,,Otgonjargal,,,10/25/2024
YMBT,OVAL,OVD020,DD,722120.03,5144151.61,1846.34,260,-78,0,179.5,179.5,8/4/2024,8/10/2024,Completed,XV-20515,,Batkhurel,,,10/25/2024
YMBT,OVAL,OVD021,DD,722024,5144354.55,1835.8,150,-60,0,184.5,184.5,9/12/2024,9/16/2024,Completed,XV-20515,,Batkhurel,,,10/25/2024
YMBT,OVAL,OVD022,DD,722013.72,5144369.6,1834.448,146.94,-60,0,164.4,164.4,11/5/2024,11/7/2024,Completed,XV-20515,,Otgonjargal,,,11/8/2024
YMBT,OVAL,OVD023,DD,722034,5144337.2,1836.77,150.6,-60,0,149.9,149.9,11/8/2024,11/10/2024,Completed,XV-20515,,Otgonjargal,,,10/25/2024
YMBT,OVAL,OVD024,DD,722016.8,5144260,1840.36,40,-65,0,170.4,170.4,11/11/2024,11/15/2024,Completed,XV-20515,,Otgonjargal,,,10/25/2024
YMBT,North Oval,OVD025,DD,721825.2,5144751,1811.82,234,-55,0,65.9,65.9,11/17/2024,11/17/2024,Completed,XV-20515,,Otgonjargal,,,10/25/2024
YMBT,OVAL,OVD026,DD,722058,5144351,1836.75,314.9,-50,0,125,125,11/18/2024,11/22/2024,Completed,XV-20515,,Otgonjargal,,,10/25/2024
YMBT,OVAL,OVD027,DD,722024,5144354.55,1835.8,140,-65,0,147.9,147.9,11/23/2024,11/27/2024,Completed,XV-20515,,Batkhurel,,,10/25/2024
YMBT,North Oval,OVD028,DD,721790.4,5144754,1808.95,205,-63,0,53.9,53.9,11/28/2024,11/29/2024,Completed,XV-20515,,Batkhurel,,,10/25/2024
YMBT,OVAL,OVD029,DD,722135.08,5144173.45,1845,130,-70,0,175.5,175.5,11/30/2024,12/3/2024,Completed,XV-20515,,Batkhurel,,,10/25/2024
YMBT,DISCOVERY,SC01,DD,722320,5144039,1837.88,220,-60,0,61.8,61.8,8/1/2024,8/3/2024,Completed,XV-20515,,Otgonjargal,,,10/25/2024
YMBT,SOUTH,SC02,DD,723380,5143063,1792,210,-60,0,22.5,22.5,8/15/2024,8/16/2024,Not accepted,XV-20515,,Batkhurel,,Drilling was closed and did not accepted due to a ore core recovery,10/25/2024
YMBT,DISCOVERY,SC03,DD,722394.14,5144052.36,1848.09,210,-60,0,116.5,116.5,8/19/2024,8/26/2024,Completed,XV-20515,,Batkhurel,,,10/25/2024
YMBT,OVAL,SC04,DD,722594.84,5143989.92,1823.13,210,-70,0,281.5,281.5,8/30/2024,9/11/2024,Completed,XV-20515,,Batkhurel,,,10/25/2024
YMBT,OVAL,OVD030,DD,722116.86,5144135,1848.82,350,-85,0,300.5,300.5,3/18/2025,3/24/2025,Completed,XV-20515,Ragnarok Investment LLC,Mendbileg,,,
YMBT,Central,SC05,DD,723005.3,5143614,1843.05,33,-70,0,402,402,3/25/2025,4/1/2025,Completed,XV-20515,Ragnarok Investment LLC,Bat-Erdene,,,
YMBT,OVAL,OVD031,DD,722000.55,5144356.94,1834.92,60,-70,0,128.2,128.2,4/2/2025,4/5/2025,Completed,XV-20515,Ragnarok Investment LLC,Bat-Erdene,,,
YMBT,OVAL,OVD032,DD,721901.96,5144109.38,1836.71,60,-55,0,401,401,4/5/2025,4/15/2025,Completed,XV-20515,Ragnarok Investment LLC,Batkhurel,,,
YMBT,OVAL,OVD035,DD,721919.78,5144628.07,1828.06,240,-75,0,108.7,108.7,4/16/2025,4/17/2025,Completed,XV-20515,Ragnarok Investment LLC,Mendbileg,,,
YMBT,OVAL,OVD033,DD,722082.3,5144355.73,1838.48,205,-65,0,351.5,351.5,4/18/2025,4/26/2025,Completed,XV-20515,Ragnarok Investment LLC,Bat-Erdene,,,
