Interval,Hole_ID,Rock Type,Au PPB,Pd PPB,Pt PPB,Ag PPM,Al %,Ba PPM,Be PPM,Ca %,Cr PPM,Cu PPM,Cu %,Fe %,K %,Li PPM,Mg %,Mn PPM,Na %,Ni PPM,P %,S %,Sc PPM,Sr PPM,Ti %,V PPM,Zn PPM,Co PPM,Ga PPM,Ge PPM,As PPM,Se PPM,Rb PPM,Y PPM,Zr PPM,Nb PPM,Mo PPM,Cd PPM,In PPM,Sn PPM,Sb PPM,Te PPM,Cs PPM,La PPM,Ce PPM,Pr PPM,Nd PPM,Sm PPM,Eu PPM,Gd PPM,Tb PPM,Dy PPM,Ho PPM,Er PPM,Tm PPM,Yb PPM,Lu PPM,Hf PPM,Ta PPM,W PPM,Tl PPM,Pb PPM,Bi PPM,Th PPM,U PPM,Al2O3 %,As2O3 %,BaO %,CaO %,Cr2O3 %,CuO %,Fe2O3 %,K2O %,MgO %,Mn3O4 %,Na2O %,P2O5 %,PbO %,SiO2 %,SO3 %,TiO2 %,V2O5 %,ZnO %,Ag PPM,S %,Te PPM
50m,OVD-007,Gabbro,21,21,20,,3.74,112,<5,2.76,1298,1739,0.1739,11.83,0.9,18,14.95,1383,,2108,0.05,1.52,11,288,0.31,89,109,157,10,3,<5,,7.4,10.6,39.6,2,<2,0.5,<0.2,<1,0.3,,1,6.4,15.5,2.12,8.8,2,0.61,2.15,0.33,1.97,0.36,1,0.13,1,0.16,1,<0.5,<1,<0.5,13,0.5,0.5,0.42,5.83,<0.01,<0.01,3.65,0.17,0.06,15.27,0.39,22.76,0.22,0.49,0.13,<0.01,39.95,2.98,0.5,<0.01,<0.01,1.35,1.52,0.32
155.3m,OVD-003,Gabbro,12,13,10,,6.84,157,<5,4.31,655,1098,0.1098,9.04,0.2,23,8.97,1283,,1257,0.11,0.89,23,460,0.63,147,97,104,14,2,<5,,3.9,22,90.6,5,<2,0.5,<0.2,<1,0.2,,0.3,14.4,30.6,4.03,18,4.5,1.4,4.82,0.66,3.9,0.84,2.18,0.34,2,0.31,3,<0.5,<1,<0.5,9,0.3,1.4,0.49,12.2,<0.01,0.05,5.87,0.09,0.07,11.59,0.33,14.15,0.18,2.05,0.25,<0.01,45.04,1.73,1.02,<0.01,<0.01,0.53,0.89,0.26
40.1m,OVD-008,Gabbro,1,<1,<10,,7.21,229,<5,5.66,712,34,0.0034,7.49,0.66,22,7.64,1321,,278,0.09,0.1,27,632,0.5,144,68,62.7,15,2,<5,,8.6,16.9,84,3,<2,<0.2,<0.2,<1,0.1,,0.5,11.9,29.7,3.76,16.8,3.7,1.23,4.11,0.57,3.41,0.67,1.92,0.25,1.8,0.26,2,<0.5,<1,<0.5,9,<0.1,1.2,0.36,12.67,<0.01,0.03,7.23,0.09,<0.01,10.47,0.63,12.53,0.17,1.94,0.2,<0.01,46.93,0.14,0.76,0.01,<0.01,<0.02,0.1,0.2
195.2m,OVD-009,Gabbro,30,30,20,,4.38,69,<5,3.73,950,1509,0.1509,10.14,<0.1,41,12.53,1506,,1857,0.08,1.56,14,328,0.39,93,95,136,10,2,13,,8.4,13.5,67.7,3,<2,0.5,<0.2,<1,<0.1,,1.7,8.9,20.7,2.7,12.3,2.6,0.89,2.95,0.4,2.8,0.56,1.27,0.24,1.4,0.21,2,<0.5,<1,<0.5,6,0.3,0.6,0.37,7.65,<0.01,0.02,5.3,0.15,0.17,13.74,0.35,20.36,0.21,0.44,0.2,<0.01,40.31,3.65,0.67,0.02,<0.01,0.8,1.56,0.31
149.5m,OVD-009,Gabbro,13,17,10,,6.56,162,<5,3.63,601,1419,0.1419,8.22,0.32,27,7.03,1117,,1432,0.08,1.32,18,375,0.43,129,78,116,14,1,8,,9,16.1,81.3,3,<2,0.6,<0.2,1,<0.1,,0.5,10.8,25.4,3.35,15.1,3,1.09,3.66,0.51,3.16,0.64,1.57,0.24,1.8,0.28,2,<0.5,<1,<0.5,12,0.2,0.8,0.44,13.44,<0.01,0.03,5.56,0.1,0.2,12.25,0.63,12.78,0.18,2.54,0.19,<0.01,43.98,2.81,0.75,0.02,<0.01,0.77,1.32,0.3
171.5m,OVD-009,Gabbro,233,193,140,,2.97,42,<5,2.11,1113,>10000,1.68,24.74,<0.1,<10,13.15,1427,,1.2,0.05,9.69,10,197,0.21,59,153,443,6,1,<5,,2.2,5.6,35,1,<2,4.5,0.3,4,<0.1,,0.5,3.3,8.1,1.04,4.8,1,0.38,1.12,0.17,1.25,0.21,0.55,0.09,0.6,0.09,<1,<0.5,<1,<0.5,101,4.8,0.2,0.1,4.23,<0.01,<0.01,2.75,0.15,0.19,29.33,0.13,18.87,0.18,0.14,0.06,<0.01,28.47,7.24,0.29,<0.01,0.01,11,9.69,4.13
161m,OVD-009,Gabbro,44,53,40,,4.43,57,<5,2.04,1090,4165,0.4165,12.85,<0.1,28,13.2,1327,,3870,0.08,3.06,15,156,0.42,96,102,220,10,1,<5,,4,12.5,68.7,3,<2,1.2,<0.2,1,<0.1,,1.1,7.7,18.4,2.42,10.4,2.6,0.81,2.65,0.41,2.64,0.51,1.33,0.17,1.4,0.18,2,<0.5,<1,<0.5,13,1.1,0.5,0.28,8.02,<0.01,0.06,2.86,0.15,0.41,17.36,0.24,21.39,0.18,0.12,0.15,<0.01,40.02,4.95,0.63,0.01,<0.01,2.51,3.06,0.98
80.8m,OVD-009,Gabbro,<1,<1,<10,<0.02,6.03,187,0.6,5.17,440,36.3,0.00363,7.07,0.49,21,7.36,1233,2.3,210,963,0.11,31.7,621,0.5,157,79,51.8,13.9,,<1,<2,6.5,19.7,87.3,3.5,0.66,0.06,0.05,0.6,0.06,<0.05,<1,13.1,30.9,,,,,,0.63,,,,,2,0.3,0.57,0.26,<0.1,0.03,1.9,<0.04,1.4,0.45,,,,,,,,,,,,,,,,,,,,,
17.2m,OVD-009,Gabbro,<1,<1,<10,<0.02,7.62,142,0.6,6.47,293,42.4,0.00424,6.82,0.47,30,6.08,1074,2.26,177,974,0.01,29.7,569,0.54,167,69,44.8,15.7,,2,<2,7.8,17.5,72.8,3,0.73,0.06,0.05,0.5,<0.05,<0.05,<1,12.1,29.7,,,,,,0.59,,,,,1.8,0.26,0.54,0.21,<0.1,0.04,1.9,<0.04,1,0.43,,,,,,,,,,,,,,,,,,,,0.01,
143m,OVD-009,Gabbro,46,48,40,,4.24,107,<5,2.97,1224,5553,0.5553,15.6,0.23,20,12.1,1345,,4923,0.07,4.81,14,309,0.35,94,108,300,9,1,<5,,6.7,11.3,59.2,2,<2,1.3,<0.2,1,<0.1,,1.2,8.4,19.8,2.57,10.6,2.6,0.8,2.67,0.38,2.3,0.47,1.13,0.17,1.2,0.16,2,<0.5,<1,<0.5,29,1.4,0.8,0.28,7.45,<0.01,0.11,3.95,0.16,0.6,20.9,0.39,18.82,0.18,0.47,0.16,0.01,37.87,6.2,0.54,<0.01,<0.01,2.74,4.81,1.01
126.7m,OVD-009,Gabbro,1,1,<10,,6.15,98,<5,5.88,738,232,0.0232,7.27,<0.1,41,8.98,1154,,500,0.1,0.24,19,412,0.43,118,74,71.1,12,1,21,,2.2,16.3,83.3,3,<2,<0.2,<0.2,<1,<0.1,,0.2,13,28.6,3.6,16,3.4,1.13,3.37,0.52,3.03,0.61,1.47,0.28,1.7,0.23,2,<0.5,<1,<0.5,10,<0.1,1.6,0.53,10.48,<0.01,0.02,7.54,0.1,0.02,9.48,0.13,14.29,0.15,2.14,0.2,<0.01,43.51,0.5,0.64,0.01,<0.01,<0.02,0.24,<0.05
11.3m,OVD-009,Gabbro,<1,<1,<10,0.19,7.26,278,0.7,5.4,283,30.1,0.00301,5.65,0.43,67,4.32,790,2.23,140,1036,0.01,20.6,312,0.35,116,64,34.2,15.2,,6,<2,9,13.7,59,2.4,0.9,0.03,0.04,0.4,0.1,<0.05,<1,16.3,37.6,,,,,,0.49,,,,,1.3,0.18,0.5,0.18,0.1,0.05,3.2,<0.04,1.4,0.57,,,,,,,,,,,,,,,,,,,,0.01,
151.6m,OVD-009,Gabbro,23,33,30,,6.76,148,<5,4.14,468,2675,0.2675,8.45,0.33,22,5.21,1072,,2254,0.08,2.31,18,399,0.4,112,71,157,16,1,<5,,11.1,16.9,87.7,3,<2,0.8,<0.2,1,<0.1,,0.3,13.3,30.3,3.96,17,3.7,1.19,3.74,0.53,3.43,0.68,1.51,0.27,1.9,0.24,3,<0.5,<1,<0.5,11,0.7,1,0.5,13.7,<0.01,0.05,6.32,0.06,0.3,12.53,0.67,9.7,0.16,2.66,0.19,<0.01,45.14,4.17,0.67,0.01,<0.01,1.54,2.31,0.66
58.2m,OVD-007,Gabbro,7,12,<10,,5.2,109,<5,3.25,1150,381,0.0381,8.98,0.76,33,12.46,1292,,953,0.08,0.83,16,314,0.45,114,94,109,14,3,<5,,9.4,14.5,75.2,3,<2,<0.2,0.2,<1,0.3,,2.4,8.7,21.4,2.94,12.2,2.9,0.94,3.19,0.52,2.9,0.57,1.5,0.22,1.5,0.21,2,<0.5,<1,<0.5,42,<0.1,0.7,0.4,8.8,<0.01,0.06,5.28,0.11,0.09,11.81,0.33,18.15,0.2,1.2,0.15,<0.01,44.24,1.57,0.54,0.02,<0.01,1.18,0.83,0.15
87.8m,OVD-007,Gabbro,13,10,<10,,9,222,<5,3.15,301,597,0.0597,7.6,0.66,44,4.33,1186,,620,0.13,0.73,22,553,0.66,144,95,57.2,17,2,9,,16.6,30.1,136,4,<2,0.3,<0.2,1,0.2,,1,12.9,34.7,4.97,22,5.4,1.58,5.53,1.01,5.64,1.46,3.35,0.51,2.8,0.43,3,<0.5,<1,<0.5,16,0.1,1.7,0.88,16.8,<0.01,0.06,4.5,0.04,0.05,10.22,1.12,7.06,0.16,2.32,0.3,<0.01,50.09,1.43,1,0.02,<0.01,0.33,0.73,0.16
13.4m,OVD-005,Gabbro,8,5,<10,,3.96,165,<5,7.19,967,506,0.0506,7.27,0.94,30,11.06,1154,,809,0.05,0.01,14,305,0.3,81,77,88.5,8,1,<5,,4.7,8.9,37.3,2,<2,<0.2,<0.2,<1,<0.1,,1.5,5.7,18.8,2.57,11.2,2.5,0.79,2.53,0.39,2.06,0.48,1.32,0.17,1.2,0.16,1,<0.5,<1,<0.5,7,<0.1,0.7,0.73,6.72,<0.01,0.04,8.97,0.14,0.04,10.88,0.23,18.19,0.17,0.71,0.13,<0.01,37.27,0.04,0.51,<0.01,<0.01,0.26,0.01,0.07
27.3m,OVD-008,Gabbro,<1,<1,<10,,7.61,261,<5,4.82,498,31,0.0031,6.57,0.77,17,5.65,1149,,204,0.1,0.01,24,626,0.46,133,66,46.7,16,2,<5,,11.1,20.6,93.1,4,<2,<0.2,<0.2,<1,0.2,,0.4,16.4,39.8,4.89,21.3,4.7,1.43,4.76,0.71,4.1,0.82,2.33,0.33,2.3,0.32,3,<0.5,1,<0.5,7,<0.1,1.7,0.31,13.55,<0.01,0.04,6.21,0.06,<0.01,9.36,0.71,9.83,0.16,2.97,0.24,<0.01,47.96,<0.01,0.69,<0.01,<0.01,0.12,0.01,0.22
