Петрограф хийлгэх дээжнүүд,Петрограф хийлгэх дээжнүүд,Петрограф хийлгэх дээжнүүд,,,,Petrography,
Tag,depth,hole id,Mineralization,Rock type,SEM-EDS,,
40899,15.5m,OVD-001,,spotted/Schist ,,,
40900,56.8m,OVD-001,nonmineralize,gabbro,,,MUIS
40903,7.15m,OVD-001,gossan,gossan,,,
40905,35.8m,OVD-001,,spotted,,,
40907,62.4m,OVD-001,pyrite,schist,,,
40908,8.6m,OVD-001,"cu enchired, malachite",,,,
40913,68m,OVD-001,semi-massive,gabbro,,Yes,
40914,9.4m,OVD-001,"cu enchired, bornite",gossan,eds,,
40901,20.4m,OVD-002,,oxidazed gabbro,,,
40902,87.4m,OVD-002,,schist,,,
40904,44.2m,OVD-002,disseminate,gabbro,eds,,
40906,126.4m,OVD-002,pyrite,schist,,,
40909,51.6m,OVD-002,,schist?,,,
40910,37m,OVD-002,disseminate,gabbro,,,
40911,75.5m,OVD-002,,spotted,,,
40912,137.6m,OVD-002,,schist?,,,
40530,157.5m,OVD-003,disseminate,gabbro,eds,,
40579,36m,OVD-004,,spotted???,,,
40605,91m,OVD-004,,spotted,,,
40574,28m,OVD-004,weakly mineralized ,oxidazed gabbro,eds,,
40635,53m,OVD-005,disseminate,gabbro,,,
40645,71m,OVD-005,weakly mineralized ,gabbro,eds,,
40628,40.5m,OVD-005,disseminate,gabbro,,,
40715,98.2,OVD-007,,schist,,,
40763,84.5m,OVD-008,disseminate,gabbro,,Yes,
40915,72m,OVD-009,disseminate,gabbro,eds,,
