Петрографийн дээжнүүд,Петрографийн дээжнүүд,Петрографийн дээжнүүд,,,,
Tag,depth,hole id,Mineralization,Rock type,SEM-EDS,
40900,56.8m,OVD-001,nonmineralize,gabbro,pdf1,Oyunjargal
40913,68m,OVD-001,semi-massive,gabbro,3 and pdf1,Oyunjargal
40910,37m,OVD-002,disseminate,gabbro,pdf2,Mireslab
41012,155.3m,OVD-003,,Gabbro,2,Khanlab
41027,13.4m,OVD-005,,Gabbro,2,Khanlab
40628,40.5m,OVD-005,disseminate,gabbro,pdf2,Mireslab
40635,53m,OVD-005,disseminate,gabbro,pdf2,Mireslab
40645,71m,OVD-005,weakly mineralized ,gabbro,pdf2,Mireslab
41011,50m,OVD-007,,Gabbro,2,Khanlab
41031,55.9m,OVD-007,,Gabbro,2,Khanlab
41025,58.2m,OVD-007,,Gabbro,2,Khanlab
41026,87.8m,OVD-007,,Gabbro,2,Khanlab
41028,27.3m,OVD-008,,Gabbro,2,Khanlab
41032,39.5m,OVD-008,,Gabbro,2,Khanlab
41013,40.1m,OVD-008,,Gabbro,2,Khanlab
41029,60.3m,OVD-008,,Gabbro,2,Khanlab
40763,84.5m,OVD-008,disseminate,gabbro,3,Oyunjargal
41030,88.9m,OVD-008,,Gabbro,2,Khanlab
41024,90.5m,OVD-008,,Gabbro,2,Khanlab
41021,126.7m,OVD-009,,Gabbro,1,Khanlab
41020,143m,OVD-009,Mineralized,Gabbro,1,Khanlab
41015,149.5m,OVD-009,,Gabbro,1,Khanlab
41023,151.6m,OVD-009,Mineralized,Gabbro,1,Khanlab
41017,161m,OVD-009,,Gabbro,1,Khanlab
41016,171.5m,OVD-009,,Gabbro,1,Khanlab
41014,195.2m,OVD-009,,Gabbro,1,Khanlab
,,,,,,
,178-180m,OVD009,,Highest MgO with low sulfide,,
,202m,OVD003,,Low MgO gabbro,,
