HOLE_ID,Depth (m),Dip,Azim (Orig),Grid (Orig),Azim (UTM),"SURVEY
METHOD","DH SURVEY
COMPANY","SURVEY
DATE"
OVD010,0,-65.7,241.8,WGS84_46N,,MS,Bayan Undraga LLC,7/19/2024
OVD010,20,-65.7,241.8,WGS84_46N,,MS,Bayan Undraga LLC,7/19/2024
OVD010,24,-65.7,241.3,WGS84_46N,,MS,Bayan Undraga LLC,7/19/2024
OVD010,40,-65.9,242,WGS84_46N,,MS,Bayan Undraga LLC,7/19/2024
OVD010,60,-65.8,241.46,WGS84_46N,,MS,Bayan Undraga LLC,7/19/2024
OVD010,68.8,-65.8,241.7,WGS84_46N,,MS,Bayan Undraga LLC,7/19/2024
OVD010,72,-65.5,242.2,WGS84_46N,,MS,Bayan Undraga LLC,7/19/2024
OVD010,140,-65.2,242.44,WGS84_46N,,MS,Bayan Undraga LLC,7/19/2024
OVD010,168,-65.13,243.54,WGS84_46N,,MS,Bayan Undraga LLC,7/19/2024
OVD010,216,-65.37,244.31,WGS84_46N,,MS,Bayan Undraga LLC,7/19/2024
OVD010,264,-65.58,244.81,WGS84_46N,,MS,Bayan Undraga LLC,7/19/2024
OVD010,312,-64.95,246.88,WGS84_46N,,MS,Bayan Undraga LLC,7/19/2024
OVD010,349.8,-64.95,246.88,WGS84_46N,,MS,Bayan Undraga LLC,7/19/2024
OVD011,0,-65.68,239.55,WGS84_46N,,MS,Bayan Undraga LLC,7/19/2024
OVD011,23.5,-65.68,239.55,WGS84_46N,,MS,Bayan Undraga LLC,7/19/2024
OVD011,71.5,-66.84,237.92,WGS84_46N,,MS,Bayan Undraga LLC,7/19/2024
OVD011,119.5,-67.16,236.26,WGS84_46N,,MS,Bayan Undraga LLC,7/19/2024
OVD011,167.5,-67.56,237.68,WGS84_46N,,MS,Bayan Undraga LLC,7/19/2024
OVD011,223.4,-66.82,234.99,WGS84_46N,,MS,Bayan Undraga LLC,7/24/2024
OVD011,235.6,-66.82,234.99,WGS84_46N,,MS,Bayan Undraga LLC,7/24/2024
