#,Drillhole,X,Y,Sample interval,Sample interval,SAMPLE_ID,Petrographer,Өнгөлгөө,Year,Sample analysis,Sample analysis,Sample analysis,Sample analysis,Sample analysis,Sample analysis,Sample analysis,Field Lithology,New Lithology by Petrographic,New Lithology by iOGAS,Cr/V,Sr/Rb,PGM-ICP27,PGM-ICP27,PGM-ICP27,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,Cu-OG62,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,Ni-OG62,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,IC40M,IC40M,IC40M,IC40M,IC40M,IC40M,IC40M,IC40M,IC40M,IC40M,IC40M,IC40M,IC40M,IC40M,IC40M,IC90M,IC90M,IC90M,IC90M,IC90M,IC90M,IC90M,IC90M,IC90M,IC90M,ME-XRF26,ME-XRF26,ME-XRF26,ME-XRF26,ME-XRF26,ME-XRF26,ME-XRF26,ME-XRF26,ME-XRF26,ME-XRF26,ME-XRF26,ME-XRF26,ME-XRF26,ME-XRF26,ME-XRF26,XRF76V,XRF76V,XRF76V,XRF76V,XRF76V
#,Drillhole,X,Y,Sample interval,Sample interval,SAMPLE_ID,Petrographer,Өнгөлгөө,Year,Polished thin section,Thin section,ASD,XRD,Fluid inclusion,EDS,EPMA,Field Lithology,New Lithology by Petrographic,New Lithology by iOGAS,Cr/V,Sr/Rb,Au ppm,Pt ppm,Pd ppm,Ag ppm,Al %,As ppm,Ba ppm,Be ppm,Bi ppm,Ca %,Cd ppm,Co ppm,Cr ppm,Cu ppm,Cu %,Fe %,Ga ppm,K %,La ppm,Li ppm,Mg %,MgO %,Mn ppm,Mo ppm,Na %,Ni ppm,Ni % ppm,P %,Pb ppm,S %,Sb ppm,Sc ppm,Sr ppm,Th ppm,Ti %,Tl ppm,U ppm,V ppm,W ppm,Zn ppm,Zr ppm,Se PPM,Rb PPM,Y PPM,Nb PPM,In PPM,Sn PPM,Te PPM,Cs PPM,Ce PPM,Tb PPM,Yb PPM,Lu PPM,Hf PPM,Ta PPM,Pr PPM,Nd PPM,Sm PPM,Eu PPM,Gd PPM,Dy PPM,Ho PPM,Er PPM,Tm PPM,Ge PPM,Al2O3 %,BaO %,CaO %,Cr2O3 %,Fe2O3 %,K2O %,MgO %,MnO %,Na2O %,P2O5 %,SO3 %,SiO2 %,SrO %,TiO2 %,Total %,PbO %,CuO %,TiO2 %,V2O5 %,ZnO %
1,OVD001,721959.82,5144522.27,7.15,7.15m,40903,MIRES,,2023,x,,,,,+,,schist,Gossan,,11.428571428571429,645,0.131,0.12,0.11,8.34,0.24,5,11,5,0.3,3.81,0.8,43.6,80,5986,0.5986,10,1,0.1,0.1,10,0.09,0.14922,124,3,,316,0.0316,0.01,5,0.21,0.1,5,129,0.1,0.01,0.5,4.36,7,1,5,5.1,,0.2,1.1,1,0.2,1,2.78,0.1,0.1,0.05,0.1,0.05,1,0.5,0.05,0.6,0.1,0.05,0.17,0.13,0.05,0.09,0.05,1,-,-,-,-,-,-,-,-,-,-,-,-,,-,,-,-,-,-,-
2,OVD001,721959.82,5144522.27,8.6,8.6m,40908,MIRES,,2023,x,,,,,+,,schist,Gossan,,7.481481481481482,1085,0.114,0.16,0.17,23.2,1,5,26,5,2.4,4.27,2.1,234,202,10000,24.34,22.4,1,0.1,1.1,10,0.14,0.23212000000000002,270,5,,2060,0.206,0.01,52,2.97,0.1,5,217,0.1,0.03,0.5,3.87,27,1,36,1.4,,0.2,2.1,1,0.3,4,2.15,0.1,3.9,0.08,0.2,0.05,1,0.5,0.41,1.7,0.4,0.15,0.55,0.47,0.11,0.23,0.05,1,-,-,-,-,-,-,-,-,-,-,-,-,,-,,-,-,-,-,-
3,OVD001,721959.82,5144522.27,9.4,9.4m,40914,MIRES,,2023,x,,,,,+,,gabbro,Gabbro,,7.481481481481482,1085,0.114,0.16,0.17,23.2,1,5,26,5,2.4,4.27,2.1,234,202,10000,24.34,22.4,1,0.1,1.1,10,0.14,0.23212000000000002,270,5,,2060,0.206,0.01,52,2.97,0.1,5,217,0.1,0.03,0.5,3.87,27,1,36,1.4,,0.2,2.1,1,0.3,4,2.15,0.1,3.9,0.08,0.2,0.05,1,0.5,0.41,1.7,0.4,0.15,0.55,0.47,0.11,0.23,0.05,1,-,-,-,-,-,-,-,-,-,-,-,-,,-,,-,-,-,-,-
4,OVD001,721959.82,5144522.27,15.5,15.5m,40899,MIRES,,2023,x,,,,,,,gabbro,schist,,1.1809045226130652,318.8461538461538,0.064,0.02,0.018,1.46,7.97,13,193,5,0.3,1.5,0.3,278,235,7757,0.7757,10.59,17,0.1,9.6,44,3.07,5.090059999999999,1063,2,,6397,0.6397,0.04,19,0.03,0.2,34,829,1.6,0.4,0.5,2.59,199,1,147,43.2,,2.6,11.4,2,0.2,1,0.34,1.3,22.4,0.47,1.5,0.24,2,0.5,3.06,14.4,3.3,1.1,3.08,2.6,0.48,1.32,0.23,3,15.71,0.26,2.28,0.04,18.26,0.32,5.13,0.15,1.6,0.15,0.1,44.74,,0.76,,0.01,0.79,0.76,0.03,0.01
5,OVD001,721959.82,5144522.27,35.8,35.8m,40905,MIRES,,2023,x,,,,,,,gabbro,Diabase,,0.6171171171171171,15.720930232558139,0.005,0.01,0.004,0.68,9.96,6,218,5,0.1,1.35,0.3,40,137,662,0.0662,7.43,21,0.94,10.8,68,2.74,4.5429200000000005,1322,2,,355,0.0355,0.07,9,0.02,0.4,33,338,1.5,0.67,0.5,1.02,222,1,111,94.1,,21.5,26.2,5,0.2,2,0.09,0.9,23.1,0.74,2.7,0.47,3,0.5,3.24,15.6,3.8,1.31,4.67,4.81,0.96,2.85,0.39,2,18.11,0.05,1.83,0.02,10.93,1.33,4.39,0.17,2.5,0.17,0.1,51.59,,1.1,,0.01,0.05,1.1,0.04,0.01
6,OVD001,721959.82,5144522.27,56.8,56.8m,40900,NUM,,2023,x,,,,,,,spotted/Schist ,Gabbro,,7.87378640776699,98.05555555555556,0.017,0.02,0.018,0.45,5.05,5,129,5,0.1,7.03,0.3,96,811,861,0.0861,6.51,10,0.1,9.4,70,9.75,16.165499999999998,1264,2,,983,0.0983,0.08,9,0.12,0.1,17,353,0.6,0.46,0.5,0.77,103,1,60,22.6,,3.6,13.4,3,0.2,1,0.19,1.3,21.4,0.41,1.3,0.18,2,0.5,2.86,12.5,2.8,0.94,2.72,2.64,0.48,1.3,0.2,1,9.27,0.07,9.53,0.13,11.06,0.37,15.31,0.18,0.83,0.18,0.3,38.12,,0.76,,0.01,0.08,0.76,0.02,0.01
7,OVD001,721959.82,5144522.27,62.4,62.4m,40907,MIRES,,2023,x,,,,,,,schist,Diabase,,4.614814814814815,108.29268292682927,0.021,0.02,0.017,0.76,5.99,5,224,5,0.2,6.08,0.3,87.4,623,919,0.0919,7.31,12,0.1,12.3,41,8.53,14.142739999999998,1362,2,,881,0.0881,0.09,12,1.41,0.1,21,444,0.9,0.53,0.5,0.73,135,1,79,23.5,,4.1,18.6,4,0.2,1,0.22,0.8,27.9,0.58,1.9,0.26,3,0.5,3.66,16.2,3.5,1.13,3.93,3.55,0.69,1.85,0.25,2,11.23,0.05,8.48,0.1,11.18,0.53,13.86,0.19,1.66,0.24,2.64,41.17,,0.92,,0.01,0.08,0.92,0.03,0.01
8,OVD001,721959.82,5144522.27,68,68m,40913,NUM,,2023,x,,,,,,,schist?,Gabbro,,1.7256637168141593,40.74074074074074,0.122,0.2,0.216,4.17,5.52,9,105,5,1.8,0.84,1.8,542,195,8698,0.8698,19.33,11,0.1,7.5,42,2.94,4.8745199999999995,1084,2,,1.19,0.00011899999999999999,0.03,42,14.66,0.5,18,220,0.8,0.33,0.5,0.55,113,1,97,13.1,,5.4,13.6,3,0.2,2,2.1,0.9,16.2,0.41,1.5,0.24,2,0.5,2.06,9.5,2.3,0.7,2.59,2.71,0.52,1.4,0.21,2,10.98,0.15,1.4,0.03,30.37,0.51,4.54,0.17,1.6,0.12,9.89,32.27,,0.59,,0.01,0.67,0.59,0.02,0.01
9,OVD002,722011.84,5144334.01,20.4,20.4m,40901,MIRES,,2023,x,,,,,+,,gabbro,Gabbro,,11.092783505154639,143.33333333333334,0.038,0.03,0.041,2.86,4.27,5,64,5,1.3,2.37,0.8,178,1076,5019,0.5019,12.52,9,0.24,8.1,25,10.23,16.96134,991,2,,3378,0.3378,0.04,28,0.1,0.2,15,258,0.8,0.39,0.5,1.7,97,1,106,64,,1.8,12.6,3,0.2,2,0.9,0.8,19,0.46,1.2,0.19,2,0.5,2.67,11.9,2.7,0.88,2.71,2.58,0.52,1.41,0.21,1,7.43,0.01,3.6,0.18,18.38,0.14,16.41,0.15,0.51,0.15,0.23,39.77,,0.69,,0.01,1.03,0.69,0.01,0.02
10,OVD002,722011.84,5144334.01,37,37m,40910,MIRES,,2023,x,,,,,,,schist?,Gabbro,,5.222222222222222,72.5,0.052,0.06,0.063,3.11,5.74,5,147,5,1.4,2.83,1.5,175,658,4213,0.4213,10.97,13,0.17,12.9,22,9.46,15.68468,1208,2,,3441,0.3441,0.09,17,2.75,0.2,18,290,1.7,0.51,0.5,0.49,126,1,97,95.3,,4,17.4,3,0.2,2,1.02,0.2,29.1,0.57,1.8,0.23,2,0.5,3.93,17.2,3.7,1.2,3.79,3.36,0.65,1.78,0.25,2,10.6,0.01,4.28,0.1,15.52,0.37,15.09,0.17,1.3,0.26,4.51,42.08,,0.89,,0.01,0.49,0.89,0.02,0.02
11,OVD002,722011.84,5144334.01,51.6,51.6m,40909,MIRES,,2023,x,,,,,,,Spotted,Gabbro,,0.9941860465116279,12.695652173913043,0.001,0.01,0.005,0.02,7.99,7,158,0.9,0.04,0.39,0.04,30.4,171,91.8,0.009179999999999999,8.25,22.8,1.36,2.5,71,3.15,5.2227,1020,0.27,1.58,102,0.0102,0.0322,3.4,0.28,0.11,28.8,146,0.5,0.23,0.1,0.6,172,0.3,69,22.9,2,11.5,6.3,1.6,0.04,0.3,,1,6.65,0.26,1.1,0.17,1.07,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
