No,Hole id,east,North,Elev,Azi,Dip,Depth,Project
1,SC01,722320,5144039,1837.88,220,-60,61.8,Oval
2,SC03,722394.14,5144052.36,1848.09,210,-60,116.5,Oval
3,SC04,722594.84,5143989.92,1823.13,210,-70,281.5,Oval
4,OVD001,721959.82,5144522.27,1837,260,-60,93.4,Oval
5,OVD002,722011.84,5144334.01,1835.87,0,-90,167.5,Oval
6,OVD003,722024.96,5144147.09,1847.09,60,-60,209.5,Oval
7,OVD004,721954.61,5144510.72,1837.18,215,-62,94.5,Oval
8,OVD005,722019.75,5144331.43,1836.06,60,-60,101.5,Oval
9,OVD006,721978.08,5144520.35,1835.8,275,-60,56.5,Oval
10,OVD007,722016.71,5144416.86,1835.48,240,-60,100.7,Oval
11,OVD008,722102.84,5144249.78,1840.96,240,-70,162.5,Oval
12,OVD009,722162.29,5144172.01,1847.47,240,-78,240,Oval
13,OVD010,722252.68,5144221.89,1856.54,240,-65,349.8,Oval
14,OVD011,722147.92,5144268.65,1843.87,235,-65,315.5,Oval
15,OVD012,722135.08,5144173.45,1845,174,-65,354.3,Oval
16,OVD013,722118.51,5144197.85,1843.33,240,-78,268,Oval
17,OVD014,722110.92,5144300.85,1841.21,240,-60,149.5,Oval
18,OVD015,722049,5144108,1843.01,63,-57,213.7,Oval
19,OVD016,721756.22,5144649.84,1827.75,64,-57,80.5,Oval
20,OVD017,721824.05,5144688.95,1822.68,244,-55,61.7,Oval
21,OVD018,721812.77,5144734.86,1809.33,235,-55,59.2,Oval
22,OVD019,721782.77,5144792.56,1810.58,225,-50,91.2,Oval
23,OVD020,722120.03,5144151.61,1846.34,260,-78,179.5,Oval
24,OVD021,722024,5144354.55,1835.8,150,-60,184.5,Oval
25,OVD022,722013.72,5144369.6,1834.448,146.94,-60,164.4,Oval
26,OVD023,722034,5144337.2,1836.77,150.6,-60,149.9,Oval
27,OVD024,722016.8,5144260,1840.36,40,-65,170.4,Oval
28,OVD025,721825.2,5144751,1811.82,234,-55,65.9,Oval
29,OVD026,722058,5144351,1836.75,314.9,-50,125,Oval
30,OVD027,722024,5144354.55,1835.8,140,-65,147.9,Oval
31,OVD028,721790.4,5144754,1808.95,205,-63,53.9,Oval
32,OVD029,722135.08,5144173.45,1845,130,-70,175.5,Oval
33,OVD030,722116,5144136,1850,350,-85,459.5,Oval
34,OVD031,721997.4,5144356,1835.4,60,-70,128.2,Oval
35,OVD032,721902.78,5144110,1836.5067,60,-55,401,Oval
36,OVD033,722082.25,5144356.75,1838.69,205,-65,351.5,Oval
37,OVD034,722016.7,5144417,1835.48,240,-78,97.7,Oval
38,OVD035,721919.026,5144627.521,1828.469,240,-75,108.7,Oval
39,OVD036,721906,5144595,1827.4,347,-60,141.5,Oval
40,OVD037,721915,5144531,1839.4,136,-57,62,Oval
41,OVD038,721906,5144595,1827.4,356,-84,150.5,Oval
42,OVD039,721921,5144604,1828.5,210,-65,129.5,Oval
43,OVD040,722059.94,5144304,1837.84,350,-75,129.5,Oval
44,OVD041,721884.56,5144595.7,1827.5625,61,-67,138.5,Oval
45,OVD042,721958.36,5144403,1833.3678,60,-63,99.5,Oval
46,OVD043,721935.06,5144529.99,1838.17,5,-60,80,Oval
47,OVD044,721761.7,5144755,1809.46,70,-74,70,Oval
48,SC08,721622.66,5144625.2,1817.425,60,-62,111.5,Oval
49,OVD045,721878.66,5144787.65,1815.31,235,-60,150.5,Oval
50,OVD046,722174.84,5144115.4,1850.959492,240,-85,210,Oval
51,OVD047,722027.89,5144291.4,1837,60,-79,342.7,Oval
52,OVD048,721745.6264,5144802.503,1808.279022,210,-60,42.4,Oval
53,SC05,723005.3,5143614,1843.051,33,-70,402,Central
54,SC06,722452,5146266,1933,190,-70,61.9,MS2
55,SC07,727640,5142100,1847.55,180,-70,254.2,MS1
56,SC09,723164,5143121,1835,80,-50,207.4,Quartz Hill
57,SC10,727786.8395,5142030.236,1849.06,180,-75,237,MS1
58,SC11,727640.19,5142146.6,1850.6478,180,-70,443.7,MS1
59,CRS01,725246.53,5150635.39,2004.34,180,-60,52.7,Copper Ridge
60,CRS01A,725237.26,5150570.09,1990.94,30,-70,200.5,Copper Ridge
61,CRS02,725372,5150600.8,2007.14,180,-70,108.7,Copper Ridge
62,CRS03,724869,5150551,1976,180,-60,111.5,Copper Ridge
63,CRS04,725891,5150808,2056.1,40,-70,171.5,Copper Ridge
64,BS001,725900,5138590,1745,40,-77,525.7,Bayansair
65,OVD049,722128,5144059,1844,60,-70,216.2,SE extention
66,OVD050,722420.86,5144096.3,1851.84,210,-60,195,SE extention
67,OVD051,721906,5144595,1827.8892,330,-62,134.8,
68,OVD052,722166,5144109,1850.5,140,-63,193.7,SE extention
