No,Hole ID,Depth,Dip,Azimuth
2,OVD001,0,-60,260
3,OVD001,9,-60,260.7
4,OVD001,15,-60,263.3
5,OVD001,21,-60,263.8
6,OVD001,27,-60,264
7,OVD001,33,-60,264.6
8,OVD001,39,-60,264.3
9,OVD001,45,-60,264.4
10,OVD001,51,-60,264
11,OVD001,57,-60,263.5
12,OVD001,63,-60,262.4
13,OVD001,69,-60,263.6
14,OVD001,75,-60,264.3
15,OVD001,81,-60,263.9
16,OVD002,0,-90,0
17,OVD003,0,-61.76,61
18,OVD003,29,-61.52,61.6
19,OVD003,59,-61.28,61.1
20,OVD003,89,-60.66,61.5
21,OVD003,119,-60.28,62
22,OVD003,149,-60.36,65.2
23,OVD003,179,-60.42,67.9
24,OVD003,209.5,-60.4,67.9
25,OVD004,0,-60,212.9
26,OVD004,13,-60,213.5
27,OVD004,19,-60,213
28,OVD004,25,-60,214.5
29,OVD004,31,-60,214.5
30,OVD004,37,-60,214.6
31,OVD004,43,-60,214.4
32,OVD004,49,-60,214.3
33,OVD004,55,-60,214.5
34,OVD004,61,-60,214.4
35,OVD004,67,-60,214.4
36,OVD004,73,-60,214.5
37,OVD004,79,-60,213.8
38,OVD004,85,-60,213.9
39,OVD004,91,-60,213.9
40,OVD005,0,-60,58.4
41,OVD005,11,-60,63
42,OVD005,17,-60,61.8
43,OVD005,23,-60,61.4
44,OVD005,29,-60,66.5
45,OVD005,35,-60,63.1
46,OVD005,41,-60,65.4
47,OVD005,47,-60,63.4
48,OVD005,53,-60,62.7
49,OVD005,59,-60,66.9
50,OVD005,65,-60,62
51,OVD005,71,-60,61.5
52,OVD005,77,-60,59.2
53,OVD005,83,-60,61
54,OVD005,89,-60,61.5
55,OVD005,95,-60,61.5
56,OVD005,101.5,-60,61.5
57,OVD006,0,-60,275
58,OVD007,0,-59.3,236.8
59,OVD007,30,-59.3,237.8
60,OVD007,60,-59.3,234.5
61,OVD007,93,-59.3,234.5
62,OVD007,100.7,-59.3,234.5
63,OVD008,0,-69.7,236.1
64,OVD008,5,-69.7,236.4
65,OVD008,10,-69.5,236.3
66,OVD008,15,-69.5,236.5
67,OVD008,20,-69.5,236.7
68,OVD008,25,-69.5,236.9
69,OVD008,30,-69.5,237.1
70,OVD008,35,-69.5,237.4
71,OVD008,40,-69.5,237.8
72,OVD008,45,-69.5,237.7
73,OVD008,50,-69.5,237.7
74,OVD008,55,-69.5,237.7
75,OVD008,60,-69.5,237.7
76,OVD008,65,-69.6,237.6
77,OVD008,70,-69.6,237.5
78,OVD008,75,-69.5,237.8
79,OVD008,80,-69.8,237.5
80,OVD008,85,-69.8,237.7
81,OVD008,90,-69.9,237.8
82,OVD008,95,-69.9,238.1
83,OVD008,100,-69.7,238.1
84,OVD008,105,-69.7,238.1
85,OVD008,110,-69.7,237.8
86,OVD008,115,-69.7,237.9
87,OVD008,120,-69.7,238.5
88,OVD008,125,-69.6,238.1
89,OVD008,130,-69.6,238.3
90,OVD008,135,-69.6,238.6
91,OVD008,140,-69.6,238.7
92,OVD008,145,-69.7,238.8
93,OVD008,150,-69.8,238.9
94,OVD008,155,-69.7,238.7
95,OVD008,158,-69.7,238.4
96,OVD009,0,-77.72,242.19
97,OVD009,56,-77.72,242.19
98,OVD009,104,-77.87,242.63
99,OVD009,144,-78.15,243.14
100,OVD009,198,-78.91,244.64
101,OVD009,200.5,-78.91,244.64
102,OVD010,0,-65.7,241.8
103,OVD010,20,-65.7,241.8
104,OVD010,24,-65.7,241.3
105,OVD010,40,-65.9,242
106,OVD010,60,-65.8,241.46
107,OVD010,68.8,-65.8,241.7
108,OVD010,72,-65.5,242.2
109,OVD010,140,-65.2,242.44
110,OVD010,168,-65.13,243.54
111,OVD010,216,-65.37,244.31
112,OVD010,264,-65.58,244.81
113,OVD010,312,-64.95,246.88
114,OVD010,349.8,-64.95,246.88
115,OVD012,0,-66.12,172.76
116,OVD012,50,-66.12,172.76
117,OVD012,100,-66.33,173.05
118,OVD012,150,-66.18,173.74
119,OVD012,200,-66.12,174.63
120,OVD012,230,-66.38,173.47
121,OVD012,260,-66.18,172.65
122,OVD012,320,-66.41,173.15
123,OVD012,347.5,-66.47,173.32
124,OVD012,354.3,-66.47,173.32
125,OVD013,0,-76.98,239.85
126,OVD013,32.9,-76.98,239.85
127,OVD013,53.9,-77.43,241.58
128,OVD013,92.9,-77.42,241.15
129,OVD013,122.9,-77.65,239.65
130,OVD013,155.9,-77.31,245.12
131,OVD013,161.15,-77.31,245.12
132,OVD014,0,-59.11,235.57
133,OVD014,50.5,-59.11,235.57
134,OVD014,101,-59.28,236.88
135,OVD014,143.5,-59.69,237.57
136,OVD014,149.5,-59.69,237.57
137,OVD015,0,-56.17,62.53
138,OVD015,51,-56.17,62.53
139,OVD015,101,-55.88,64.53
140,OVD015,150,-55.91,66.62
141,OVD015,200,-56.08,64.52
142,OVD015,213.7,-56.08,64.52
143,OVD016,0,-56.79,59.48
144,OVD016,50.5,-56.79,59.48
145,OVD016,80.5,-56.79,59.48
146,OVD017,0,-53.75,247.42
147,OVD017,13.7,-53.75,247.42
148,OVD017,61.7,-54.51,246.59
149,OVD018,0,-53.86,238.27
150,OVD018,50,-53.86,238.27
151,OVD018,59.2,-53.86,238.27
152,OVD019,0,-47.93,222.56
153,OVD019,5,-47.82,222.48
154,OVD019,10,-48.67,222.31
155,OVD019,15,-48.81,222.39
156,OVD019,20,-48.63,222.44
157,OVD019,25,-48.57,222.61
158,OVD019,30,-48.55,222.72
159,OVD019,35,-48.38,222.5
160,OVD019,40,-48.55,222.44
161,OVD019,45,-48.41,222.36
162,OVD019,50,-48.32,222.36
163,OVD019,55,-48.3,222.3
164,OVD019,60,-48.26,222.45
165,OVD019,65,-48.09,222.33
166,OVD019,70,-48.12,222.26
167,OVD019,75,-47.87,222.14
168,OVD019,80,-47.55,221.9
169,OVD019,80.54,-47.55,221.92
170,OVD019,91.2,-47.55,221.92
171,OVD020,0,-78.18,253.49
172,OVD020,50,-78.18,253.49
173,OVD020,101.5,-78.58,255.7
174,OVD020,130.5,-78.89,253.32
175,OVD020,160,-79.21,254.44
176,OVD020,179.5,-79.21,254.44
177,OVD021,0,-61.15,150.28
178,OVD021,29.5,-61.15,150.28
179,OVD021,59.5,-61.33,147.25
180,OVD021,89.5,-61.77,148.23
181,OVD021,119.5,-61.79,148.65
182,OVD021,149.5,-61.76,148.87
183,OVD021,184.5,-61.65,149.29
184,OVD022,0,-62.25,146.94
185,OVD022,5,-61.78,146.28
186,OVD022,10,-61.85,146.09
187,OVD022,15,-62,146.42
188,OVD022,20,-62.29,146.81
189,OVD022,25,-62.3,147.4
190,OVD022,30,-62.4,147.8
191,OVD022,35,-62.3,147.9
192,OVD022,40,-62.2,147.7
193,OVD022,45,-62.1,148
194,OVD022,50,-62.1,148.2
195,OVD022,55,-62.1,148.2
196,OVD022,60,-62.1,148.2
197,OVD022,65,-62.2,148.4
198,OVD022,70,-62,148.4
199,OVD022,75,-62.1,148.5
200,OVD022,80,-62.2,148.6
201,OVD022,85,-62.2,148.6
202,OVD022,90,-62.4,148.6
203,OVD022,95,-62.1,148.6
204,OVD022,100,-61.9,148.6
205,OVD022,105,-61.8,148.7
206,OVD022,110,-61.7,148.7
207,OVD022,115,-61.8,148.8
208,OVD022,120,-61.9,148.7
209,OVD022,125,-62,149
210,OVD022,130,-62,149.1
211,OVD022,135,-62,149.3
212,OVD022,140,-61.9,149.4
213,OVD022,145,-61.7,149.5
214,OVD022,150,-61.8,149.4
215,OVD022,155,-61.7,149.4
216,OVD022,160,-61.7,149.3
217,OVD022,162.1,-61.7,149.3
218,OVD023,0,-59.6,145.2
219,OVD023,5,-59.5,144.9
220,OVD023,10,-59.4,144.9
221,OVD023,15,-59.1,145
222,OVD023,20,-59.3,145
223,OVD023,25,-59.4,145.1
224,OVD023,30,-59.4,145.3
225,OVD023,35,-59,145.4
226,OVD023,40,-58.9,145.6
227,OVD023,45,-59,145.7
228,OVD023,50,-58.7,145.7
229,OVD023,55,-58.5,145.5
230,OVD023,60,-58.7,145.5
231,OVD023,65,-58.4,145.6
232,OVD023,70,-58.4,145.6
233,OVD023,75,-58.5,145.5
234,OVD023,80,-58.3,145.5
235,OVD023,85,-58.5,145.5
236,OVD023,90,-58.6,145.6
237,OVD023,95,-58.6,145.7
238,OVD023,100,-58.4,145.8
239,OVD023,105,-58.4,146
240,OVD023,110,-58.2,146.2
241,OVD023,115,-58,146.2
242,OVD023,120,-58.2,146.3
243,OVD023,125,-57.9,146.3
244,OVD023,130,-57.9,146.4
245,OVD023,135,-58,146.3
246,OVD023,140,-58,146.3
247,OVD023,145,-58.1,146.4
248,OVD023,147.9,-58.1,146.4
249,OVD024,0,-64.9,43.7
250,OVD024,5,-64.8,43.5
251,OVD024,10,-64.9,43.4
252,OVD024,15,-64.6,43.3
253,OVD024,20,-64.4,43.3
254,OVD024,25,-64.2,43.4
255,OVD024,30,-64.3,43.4
256,OVD024,35,-64.3,43.7
257,OVD024,40,-64.1,43.7
258,OVD024,45,-64,43.9
259,OVD024,50,-63.8,44.1
260,OVD024,55,-63.7,44.4
261,OVD024,60,-63.7,44.6
262,OVD024,65,-63.6,44.4
263,OVD024,70,-63.7,44.5
264,OVD024,75,-63.4,44.3
265,OVD024,80,-63.4,44.3
266,OVD024,85,-63.2,44.1
267,OVD024,90,-63.1,44.1
268,OVD024,95,-63.3,43.9
269,OVD024,100,-63.3,44
270,OVD024,105,-63.4,44
271,OVD024,110,-63.5,44.2
272,OVD024,115,-63.3,44.2
273,OVD024,120,-63.2,44.1
274,OVD024,125,-63.2,44.2
275,OVD024,130,-63.1,44.1
276,OVD024,135,-63,44.1
277,OVD024,140,-63.1,44.1
278,OVD024,145,-63.1,44.1
279,OVD024,150,-63.1,44
280,OVD024,155,-63.2,44
281,OVD024,160,-63.3,43.8
282,OVD024,165,-63.2,43.8
283,OVD024,168.1,-63.4,43.9
284,OVD025,0,-54.5,232.2
285,OVD025,5,-54.3,231.7
286,OVD025,10,-54.4,231.8
287,OVD025,15,-54.4,231.7
288,OVD025,20,-54.4,231.7
289,OVD025,25,-54.4,231.5
290,OVD025,30,-54.2,231.5
291,OVD025,35,-54,231.5
292,OVD025,40,-54,231.6
293,OVD025,45,-54,231.8
294,OVD025,50,-54,232
295,OVD025,55,-53.9,232.1
296,OVD025,60,-53.7,231.9
297,OVD025,62.4,-53.7,232
298,OVD026,0,-50.5,314.1
299,OVD026,5,-50.1,313.9
300,OVD026,10,-50.3,313.6
301,OVD026,15,-50.6,313.8
302,OVD026,20,-50.6,313.7
303,OVD026,25,-50.5,313.9
304,OVD026,30,-50.3,313.9
305,OVD026,35,-50.3,313.9
306,OVD026,40,-50.4,313.9
307,OVD026,45,-50.3,314
308,OVD026,50,-50.5,313.9
309,OVD026,55,-50.6,313.8
310,OVD026,60,-50.7,313.7
311,OVD026,65,-50.9,313.5
312,OVD026,70,-50.8,313.5
313,OVD026,75,-50.9,313.4
314,OVD026,80,-50.8,313.5
315,OVD026,85,-50.9,313.5
316,OVD026,90,-51.1,313.5
317,OVD026,95,-51.1,313.3
318,OVD026,100,-51.2,313.2
319,OVD026,105,-51.3,313
320,OVD026,110,-51.6,313
321,OVD026,115,-51.5,313
322,OVD026,120,-51.7,313
323,OVD026,121.1,-51.7,313.1
324,OVD027,0,-65,137.2
325,OVD027,5,-65,137.1
326,OVD027,10,-65.1,137.7
327,OVD027,15,-65.1,137.6
328,OVD027,20,-65,138.2
329,OVD027,25,-65.1,138.2
330,OVD027,30,-65.2,138.5
331,OVD027,35,-65.1,138.9
332,OVD027,40,-65.2,139
333,OVD027,45,-65.3,139.1
334,OVD027,50,-65.4,139.2
335,OVD027,55,-65.7,139.5
336,OVD027,60,-65.5,139.5
337,OVD027,65,-65.5,139.7
338,OVD027,70,-65.4,139.9
339,OVD027,75,-65.3,140
340,OVD027,80,-65.4,140.2
341,OVD027,85,-65.2,140.2
342,OVD027,90,-65.3,140.5
343,OVD027,95,-65.6,140.4
344,OVD027,100,-65.6,140.6
345,OVD027,105,-65.7,140.7
346,OVD027,110,-65.8,140.6
347,OVD027,115,-65.8,140.6
348,OVD027,120,-65.8,140.7
349,OVD027,125,-65.7,140.8
350,OVD027,130,-65.7,140.9
351,OVD027,135,-65.5,141.1
352,OVD027,140,-65.5,141.2
353,OVD027,144.9,-65.7,141.5
354,OVD028,0,-62.53,204.32
355,OVD028,5,-62.41,204.36
356,OVD028,10,-62.24,204.42
357,OVD028,15,-62.58,204.55
358,OVD028,20,-62.66,204.72
359,OVD028,25,-62.59,204.77
360,OVD028,30,-62.63,204.74
361,OVD028,35,-62.42,204.58
362,OVD028,40,-62.17,204.36
363,OVD028,45,-61.97,203.9
364,OVD028,50,-61.71,203.54
365,OVD028,50.71,-61.66,203.51
366,OVD029,0,-68.6,132
367,OVD029,5,-68.6,130.5
368,OVD029,10,-68.5,130.4
369,OVD029,15,-68.4,130.3
370,OVD029,20,-68.3,130.5
