#,Sample ID,Lab type,X,Y,Rock name,#,Sample_number,Description,Sample analysis,Sample analysis,Sample analysis,Sample analysis,Description
#,Sample ID,Lab type,X,Y,Rock name,#,Sample_number,Description,Polished thin section,Thin section,ASD,Fluid inclusion,Description
1,YT-08,petro/xrd,722350.4,5143990.61,Rhyodacite,,,,x,,,x," Strong porisity sulfide,  sercite alteration zone. sferoid texture in contact part. alteration zone wide 1m. length 25m"
2,YT-20,petrography,722303.65,5144031.73,Basalt - Andesite basalt,,,,x,,,x,Altered basalt. Wide 2M. STRIKE NW300.
3,YM-27,petrography,722121.37,5144721.31,Andesite porphyry,,,,x,,,x, pillow lava. ser mod. mod weath. stuff awaw.
4,YM-29,petrography,722156.87,5144590.09,Subvolcanic Rock,,,,x,,,x, SE139. Metasandstone?? 5m orchim zuzaan. high weath. zanar ni q eer herchigdsen. stuff awaw
5,YT-21,petrography,722117.6,5144039,Basalt - Andesite basalt,,,,x,,,x,basalt-andesibasalt
6,YT-38,petro/xrd,722620.01,5143619.98,Andesite porphyry,,,,x,,,x,"Weak-moderate limonite, hematite, weakly pyrite rhyolite dyke  "
7,YT-40,petrography,799827,5146528,Tuffsandstone,,,,x,,,x, tuff
8,2021-01,petrography,721977,5144570,,,,,,,,,Gossan
9,OV202202,petrography,,,Altered andesite,,,,,,,,
10,OV202203,petrography,,,Schist or Mudstone,,,,,,,,
11,OVF-1,petrography,721957,5144521,Quartz vein,,,,,,,,Gossan
12,OVF-2,petrography,721955,5144520,Quartzite,,,,,,,,quartzite hematite ?
13,20,petrography,,,Dacite Porphyry,,,,,,,,dacite porphyry
14,OV-40,petrography,721758.24,5144762.44,Intrusive Rock?,,,,,,,," Yelowish brown,  porphyry,  weak limonite,  pyrite rock"
15,OV-41,petrography,721752.95,5144759.69,mafic intrusive,,,,,,,," Light yellowish,  moderate Py,  weak hematite,  moderate limonite altered rock"
16,OV-51,petrography,722721.77,5143535.38,altered dolerite,,,,,,,, Dark grey fine grained altered rhyolite dyke. andesite ?
17,sh-14,petrography,721955,5144520,Gossan,,,,,,,,Gossan
18,sh-18,petrography,721956,5144520,Diorite,,,,,,,,Gossan
19,sh-14-1,petrography,721948,5144538,Diorite,,,,,,,,Gossan
20,sh-16,petrography,721964.37,5144632.72,Gossan,,,,,,,,Gossan
21,2107,petrography,721940,5144536,Gabbro amphybolite,,,,,,,,Gabbro
22,2104-1,petrography,721963,5144519,Габбродиорит порфироор үүссэн амфиболит,,,,,,,,Gossan
23,A,petrography,721934.27,5144523.75,Gabbro pyroxenite,,,,,,,,Gossan
24,2102,petrography,721923,5144521,Gabbrodiorite porphyry and Amphybolite,,,,,,,,Basalt
25,TS1,petrography,723196.31,5144020.8,Gabbro dyke,,,,x,,,x,
26,TS2,petrography,723253.82,5144074,Diabase dyke,,,,x,,,,
27,TS3,petrography,722509.53,5142753.8,Gabbro dyke,,,,,x,,,
28,TS4,petrography,722367,5143973.8,Gabbro dyke,,,,x,,,,
