#,Sample_number,Description,Sample analysis,Sample analysis,Sample analysis,Sample analysis,,,
#,Sample_number,Description,Polished thin section,Thin section,ASD,Fluid inclusion,New Lithology,sugar бэлтгэл,sugar өнгөлгөө
1,43113,Hematite and limonite altered quartz vein,x,,,x,,,
2,43122,Intense Limonited Metasediment rock. Cut by Quartz.,x,,,x,,ok,
3,43123,Intense Limonited Metasediment rock. Cut by Quartz.,x,,,x,,,
4,43125,"Py boxwork in Quartz Veins, moderate to Strong jarosite in Py in Rock.",x,,,x,,ok,
5,43141,"Mendee's CR82 point. Strong silcified hydrothermal brecciated metasedimentary. XRF reading high sulfur S-4000ppm, Phosphorus-1%. Hydrothermal cement material has magnetite.",x,,,x,,ok,
6,43144,"Qtz sheeted veinlets. 21 veins per meter. XRF reading Cu-3500ppm. The rock is strong silcified limonite hematite altered metasedimentary cut by veinlets. Strong limonite altered part's XRF reading is 270ppm Cu, but the less limonite altered, strong silicic altered and cut by sheeted veins part contains 3500ppm Cu by XRF reading. Sample CR86. dip azi 315, dip 63. ",x,,,x,,ok,
7,43146,Strong  hematite altered gneissous rock,x,,,x,,ok,
8,41154,"Hydrotermal breccia. Strongly brecciated rock. Quartz, carbonate breccia. Light yellowish, moderately limonite, strongly carbonate alteration",x,,,x,,ok,
9,41155,"Greenish gray, porphyritic diorite, disseminated py, limonite, malachite replaced sulfide blebs with some residual chalcopyrite",x,,,,,ok,
10,41160,"Dark green, moderately magnetic, strongly chlorytic mafic rock (Andesite?)",,x,,,,ok,
11,41161,Andesitic rock with hematitic alteration along the fractures,x,,,,,ok,
12,41162,Felsic rock with jarositic alteration,x,,,,,ok,
13,41163,Andesite with some malachite within the fractures,x,,,,,ok,
14,41167,"Meta sediment with strongly laminated texture, with strong limonitic, hematitic, sericitic alterations ",x,,,,,ok,
15,41168,"Meta sediment with strongly argillic, limonitic, sercitic alterations",x,,,,,ok,
16,41169,Altered rock with strong silicification and hematitic alterations,x,,,,,ok,
17,41172,"Rhyolite with strong goetic, hematitic, limonitic and argillic aletrations",x,,,,,ok,
18,41178,Light yellowish altered porphyritic rhyolite with strong limonitic alterations,x,,,,,ok,
19,41179,Alkaline rock with strong hematitic alterations,x,,,,,ok,
20,41180,"Light greenish altered rhyolite with strong silicification, located on the north side of the fault, maybe related to the fault zone the rock may be altered. ",x,,,,,ok,
21,41183,Andesite,,x,,,,,
22,47077,Strong metasomatized ultramafic,x,,,,,,
23,47084,Ultramafic?,,x,,,,,
24,47076,Strong metasomatized ultramafic,x,,,,,,
25,47071,Monzodiorite,x,,,,,,
26,47072,Monzodiorite,,x,,,,,
27,47073,Monzodiorite,x,,,,,,
28,CR66,Fuchsite ,,x,,,,,
29,CR99,Mafic rock,,x,,,,,
30,CR71,Basalt,,x,,,,,
31,CR1,Andesite,x,,,,,,
32,CRE,"Strong sericite, jarosite altered metasomatite",x,,,,,,
