#,Hole ID,From,To,Sample Number,,Lithology,Sample analysis,Sample analysis,Sample analysis,Sample analysis,Sample analysis,Report,New Lithology by Petrographic,,,,HOLE_ID,SAMPLE_ID,Petrographic Sample # ,Petrographer,from,to,depth,Lithology,SAMPLE_ID,PGM-ICP27,PGM-ICP27,PGM-ICP27,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,Cu-OG62,ME-ICP61,Ni-OG62,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,IC40M,IC40M,IC40M,IC40M,IC40M,IC40M,IC40M,IC40M,IC40M,IC40M,IC40M,IC40M,IC40M,IC40M,IC40M,IC90M,IC90M,IC90M,IC90M,IC90M,IC90M,IC90M,IC90M,IC90M,IC90M,ME-XRF26,ME-XRF26,ME-XRF26,ME-XRF26,ME-XRF26,ME-XRF26,ME-XRF26,ME-XRF26,ME-XRF26,ME-XRF26,ME-XRF26,ME-XRF26,ME-XRF26,ME-XRF26,ME-XRF26,XRF76V,XRF76V,XRF76V,XRF76V,XRF76V
#,Hole ID,From,To,Sample Number,Sample Number ,Lithology,Polished thin section,Thin section,ASD,XRD,Fluid inclusion,,New Lithology by Petrographic,sugar бэлтгэл,sugar өнгөлгөө,,HOLE_ID,SAMPLE_ID,Petrographic Sample # ,Petrographer,from,to,depth,Lithology,SAMPLE_ID,PGM-ICP27,PGM-ICP27,PGM-ICP27,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,Cu-OG62,ME-ICP61,Ni-OG62,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,IC40M,IC40M,IC40M,IC40M,IC40M,IC40M,IC40M,IC40M,IC40M,IC40M,IC40M,IC40M,IC40M,IC40M,IC40M,IC90M,IC90M,IC90M,IC90M,IC90M,IC90M,IC90M,IC90M,IC90M,IC90M,ME-XRF26,ME-XRF26,ME-XRF26,ME-XRF26,ME-XRF26,ME-XRF26,ME-XRF26,ME-XRF26,ME-XRF26,ME-XRF26,ME-XRF26,ME-XRF26,ME-XRF26,ME-XRF26,ME-XRF26,XRF76V,XRF76V,XRF76V,XRF76V,XRF76V
72,OVD027,98.9,99.1,OVD027-99,47091,Massive sulphide,,,,,,x,,,,,OVD027,47334,47091,Altantsetseg,99,100,1,MASSIVE SULPHIDE,47334,0.16,0.41,0.59,23,0.07,6,<10,<0.5,<2,0.03,9.4,996,4,10000,5.51,>10000,3.4,0.001,204,>10.0,<5,1,<1,<20,0.01,<10,<10,14,<10,224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,OVD027,109.7,109.89999999999999,OVD027-109.8,47092,Gabbro mineralized,x,,,,,x,,,,0,OVD027,47343,47092,Altantsetseg,108,110,2,Mineralised gabbro,47343,0.08,0.11,0.15,7.4,1.86,<5,30,<0.5,2,1.09,2.5,589,773,10000,1.445,>10000,1.23,0.023,61,>10.0,<5,6,136,<20,0.13,<10,10,49,<10,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,OVD027,116.7,116.89999999999999,OVD027-116.8,47093,Gabbro mineralized,x,,,,,x,,,,0,OVD027,47347,47093,Altantsetseg,116,117.8,1.7999999999999972,Mineralised gabbro,47347,0.07,0.04,0.06,3.2,4.06,14,40,0.5,2,2.42,1.3,149,782,3990,0.399,2510,0.251,0.071,35,1.64,<5,14,222,<20,0.39,<10,10,95,<10,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,OVD027,120.30000000000001,120.5,OVD027-120.4,47094,Gabbro mineralized,x,,,,,x,,,,0,OVD027,47349,47094,Altantsetseg,119.5,121.5,2,Mineralised gabbro,47349,0.02,0.01,0.01,1,4.36,5,70,0.5,<2,2.7,<0.5,118,725,1005,0.1005,1455,0.1455,0.076,14,0.84,<5,14,303,<20,0.41,<10,<10,101,<10,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,OVD027,134.9,135.1,OVD027-135,47095,Gabbro mineralized,x,,,,,x,,,,0,OVD027,47358,47095,Altantsetseg,135,137,2,Mineralised gabbro,47358,0.03,0.03,0.04,0.9,6.67,13,240,0.6,<2,6.9,<0.5,90,392,1735,0.1735,1335,0.1335,0.09,8,1.44,<5,25,730,<20,0.47,<10,10,154,<10,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,OVD028,16.7,16.900000000000002,OVD028-16.8,47096,Gabbro mineralized,x,,,,,x,,,,0,OVD028,47373,47096,Altantsetseg,15,17,2,Mineralised gabbro,47373,0.02,0.01,0.03,0.7,4.64,<5,110,0.5,<2,5.11,<0.5,118,656,1060,0.106,1435,0.1435,0.072,8,0.39,<5,14,374,<20,0.41,<10,10,109,<10,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,OVD028,21.099999999999998,21.3,OVD028-21.2,47097,Gabbro mineralized,x,,,,,x,,,,0,OVD028,47375,47097,Altantsetseg,19,21.25,2.25,Mineralised gabbro,47375,0.02,0.01,0.02,0.5,4.75,13,90,0.6,<2,4.1,<0.5,108,760,798,,1225,0.1225,0.086,7,0.08,<5,14,308,<20,0.46,<10,<10,107,<10,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,OVD028,23.4,23.6,OVD028-23.5,47098,Diabase,x,,,,,x,,,,0,OVD028,47377,47098,Altantsetseg,22.9,25,2.1000000000000014,Mineralised gabbro,47377,0.02,0.01,0.02,0.7,5.97,9,120,0.5,2,5.84,<0.5,90,762,1025,0.1025,1135,0.1135,0.063,8,1.77,<5,25,314,<20,0.34,<10,10,179,<10,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,OVD028,26.799999999999997,27,OVD028-26.9,47099,Breccia,x,,,,,x,,,,0,OVD028,47379,47099,Altantsetseg,26.4,28.15,1.75,BRECCIA,47379,0.11,0.09,0.14,2.6,5.38,10,150,0.5,<2,4.88,0.6,203,419,5760,0.576,4540,0.454,0.087,21,4.06,<5,19,322,<20,0.42,<10,10,124,<10,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,OVD028,28.799999999999997,29,OVD028-28.9,47100,Gabbro mineralized,x,,,,,x,,,,0,OVD028,47381,47100,Altantsetseg,28.15,30,1.8500000000000014,Mineralised gabbro,47381,0.05,0.04,0.05,1.1,6.37,5,170,0.6,2,6.72,0.6,96,463,2040,0.204,1615,0.1615,0.094,10,1.35,<5,20,485,<20,0.49,<10,<10,131,<10,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
