Д/Д,Цооногийн дугаар,Интервал,Дээжийн дугаар,Минераграфи,SEM-EDX,ABM selected,Rock type,Петрографи,New Lithology by Petrographic,Alteration,HOLE_ID,SAMPLE_ID,Petrographic sample,DEPTH_FROM,DEPTH_TO,SAMPLE THICK,ROCK TYPE,SAMPLE_ID,Recvd Wt. kg,Au ppm,Pt ppm,Pd ppm,Cu ppm,Cu %,Ni ppm,Ni %,P ppm,Pb ppm,S %,Sb ppm,Sc ppm,Sr ppm,Th ppm,Ti %,Tl ppm,U ppm,V ppm,W ppm,Zn ppm,Ce ppm,Nb ppm,Rb ppm,Se ppm,Sn ppm,Ta ppm,Te ppm,Y ppm,Zr ppm,Hg ppm,Al2O3 %,BaO %,CaO %,Cr2O3 %,Fe2O3 %,K2O %,MgO %,MnO %,Na2O %,P2O5 %,SO3 %,SiO2 %,SrO %,TiO2 %,Total %,LOI 1000 %
Д/Д,Цооногийн дугаар,Интервал,Дээжийн дугаар,Минераграфи,SEM-EDX,ABM selected,Rock type,Петрографи,New Lithology by Petrographic,Alteration,HOLE_ID,SAMPLE_ID,Petrographic sample,DEPTH_FROM,DEPTH_TO,SAMPLE THICK,ROCK TYPE,SAMPLE_ID,WEI-21,PGM-ICP27,PGM-ICP27,PGM-ICP27,ME-ICP61,,ME-ICP61,Ni-OG62,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,ME-ICP61,,ME-XRF26,ME-XRF26,ME-XRF26,ME-XRF26,ME-XRF26,ME-XRF26,ME-XRF26,ME-XRF26,ME-XRF26,ME-XRF26,ME-XRF26,ME-XRF26,ME-XRF26,ME-XRF26,ME-XRF26,OA-GRA05x
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,OVD030,30.4,41504,,,,,Diorite,Gabbro,altered,OVD030,41504,ok,30.4,31.2,0.8,Diorite,41504,2.94,,,,19,,146,,1040,<2,<0.01,<5,21,314,<20,0.46,<10,<10,138,<10,71,60,<5,<20,<10,<10,<10,<10,10,65,<10,,,,,,,,,,,,,,,,
2,OVD030,69.9,41508,,,x,,Unmineralized Gabbro,Olivine gabbro,,OVD030,41508,ok,68,70,2,Unmineralized Gabbro,41508,7.68,,,,25,,180,,1110,<2,0.08,<5,26,625,<20,0.56,<10,<10,165,<10,79,60,<5,30,<10,<10,<10,<10,20,84,<10,,,,,,,,,,,,,,,,
3,OVD030,124.3,41524,+,,,,Weakly mineralized gabbro,Olivine gabbro,altered,OVD030,41524,ok,123,125,2,Weakly mineralized gabbro,41524,7.41,0.03,0.02,0.02,1985,,2020,,850,21,1.5,<5,15,396,<20,0.41,<10,<10,107,<10,88,50,<5,30,<10,<10,<10,<10,10,71,<10,9.76,<0.01,5.95,0.15,13.93,0.17,17.35,0.15,1.78,0.2,4.18,41.28,0.05,0.73,103.7,7.4
4,OVD030,161.7,41546,+,,x,,Poorly mineralized gabbro,Olivine gabbro,,OVD030,41546,ok,161,163,2,Poorly mineralized gabbro,41546,8.14,0.01,0.01,0.01,591,,1100,,1050,<2,0.57,<5,18,541,<20,0.57,<10,<10,125,<10,82,60,<5,<20,<10,<10,<10,<10,20,101,<10,11.41,0.01,5.35,0.13,12.3,0.47,17.75,0.16,1.86,0.23,1.5,44.78,0.06,0.93,101.95,4.75
5,OVD030,NO INTERVAL,41565,,,,,Poorly mineralized gabbro,Карбонат агуулсан роговик ,,OVD030,41565,ok,194,196,2,Poorly mineralized gabbro,41565,7.23,0.02,0.01,0.02,920,,1155,,1240,<2,0.71,<5,18,611,<20,0.58,<10,<10,133,<10,76,60,<5,20,<10,<10,<10,10,20,105,<10,11.67,0.02,6.53,0.12,12.6,0.4,16.05,0.19,2.19,0.28,1.89,45.32,0.07,0.98,103.7,5.01
6,OVD030,268.8,41582,,,,,Diorite,Diorite,Altered,OVD030,41582,ok,268.5,269.6,1.1,Diorite,41582,5.64,<0.01,<0.01,<0.01,101,,368,,1080,<2,0.34,<5,26,620,<20,0.32,<10,10,184,<10,64,60,<5,50,<10,<10,<10,<10,10,52,<10,9.62,<0.01,13.7,0.14,8.85,0.01,10.95,0.14,0.05,0.23,0.82,38.96,0.06,0.53,99.46,15.29
7,OVD032,336.9,41799,+,,x,,Gabbrodiorite,Кварц-карбонатын метасоматит ,,OVD032,41799,ok,336.85,338.1,1.25,Gabbrodiorite,41799,4.62,<0.01,<0.01,<0.01,108,,96,,1020,5,0.29,<5,36,320,<20,0.68,<10,<10,298,<10,103,70,<5,<20,10,<10,<10,10,20,107,,16.74,<0.01,7.36,0.05,12.61,0.36,8.85,0.19,0.55,0.22,0.73,43.54,0.04,1.12,100.3,7.86
8,OVD033,312.8,43307,+,,,,Gabbrodiorite,Диабаз ,,OVD033,43307,ok,311,313,2,Siltstone,43307,9.67,<0.01,<0.01,<0.01,86,,68,,770,8,1.04,<5,24,337,<20,0.58,<10,<10,173,<10,88,60,<5,<20,<10,<10,10,10,20,111,,,,,,,,,,,,,,,,,
9,OVD033,331.8,43311,,,,,Gabbrodiorite,Толболог роговик ,,OVD033,43311,ok,330.1,332,1.9,Gabbrdiorite ,43311,7.33,<0.01,0.01,0.01,40,,100,,780,4,0.51,<5,33,378,<20,0.55,<10,10,256,<10,85,70,<5,<20,<10,<10,10,<10,20,72,,13.54,<0.01,13.65,0.06,10.24,0.01,9.44,0.17,0.07,0.18,1.25,43.2,0.04,0.92,100.55,7.68
