ioGAS number,Rock type,Al2O3 %,BaO %,CaO %,Cr2O3 %,Fe2O3 %,K2O %,MgO %,MnO %,Na2O %,P2O5 %,SO3 %,SiO2 %,SrO %,TiO2 %,PbO %,CuO %,V2O5 %,ZnO %,Ni PPM,Cu PPM,Au PPM,Pt PPM,Pd PPM,Ag PPM,Al %,As PPM,Ba PPM,Be PPM,Bi PPM,Ca %,Cd PPM,Co PPM,Cr PPM,Fe %,Ga PPM,K %,Li PPM,Mg %,Mn PPM,Mo PPM,Na %,P %,Pb PPM,S %,Sb PPM,Sr PPM,Th PPM,Ti %,Tl PPM,U PPM,V PPM,W PPM,Zn PPM,Zr PPM,Se PPM,Rb PPM,Nb PPM,In PPM,Sn PPM,Te PPM,Cs PPM,Hf PPM,Ge PPM,Ta PPM,Y PPM,Sc PPM,La PPM,Ce PPM,Pr PPM,Nd PPM,Sm PPM,Eu PPM,Gd PPM,Tb PPM,Dy PPM,Ho PPM,Er PPM,Tm PPM,Yb PPM,Lu PPM
1,Gossan,,,,,,,,,,,,,,,,,,,316,5986,0.131,0.12,0.11,8.34,0.24,,11,,0.3,3.81,0.8,43.6,80,10,,,0,0.09,124,3,,,,0.21,,129,,,,4.36,7,1,,5.1,,,,,,2.78,,,,,1.1,,,,,0.6,,,0.17,,0.13,,0.09,,0.1,
2,Gossan,,,,,,,,,,,,,,,,,,,2060,243400,0.114,0.16,0.17,23.2,1,,26,,2.4,4.27,2.1,234,202,22.4,,,0,0.14,270,5,,,52,2.97,,217,,0.03,,3.87,27,1,36,1.4,,,,0.3,4,2.15,,,1,,2.1,,1.1,3.9,0.41,1.7,0.4,0.15,0.55,0.08,0.47,0.11,0.23,,0.2,
3,Gossan,,,,,,,,,,,,,,,,,,,2060,243400,0.114,0.16,0.17,23.2,1,,26,,2.4,4.27,2.1,234,202,22.4,,,0,0.14,270,5,,,52,2.97,,217,,0.03,,3.87,27,1,36,1.4,,,,0.3,4,2.15,,,1,,2.1,,1.1,3.9,0.41,1.7,0.4,0.15,0.55,0.08,0.47,0.11,0.23,,0.2,
4,Phyllite,15.71,0.26,2.28,0.04,18.26,0.32,5.13,0.15,1.6,0.15,0.1,44.74,,0.76,,0.79,0.03,,6397,7756.999999999999,0.064,0.02,0.018,1.46,7.97,13,193,,0.3,1.5,0.3,278,235,10.59,17,,44,3.07,1063,,,0.04,19,0.03,0.2,829,1.6,0.4,,2.59,199,,147,43.2,,2.6,2,,1,0.34,1.3,2,3,,11.4,34,9.6,22.4,3.06,14.4,3.3,1.1,3.08,0.47,2.6,0.48,1.32,0.23,1.5,0.24
5,Diabase,18.11,0.05,1.83,0.02,10.93,1.33,4.39,0.17,2.5,0.17,0.1,51.59,,1.1,,0.05,0.04,,355,662,0.005,0.01,0.004,0.68,9.96,6,218,,,1.35,0.3,40,137,7.43,21,0.94,68,2.74,1322,,,0.07,9,0.02,0.4,338,1.5,0.67,,1.02,222,,111,94.1,,21.5,5,,2,0.09,0.9,3,2,,26.2,33,10.8,23.1,3.24,15.6,3.8,1.31,4.67,0.74,4.81,0.96,2.85,0.39,2.7,0.47
6,Bt-Amph Gabbro,9.27,0.07,9.53,0.13,11.06,0.37,15.31,0.18,0.83,0.18,0.3,38.12,,0.76,,0.08,0.02,,983,861,0.017,0.02,0.018,0.45,5.05,,129,,0.1,7.03,0.3,96,811,6.51,10,,70,9.75,1264,,,0.08,9,0.12,0.1,353,0.6,0.46,,0.77,103,,60,22.6,,3.6,3,,,0.19,1.3,2,1,,13.4,17,9.4,21.4,2.86,12.5,2.8,0.94,2.72,0.41,2.64,0.48,1.3,0.2,1.3,0.18
7,Diabase,11.23,0.05,8.48,0.1,11.18,0.53,13.86,0.19,1.66,0.24,2.64,41.17,,0.92,,0.08,0.03,,881,919,0.021,0.02,0.017,0.76,5.99,,224,,0.2,6.08,0.3,87.4,623,7.31,12,,41,8.53,1362,,,0.09,12,1.41,0.1,444,0.9,0.53,,0.73,135,,79,23.5,,4.1,4,,,0.22,0.8,3,2,,18.6,21,12.3,27.9,3.66,16.2,3.5,1.13,3.93,0.58,3.55,0.69,1.85,0.25,1.9,0.26
8,Alkalic Bt Diorite,10.98,0.15,1.4,0.03,30.37,0.51,4.54,0.17,1.6,0.12,9.89,32.27,,0.59,,0.67,0.02,,1.19,8698,0.122,0.2,0.216,4.17,5.52,9,105,,1.8,0.84,1.8,542,195,19.33,11,,42,2.94,1084,,,0.03,42,14.66,0.5,220,0.8,0.33,,0.55,113,,97,13.1,,5.4,3,0.2,2,2.1,0.9,2,2,,13.6,18,7.5,16.2,2.06,9.5,2.3,0.7,2.59,0.41,2.71,0.52,1.4,0.21,1.5,0.24
9,Amph Gabbro,7.43,,3.6,0.18,18.38,0.14,16.41,0.15,0.51,0.15,0.23,39.77,,0.69,,1.03,0.01,0.02,3378,5019,0.038,0.03,0.041,2.86,4.27,,64,,1.3,2.37,0.8,178,1076,12.52,9,0.24,25,10.23,991,,,0.04,28,0.1,0.2,258,0.8,0.39,,1.7,97,,106,64,,1.8,3,,2,0.9,0.8,2,1,,12.6,15,8.1,19,2.67,11.9,2.7,0.88,2.71,0.46,2.58,0.52,1.41,0.21,1.2,0.19
10,Amph Gabbro,10.6,,4.28,0.1,15.52,0.37,15.09,0.17,1.3,0.26,4.51,42.08,,0.89,,0.49,0.02,0.02,3441,4213,0.052,0.06,0.063,3.11,5.74,,147,,1.4,2.83,1.5,175,658,10.97,13,0.17,22,9.46,1208,,,0.09,17,2.75,0.2,290,1.7,0.51,,0.49,126,,97,95.3,,4,3,,2,1.02,0.2,2,2,,17.4,18,12.9,29.1,3.93,17.2,3.7,1.2,3.79,0.57,3.36,0.65,1.78,0.25,1.8,0.23
