#,Sample Number ,ioGAS number,Arrived chips,Drillhole,From,To,Sample interval,Field Lithology description,Petrographer,Sample type,Sample type,Sample type,Sample type,Sample type,Sample type,Petrography description,Petrography description,Petrography description,Petrography description,Petrography description,Petrography description,Petrography description,Petrography description,,,Al2O3 %,BaO %,CaO %,Cr2O3 %,Fe2O3 %,K2O %,MgO %,MnO %,Na2O %,P2O5 %,SO3 %,SiO2 %,SrO %,TiO2 %,PbO %,CuO %,V2O5 %,ZnO %,Total %,Ni PPM,Cu PPM,Au PPM,Pt PPM,Pd PPM,Ag PPM,Al %,As PPM,Ba PPM,Be PPM,Bi PPM,Ca %,Cd PPM,Co PPM,Cr PPM,Fe %,Ga PPM,K %,Li PPM,Mg %,Mn PPM,Mo PPM,Na %,P %,Pb PPM,S %,Sb PPM,Sr PPM,Th PPM,Ti %,Tl PPM,U PPM,V PPM,W PPM,Zn PPM,Zr PPM,Se PPM,Rb PPM,Nb PPM,In PPM,Sn PPM,Te PPM,Cs PPM,Hf PPM,Ge PPM,Ta PPM,Y PPM,Sc PPM,La PPM,Ce PPM,Pr PPM,Nd PPM,Sm PPM,Eu PPM,Gd PPM,Tb PPM,Dy PPM,Ho PPM,Er PPM,Tm PPM,Yb PPM,Lu PPM
#,Sample Number ,ioGAS number,Arrived chips,Drillhole,From,To,Sample interval,Field Lithology description,Petrographer,Polished thin section,ASD,Fluid inclusion,Sulphur analysis,EDS,EPMA,Micro - description,Texture,Rock forming minerals,Alteration,Ore minerals and paragenesis,Brief petrographic description,,,Microscope - Rock name,Sc vs Al plot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,40579,20,,OVD-004,36m,,,gabbro,Mireslab,x,,,,,,Amphibole micro-gabbro,"Hollocrystalline, Ophitic","Pl, Amph","Ser, Chl",,,,,Amph Gabbro,Gabbroic Rocks,,,,,,,,,,,,,,,,,,,,567,224,0.002,0.01,0.004,0.22,12.53,13,289,1,0.09,0.61,0.34,40.2,138,8.27,22.2,1.78,94,2.66,888,3.36,1.49,0.077,8.2,0.49,0.39,468,1.1,0.5,0.21,1.63,191,0.6,107,73.2,4,21.3,3.2,0.09,1,0.09,2,2.26,,0.22,13.3,30.2,5.3,13.4,,,,,,0.46,,,,,1.8,0.26
2,40605,21,,OVD-004,91m,,,oxidazed gabbro,Mireslab,x,,,,,,Amphibole-orthoperoxene micro-gabbro,"hollocrystalline, ophitic","Pl, Amph, ",,,,,,Amph-Opx Gabbro,Gabbroic Rocks,,,,,,,,,,,,,,,,,,,,40.7,25.4,0.01,0.01,0.001,0.43,8.85,,572,1.4,,4.67,0.09,22.7,64,6.05,20.1,1.19,26,2.45,986,0.54,3.13,0.2711,7.8,0.26,0.08,1220,5.1,0.84,0.06,1.4,175,0.3,95,166,,13.1,8.5,0.06,1.2,,,5.39,,0.48,25.5,16.4,45.1,103,,,,,,0.97,,,,,2.1,0.32
3,40574,19,,OVD-004,28m,,,spotted???,Mireslab,x,,,,eds,,Oxidized Amphibole gabbro,"Hollocrystalline, Ophitic","Pl, Amph","Ser, Chl","Hem, Geothite, ",,,,Amph Gabbro,Mafic (Pyroxenite),10.62,0.04,5.54,0.07,14.27,0.21,8.71,0.13,1.74,0.21,2.52,47.86,,0.86,,0.17,0.03,,93.84000000000002,1607,1704,0.048,0.03,0.041,1.19,6.65,,132,,0.5,4.04,1.1,107,485,10.69,12,0.3,25,6.1,935,,,0.08,14,1.23,0.2,411,0.9,0.5,,0.46,124,,77,91.3,,1.9,4,,,0.9,0.9,2,2,,15.7,22,9.2,21.7,2.8,12.9,3.2,1.06,3.42,0.51,3.1,0.61,1.59,0.24,1.6,0.22
4,40635,24,,OVD-005,53m,,,spotted,Mireslab,x,,,,,,Amphibole micro-gabbro,"Hollocrystalline, Ophitic","Pl, Amph","ser, carb",,,,,Amph Gabbro,Ultramafic (Harzburgite/Dunite),6.73,0.14,3.63,0.15,16.32,0.36,23.59,0.2,0.72,0.11,4.23,39.35,,0.53,,0.16,,,96.75,2468,2682,0.028,0.02,0.027,1.96,3.69,,115,,0.8,2.74,0.5,173,961,10.83,8,0.78,24,13.82,1259,2,,0.05,234,2.55,0.2,271,0.7,0.3,,0.2,65,,97,51.1,,5.3,2,,1,0.57,1.1,1,1,,9.2,13,4.6,16.1,2.15,9.9,2.1,0.69,2.65,0.35,2.06,0.41,1.17,0.14,1.1,0.18
5,40645,25,,OVD-005,71m,,,gabbro,Mireslab,x,,,,eds,,Amphibole gabbro,"Hollocrystalline, Ophitic","Pl, Amph","ser, calc, chl","Po,Py,Cpy, Pn",,,,Amph Gabbro,Mafic (Pyroxenite),9,0.06,4.96,0.13,12.66,0.49,19.19,0.19,0.88,0.2,1.8,42.36,,0.73,,0.05,,,93.43,1330,2302,0.009,0.01,0.016,0.55,5.25,9,139,,0.3,3.97,,118,933,9.8,11,0.49,43,12,1352,17,,0.07,25,0.9,1.1,381,0.7,0.45,,0.24,98,1,201,79,,8.2,3,,,0.18,2,2,1,,12.4,16,5.7,19.5,2.7,12.1,3,0.92,3.41,0.47,2.91,0.62,1.58,0.22,1.5,0.22
6,40715,30,,OVD-007,98.2,,,gabbro,Mireslab,x,,,,,,Shale (weak schistosity),"Pelitic, schistous",,,Py,,,,Schistous shale,,,,,,,,,,,,,,,,,,,,,37.1,79.6,0.002,0.01,0.001,,8.25,6,85,0.7,,5.78,0.07,21.2,49,6.48,17.7,0.48,80,2.37,2335,0.62,3,0.0984,4.3,0.32,0.14,386,1,0.64,0.05,0.7,192,0.4,95,91.3,,8.6,2.3,0.07,0.9,,,3.04,,0.44,28.5,22.3,9.6,23.7,,,,,,0.8,,,,,2.9,0.44
7,40628,23,,OVD-005,40.5m,,,gabbro,Mireslab,x,,,,,,Amphibole gabbro,"Hollocrystalline, ophitic","Pl, Amph","Ser, calc","Cpy, Py, Ni-Pyrite, Pn, Ag-Te mineral, Ni-bearing anglesite?",,,,Amph Gabbro,Ultramafic (Harzburgite/Dunite),5.94,0.07,3.03,0.17,16.41,0.32,24.62,0.19,0.59,0.18,4.33,38.32,,0.46,,0.09,0.01,,95.19,3195,2952,0.024,0.02,0.029,1.98,3.56,,172,,0.8,2.42,0.7,195,1372,12.34,8,0.84,15,14.98,1378,,,0.06,22,2.55,,234,0.5,0.32,,0.12,79,,103,38,,5.2,2,,,0.51,1.1,1,1,,7.8,13,4.1,15.2,2.06,9.4,2.1,0.71,2.05,0.33,1.97,0.4,1.2,0.14,1,0.15
8,40530,18,,OVD-003,157.5m,,,schist,Mireslab,x,,,,eds,,Amphibole micro-gabbro,Hollocrystalline,"Pl, Amph",ser,,,,,Amph Gabbro,Mafic (Pyroxenite),11.38,0.12,5.13,0.09,14.31,0.32,13.59,0.17,1.62,0.25,4.16,41.86,,0.92,,0.15,,,94.99000000000001,2793,3680,0.037,0.04,0.048,2.48,6.49,,154,,1,3.83,1,152,653,11.34,14,0.17,25,8.81,1264,,,0.1,14,2.87,,390,1.1,0.58,,0.46,138,,100,90.3,,3.9,5,,2,0.83,0.4,3,2,,19.9,22,11.9,28.3,3.73,16.5,4.2,1.23,4.32,0.6,3.34,0.78,2.21,0.3,1.9,0.3
9,40899,4,,OVD-001,15.5m,,,gabbro,Oyunjargal,x,,,,,,Pelitic rock (weak schistosity),Schistous,,,,,,,Phyllite,,15.71,0.26,2.28,0.04,18.26,0.32,5.13,0.15,1.6,0.15,0.1,44.74,,0.76,,0.79,0.03,,91.08000000000003,6397,7756.999999999999,0.064,0.02,0.018,1.46,7.97,13,193,,0.3,1.5,0.3,278,235,10.59,17,,44,3.07,1063,,,0.04,19,0.03,0.2,829,1.6,0.4,,2.59,199,,147,43.2,,2.6,2,,1,0.34,1.3,2,3,,11.4,34,9.6,22.4,3.06,14.4,3.3,1.1,3.08,0.47,2.6,0.48,1.32,0.23,1.5,0.24
10,40900,6,,OVD-001,56.8m,,,spotted/Schist ,Mireslab,x,,,,,,Altered fine-meduim grained biotite-amphibole gabbro,Hypidiomorph,"Alt Pl-45-50%, Amph-30%, Bt-10-15%, Px-5% Ol-few",Serp-Act-Soss-Bt-Chl-Ser-Carb,Py-Cu-Geoth-Lim,The rock is strongly altered. Hb is strongly replaced by Bt. Px and Ol are partially replaced by Amph,,,Bt-Amph Gabbro,Mafic (Pyroxenite),9.27,0.07,9.53,0.13,11.06,0.37,15.31,0.18,0.83,0.18,0.3,38.12,,0.76,,0.08,0.02,,86.97,983,861,0.017,0.02,0.018,0.45,5.05,,129,,0.1,7.03,0.3,96,811,6.51,10,,70,9.75,1264,,,0.08,9,0.12,0.1,353,0.6,0.46,,0.77,103,,60,22.6,,3.6,3,,,0.19,1.3,2,1,,13.4,17,9.4,21.4,2.86,12.5,2.8,0.94,2.72,0.41,2.64,0.48,1.3,0.2,1.3,0.18
