#,Drillhole,Interval,Sample_number
#,Drillhole,Interval,Sample_number
1,CRS01A,41.4,CRS01A-41.4
2,CRS01A,53.4,CRS01A-53.4
3,CRS01A,61.3,CRS01A-61.3
4,CRS01A,81,CRS01A-81
5,CRS01A,90.5,CRS01A-90.5
6,CRS01A,104.4,CRS01A-104.4
7,CRS01A,111.8,CRS01A-111.8
8,CRS01A,114.8,CRS01A-114.8
9,CRS01A,124.1,CRS01A-124.1
10,CRS01A,184.32,CRS01A-184.32
11,CRS01A,187.8,CRS01A-187.8
12,CRS01A,188.4,CRS01A-188.4
13,OVD010,97.7,OVD010-97.7
14,OVD010,226.3,OVD010-226.3
15,OVD010,305.6,OVD010-305.6
16,OVD011,101.5,OVD011-101.5
17,OVD011,107.4,OVD011-107.4
18,OVD011,109.1,OVD011-109.1
19,OVD011,109.6,OVD011-109.6
20,OVD011,126.5,OVD011-126.5
21,OVD011,132.8,OVD011-132.8
22,OVD011,189.2,OVD011-189.2
23,OVD014,35.9-36.1,OVD014-35.9-36.1
24,OVD014,88.3,OVD014-88.3
25,OVD014,89.8,OVD014-89.8 (A)
26,OVD014,89.8,OVD014-89.8 (B)
27,OVD014,95.8-95.9,OVD014-95.8-95.9
28,OVD014,102.3,OVD014-102.3
29,OVD014,109.6,OVD014-109.6
30,OVD015,94.82,OVD015-94.82
31,OVD015,102.4,OVD015-102.4
32,OVD015,105.1-105.2,OVD015-105.1-105.2
33,OVD015,116.1,OVD015-116.1
34,OVD015,140.6,OVD015-140.6
35,OVD015,158.7,OVD015-158.7
36,OVD015,165.5,OVD015-165.5
37,OVD015,175.5,OVD015-175.5 (A)
38,OVD015,175.5,OVD015-175.5 (B)
39,OVD015,177.4,OVD015-177.4
40,OVD015,175.4,OVD015-175.4
41,OVD020,60.6,OVD020-60.6
42,OVD020,101.4,OVD020-101.4
43,OVD020,124.2,OVD020-124.2
44,OVD21,42.3,OVD21-42.3
45,OVD21,61,OVD21-61
46,OVD21,76.6,OVD21-76.6
47,OVD21,94.4,OVD21-94.4
48,OVD21,107,OVD21-107
49,OVD21,116.1,OVD21-116.1
50,OVD21,121,OVD21-121
51,OVD21,146.9,OVD21-146.9
52,OVD21,148.8,OVD21-148.8
53,OVD21,165.2,OVD21-165.2
54,SC04,168.3,SC04-168.3
55,SC04,171,SC04-171
56,SC04,280.7,SC04-280.7
