source_file,source_fileId,sample_id,drillhole_id,depth,sample_type,rock_name,rock_name_original,texture,minerals,alteration,opaque_minerals,description_summary,analyst_or_lab,report_date
Petrographic descriptions 06.23.pdf,16r0N4TEldedRvrGcPM_hEvIeCsZfMA7v,OV202202,,,thin section (section no. 3011); sawn rock slice hand specimen,Altered andesite (field name given as 'Gabbro basalt' - rejected by analyst),,"Porphyritic: medium- to fine-grained relict phenocrysts (10-20%, 0.5-2 mm) set in a fine-grained altered groundmass; no deformation",Plagioclase:60-65; K-feldspar:10-15; Altered amphibole:10-20; Quartz:~5; Clay minerals (secondary); Chlorite (secondary); Epidote (secondary); Carbonate (secondary); Apatite (accessory),"Strong alteration, no deformation. Amphibole completely altered to chlorite + epidote + magnetite (pseudomorphs). Plagioclase cores completely replaced by clay minerals (illite, smectite). K-feldspar strongly altered to clay. Chlorite abundant as pale-green pleochroic flakes; sparse microcrystalline carbonate disseminated.",Opaque minerals (magnetite) after amphibole,"Porphyritic intermediate volcanic rock, dark grey, with 10-20% phenocrysts 0.5-2 mm. Relict plagioclase and amphibole phenocrysts sit in a fine-grained altered groundmass; amphibole is entirely pseudomorphed by chlorite-epidote-magnetite and plagioclase cores are replaced by illite/smectite. Minor quartz occurs as intergranular anhedral grains and as rare granophyric intergrowths with altered plagioclase. Analyst renames the rock altered andesite and notes the field name 'gabbro basalt' is not a valid rock name.",Mireslab Mongol LLC (reported by Undarmaa Batsaikhan); Report #004 / Order No 004; contact Batkhurel (Innova Mineral),2022-06-23
Petrographic descriptions 06.23.pdf,16r0N4TEldedRvrGcPM_hEvIeCsZfMA7v,OV202203,,,thin section (section no. 3011); sawn rock slice hand specimen,"Mudstone (?) - oxidised, weathered",,Weakly oriented matrix; dark oval clay-mineral aggregates 1-2 mm in a fine matrix,Clay minerals:80-90; Quartz:10-20; Opaque (pyrite?),Strongly altered to clay minerals throughout; oxidised and weathered dark brown,"Opaque minerals, possibly pyrite","Oxidised, weathered dark brown mudstone identified mainly by texture and mineral assemblage because it is too strongly clay-altered to resolve optically. Dark oval bodies visible in hand specimen are colourless, low-relief clay aggregates 1-2 mm across under PPL. The matrix is clay-rich with subordinate fine quartz and shows a weak preferred orientation; the analyst recommends XRD for further identification. Field name was 'metamorphic schist'.",Mireslab Mongol LLC (reported by Undarmaa Batsaikhan); Report #004 / Order No 004; contact Batkhurel (Innova Mineral),2022-06-23
Petrographic descriptions 11.04.pdf,1nIKqxM9CtQt3Hn62D0ExKWKdL-CAaVPq,OVF-1,,,polished thin section (section no. OVF-1),Quartz vein (?) - quartz-carbonate vein,,Radial (spherulitic) quartz aggregates between carbonate aggregates; very fine to coarse carbonate,Quartz:55-65; Carbonate minerals:30-35; Hematite:rare,Carbonate partly replaced by Fe-oxide,Hematite - anhedral crowded aggregates between quartz and carbonate,Pale white and green quartz-carbonate vein composed mainly of quartz and carbonate with minor hematite. Quartz forms radial (spherulitic) aggregates in the spaces between carbonate aggregates. Carbonate is partly replaced by Fe-oxide and ranges from very fine to coarse grained. Hematite occurs as anhedral crowded aggregates between quartz and carbonate.,Mireslab Mongol LLC (reported by Undarmaa); Report #005 / Order No 005; contact Batkhurel (Innova Mineral),2022-11-07
Petrographic descriptions 11.04.pdf,1nIKqxM9CtQt3Hn62D0ExKWKdL-CAaVPq,OVF-2,,,polished thin section (section no. OVF-2),Red-brown quartzite hematite (hematitic quartzite),,Massive; fine-grained (0.01-0.5 mm) anhedral quartz with sugar-like euhedral hematite,Quartz:35-45; Hematite:50-55,,"Hematite - bluish grey, euhedral 'sugar-like' crystals in crowded aggregates","Reddish brown, massive hematitic quartzite made of quartz and hematite. Quartz is fine grained (0.01-0.5 mm), anhedral, and intergrown with euhedral sugar-textured hematite. Under reflected light hematite is bluish grey and forms crowded aggregates.",Mireslab Mongol LLC (reported by Undarmaa); Report #005 / Order No 005; contact Batkhurel (Innova Mineral),2022-11-07
Petrographic descriptions 11.04.pdf,1nIKqxM9CtQt3Hn62D0ExKWKdL-CAaVPq,020,,,polished thin section (section no. 020),Dacite porphyry,,"Porphyritic - 15-20% phenocrysts (tabular K-feldspar, isometric embayed quartz, prismatic plagioclase) in a felsic groundmass of 0.01-0.05 mm feldspar and quartz",Quartz:15-20; K-feldspar:20-30; Plagioclase:15-20; Mafic minerals:5; Sericite (secondary); Clay minerals (secondary); Chlorite (secondary); Hematite:rare; Apatite:rare,"Slight phyllic alteration - sericite + chlorite replacement with rare pyrite and hematite; incipient weathering produced clay minerals and Fe-oxide from feldspar breakdown; K-feldspar partly replaced by clay, Fe-oxide, sericite; biotite completely replaced by chlorite","Pyrite completely altered to hematite (bluish grey, cubic euhedral relict outlines)","Pale reddish pink porphyritic dacite with 15-20% phenocrysts of tabular perthitic K-feldspar (2-3 mm), embayed isometric quartz (1-2 mm) and prismatic polysynthetically twinned plagioclase (0.5-2 mm) in a felsic groundmass. The rock has undergone weak phyllic alteration with sericite and chlorite, and incipient weathering has generated clay minerals and Fe-oxide. Biotite is entirely chloritised and pyrite is completely pseudomorphed by bluish-grey hematite that preserves cubic outlines.",Mireslab Mongol LLC (reported by Undarmaa); Report #005 / Order No 005; contact Batkhurel (Innova Mineral),2022-11-07
Petrographic descriptions 11.04.pdf,1nIKqxM9CtQt3Hn62D0ExKWKdL-CAaVPq,OV-40,,,polished thin section (section no. OV-40),"Intermediate (?) intrusive rock - entirely altered, name not determinable",,Medium grained; yellow-grey; relict feldspar outlines with oriented crowded chlorite aggregates,Feldspar:45-55; Sericite (alteration); Clay minerals (alteration); Chlorite (alteration); Hematite:rare; Pyrite:rare; Goethite:rare,Intense - feldspars variously strongly altered to clay minerals and fine sericite flakes; chlorite as acicular crowded oriented aggregates with fine hematite along cleavage,"Pyrite (yellow in reflected light, encloses euhedral quartz, partly replaced by hematite with cubic relict outline); hematite bluish grey subhedral, rimmed by goethite","Yellow-grey medium-grained intrusive rock so strongly altered that the protolith name cannot be established. It consists of intensely altered feldspar, chlorite flakes and minor hematite and pyrite. Pyrite is variously replaced by hematite preserving cubic outlines, and hematite is in turn partly replaced by goethite at grain margins.",Mireslab Mongol LLC (reported by Undarmaa); Report #005 / Order No 005; contact Batkhurel (Innova Mineral),2022-11-07
Petrographic descriptions 11.04.pdf,1nIKqxM9CtQt3Hn62D0ExKWKdL-CAaVPq,OV-41,,,polished thin section (section no. OV-41),Mafic intrusive rock,,Medium grained; prismatic plagioclase 1-2 mm with euhedral pyroxene relicts 1-2.5 mm,Plagioclase:45-55; Mafic minerals (pyroxene):25-30; Sericite (alteration); Chlorite (alteration); Clay minerals (alteration); Carbonate (alteration); Hematite:rare; Pyrite:rare; Magnetite:rare; Apatite:rare,"Intense; strongly weathered and impregnated by iron oxide. Plagioclase moderately altered to sericite and clay; pyroxene entirely replaced by chlorite, fine carbonate and elongate specularite","Magnetite (brownish grey, fine disseminated, in fractures of altered pyroxene); hematite (bluish grey, completely replaces primary magnetite, plus elongate specularite 0.02-0.05 mm in pyroxene cleavage); pyrite (white-yellow subhedral, <=0.1 mm, locally altered to goethite)","Yellow-grey medium-grained mafic intrusive rock composed of intensely altered plagioclase and mafic minerals, strongly weathered and impregnated with iron oxide. Euhedral pyroxene relicts (1-2.5 mm) are completely replaced by chlorite, fine carbonate and elongate hematite (specularite). Disseminated brownish-grey magnetite is replaced by bluish-grey hematite, and subhedral pyrite is locally altered to goethite. Apatite occurs as narrow elongate prisms 0.1-0.2 mm.",Mireslab Mongol LLC (reported by Undarmaa); Report #005 / Order No 005; contact Batkhurel (Innova Mineral),2022-11-07
Petrographic descriptions 11.04.pdf,1nIKqxM9CtQt3Hn62D0ExKWKdL-CAaVPq,OV-51,,,polished thin section (section no. OV-51),Moderately altered dolerite,,Intergranular; un-oriented prismatic euhedral plagioclase 0.5-1 mm with 0.1-0.5 mm altered mafic minerals between,Plagioclase:35-45; Mafic minerals:25-30; Quartz:rare; Sericite (alteration); Clay minerals (alteration); Chlorite (alteration); Carbonate (alteration); Apatite:a few; Pyrite:a few; Hematite:rare; Magnetite:rare; Ilmenite:rare,"Moderate phyllic - sericite (0.01-0.05 mm flakes/needles) in plagioclase, chlorite radial and crowded flakes plus carbonate replacing mafic minerals","Pyrite (cubic, disseminated, partly replaced by hematite); hematite (white-grey fine flakes in narrow fractures); magnetite (euhedral cubic 0.025-0.01 mm crowded aggregates enclosing pyrite and quartz, locally replaced by hematite); ilmenite (brownish grey, euhedral, very fine, irregular)","Brown-yellow-grey fine-grained dolerite with intergranular texture, composed of prismatic plagioclase (0.5-1 mm, polysynthetically twinned) and completely altered mafic minerals, with apatite and pyrite as accessories. Alteration is moderate phyllic: sericite and clay in plagioclase, radial chlorite plus carbonate replacing the mafic phases, which are inferred to have been pyroxene from their association with fine magnetite. Opaques include cubic pyrite partly replaced by hematite, crowded euhedral magnetite locally martitised, and trace euhedral ilmenite.",Mireslab Mongol LLC (reported by Undarmaa); Report #005 / Order No 005; contact Batkhurel (Innova Mineral),2022-11-07
Report_0715_Ni.pdf,1jIT5VpacpQcvW1KbUty6C1EmT2PPr1Fu,2111,,,polished thin section (2 per sample) + powder for XRD + SEM-EDS,Hematite ore,,"Two generations of hematite: well-crystallised, highly cataclased grains, and rounded residual crystals in goethite; colloform banding, spherulitic texture and specularite","Hematite (Fe2O3, XRD); Goethite (FeO(OH), XRD); Trevorite? Ni(Fe2O4) (XRD)",Supergene oxidation - hematite replaced/rimmed by goethite,"Hematite (grey-white with faint bluish tint, distinct anisotropy), goethite (blackish grey, <50 um, anhedral, weak pleochroism, moderate reflectance)","Hematite ore in which hematite occurs in two generations: a first generation of well-crystallised, highly cataclased grains with sharp contacts against goethite, and a second generation of rounded residual crystals enclosed in goethite mineralisation. Colloform banding, spherulitic texture and specularite are developed. XRD identified hematite, goethite and possible trevorite (NiFe2O4); SEM-EDS gave a goethite analysis (Fe 77.8 wt%) and two Ni-Cu-bearing Fe-oxide spots (Ni 2.84 and 2.25 wt%, Cu 1.19 and 1.22 wt%) interpreted as possible trevorite.","Mireslab Mongol LLC - Jamsran Erdenebayar; Report #004 / Order No 002; report to Innova Mineral, contact Batkhurel. Sections prepared at Dept. of Geology & Hydrogeology, MUST; XRD at MiReS Lab Japan; SEM-EDS (JEOL JSM 5400 + Oxford EDS) at Akita University",2022-07-15
Report_0715_Ni.pdf,1jIT5VpacpQcvW1KbUty6C1EmT2PPr1Fu,2107,,,polished thin section (2 per sample) + powder for XRD + SEM-EDS,,,Anhedral pyrite as dense assemblage of fine-grained particles occurring as micro-cracked inlays,"Nimite-1MIIb (Ni,Mg,Al)6(Si,Al)4O10 (XRD); Ferriwinchite (XRD); Poitevinite Cu(SO4)(H2O) (XRD); Chromite Cr2O3.NiO (XRD); Azurite (XRD); Chlorite-serpentine (XRD); Talc (XRD); Pyrite (XRD); Hematite (XRD); Goethite (XRD)",Oxidation - pyrite corroded by goethite; hematite the main ore phase with goethite secondary,"Hematite (grey to silver-grey with red internal reflection, main ore mineral), goethite (secondary), pyrite (whitish-yellow, isometric/polygonal, anhedral, corroded by goethite)","Polished sections examined under ore microscope show hematite as the dominant ore mineral with goethite as the secondary phase; hematite is grey to silver-grey with red internal reflection and is partly eroded by non-ore minerals. Anhedral pyrite forms dense fine-grained assemblages as micro-cracked inlays and is corroded by goethite. XRD of this sample returned a Ni-bearing assemblage including nimite, chromite (Cr2O3.NiO), chlorite-serpentine, talc, azurite, poitevinite, pyrite, hematite and goethite; SEM-EDS spots gave Ni 11.97 wt% / Cu 7.90 wt% in a Mg-Si-Ca silicate and Ni 1.20 wt% / Cu 1.05 wt% in chromite.","Mireslab Mongol LLC - Jamsran Erdenebayar; Report #004 / Order No 002; report to Innova Mineral, contact Batkhurel. Sections prepared at Dept. of Geology & Hydrogeology, MUST; XRD at MiReS Lab Japan; SEM-EDS (JEOL JSM 5400 + Oxford EDS) at Akita University",2022-07-15
