source_file,source_fileId,sample_id,drillhole_id,depth_from_m,depth_to_m,depth_m,sample_type,rock_name,rock_name_original,texture,minerals,alteration,opaque_minerals,description_summary,analyst_or_lab,report_date
English Petrographic and Mineragraphic Descriptions. 6.docx,1oaodEQTEk0STZ9sRQ0X9ysVSqs4arRxc,OVD20-60.6,OVD20,,,60.6,double polished thin section,"Weakly mineralised, altered melanocratic gabbro porphyry",,"Porphyraceous; groundmass poikiloophitic, prismatic; structure massive",Plagioclase:30-35; Hornblende:30-35; Altered olivine:20-25; Biotite:5-10; Quartz:1-3; Ilmenite:0.5-1.0; Pyrrhotite:1-2; Chromite:rare; Magnetite:rare; Chalcopyrite:trace,"Serpentine, saussurite, talc, actinolite, carbonate; plagioclase altered to sericite-chlorite-epidote-carbonate; olivine to talc-serpentine pseudomorphs",Ilmenite-chromite-magnetite-pyrrhotite-chalcopyrite paragenesis; pyrrhotite as irregular grains and micro-lenses replacing chromite and ilmenite,"Hornblende and altered-olivine phenocrysts (60-65%) in a poikiloophitic groundmass of zoned plagioclase and mafic minerals. Olivine is pseudomorphed by talc-serpentine; quartz-carbonate amygdales and lenses 0.5-3.0 mm occur. Ore minerals (ilmenite, chromite, magnetite, pyrrhotite, chalcopyrite) occur in minor amounts, pyrrhotite associated with talc-serpentine pseudomorphs.",,
English Petrographic and Mineragraphic Descriptions. 6.docx,1oaodEQTEk0STZ9sRQ0X9ysVSqs4arRxc,CRSO1A-61.3,CRS01A,,,61.3,double polished thin section,Mineralised cordierite-actinolite metasomatite,,"Lepidogranonematoblastic; structure weakly parallel, lens- and veinlet-like",Actinolite:45-50; Cordierite:30-35; Biotite:rare; Serpentine:5-10; Magnetite:rare; Pyrrhotite:8-10; Chalcopyrite:trace; Sphalerite:trace; Ilmenite:trace; Pyrite:trace,Sericite; serpentine micro-lenses,"Ilmenite-pyrite-magnetite-pyrrhotite-chalcopyrite-sphalerite paragenesis; pyrrhotite dominant as irregular grains, lenses and streaks replacing magnetite/ilmenite and replaced by chalcopyrite","Strongly mineralised metasomatite of unevenly distributed cordierite and actinolite similar to samples 41.4 and 53.4. Coarse tabular cordierite (0.5-3.0 mm) with undulatory extinction hosts actinolite inclusions; fibrous actinolite forms nematoblastic radial aggregates. Ore minerals intergrown with cordierite, actinolite and probable serpentine; sphalerite carries micro-inclusions of chalcopyrite and pyrrhotite.",,
English Petrographic and Mineragraphic Descriptions. 6.docx,1oaodEQTEk0STZ9sRQ0X9ysVSqs4arRxc,CRSO1A-81.1,CRS01A,,,81.1,double polished thin section,Mineralised spinel-cordierite-actinolite metasomatite (micro-gneiss),,"Heterolepidogranonematoblastic; structure weakly parallel, lens- and veinlet-like",Actinolite:25-30; Cordierite:25-30; Monoclinic pyroxene:5-10; Biotite:5-8; Muscovite:3-5; Serpentine:1-3; Garnet:1-3; Spinel:3-5; Magnetite:5-8; Pyrrhotite:5-8; Chalcopyrite:1-3; Pyrite:1-3,Hornblende partially altered to actinolite; serpentine micro-lenses,Ilmenite-pyrite-magnetite-pyrrhotite-chalcopyrite paragenesis; chalcopyrite in lens-like and banded clusters 0.5-8.0 mm wide; euhedral green spinel intergrown with magnetite,"Banded metasomatite (similar to samples 41.4, 53.4, 61.3) of cordierite, pyroxene, actinolite, biotite, garnet, muscovite and spinel; hornblende-actinolite-quartz bands with coarse pyrite and chalcopyrite 1-8 mm wide. Intensely mineralised; ore minerals grow in association with all silicates including euhedral square spinel grains.",,
English Petrographic and Mineragraphic Descriptions. 6.docx,1oaodEQTEk0STZ9sRQ0X9ysVSqs4arRxc,CRSO1A-90.5,CRS01A,,,90.5,double polished thin section,Silicified and mineralised serpentinite with biotite-chlorite,,Lepidoblastic; structure lens- and vein-like,Serpentine:45-50; Chlorite:10-15; Biotite:10-15; Quartz:10-15; Carbonate:1-3; Pyrite:8-10; Chalcopyrite:0.5; Pyrrhotite:rare,"Silicification (quartz veins/lenses 0.5-2.0 mm), chloritization, carbonate","Pyrite-chalcopyrite paragenesis; pyrite as euhedral to irregular grains 0.1-2.0 mm in lens-shaped aggregates within serpentine, rimmed/replaced by chalcopyrite; chalcopyrite micro-lenses in quartz veins","Serpentine-dominated rock (relict six/eight-sided olivine shapes) with abundant biotite flakes and chlorite lenses, crosscut by quartz veins from silicification. Field description: meta-sediment. XRD-identified minerals include quartz, muscovite, pyrite, clinochlore and lizardite. Mineralisation forms micro-lenses and veinlets of pyrite and chalcopyrite with serpentine, chlorite, carbonate and quartz.",,
English Petrographic and Mineragraphic Descriptions. 6.docx,1oaodEQTEk0STZ9sRQ0X9ysVSqs4arRxc,CRSO1A-104.4,CRS01A,,,104.4,double polished thin section,Carbonated and mineralised quartz vein,,Granoblastic; structure lens- and vein-like,Quartz:70-75; Carbonate:10-15; Pyrite:8-10; Goethite:1-2; Chalcopyrite:0.5-1.0,Carbonatization (carbonate veins 0.01-1.0 mm cutting quartz),"Pyrite-goethite-chalcopyrite paragenesis; euhedral pyrite 0.1-1.5 mm in lens/vein aggregates along carbonate veins, overgrown by goethite; chalcopyrite micro-grain lenses","Quartz vein of granoblastic isometric quartz (0.1-1.5 mm, undulatory extinction) cut by minor carbonate veins and lenses along which ore formation occurred. Pyrite dominates, associated with carbonate veins and rimmed by goethite; minor chalcopyrite overgrows pyrite edges.",,
English Petrographic and Mineragraphic Descriptions. 6.docx,1oaodEQTEk0STZ9sRQ0X9ysVSqs4arRxc,CRSO1A-111.8,CRS01A,,,111.8,double polished thin section,Altered plagio-rhyolite (plagio-granite porphyry),,"Porphyroblastic; groundmass felsitic, locally micro-aplitic; structure massive",Quartz:25-30; Plagioclase:10-15; K-feldspar:5-10; Biotite:8-10; Pyrite:trace; Magnetite:trace; Zircon:trace,"Plagioclase strongly altered to sericite, pelite, carbonate, muscovite; biotite locally to chlorite and rutile; epigenetic carbonate veins 0.02-0.1 mm",Pyrite-magnetite paragenesis; euhedral magnetite 0.05-0.1 mm occasionally replacing pyrite; sparse cubic pyrite 0.01-0.1 mm,"Porphyritic felsic rock with plagioclase (oligoclase An28-29, 0.8-8.5 mm) and rounded quartz phenocrysts (30-35%) in a felsitic quartz-albite-biotite groundmass with minor K-feldspar. Phenocrysts strongly sericitized/carbonatized with fresh zoned rims; rock cut by thin carbonate veins. Accessories: sphene, zircon, apatite; ore minerals magnetite and pyrite in trace amounts. Sample labelled ""111.8"" in the doc; hole CRS01A inferred from report context.",,
English Petrographic and Mineragraphic description. 15.docx (Innova Mineral),1H4Afka4AW1Irumg9EYs2XIw5n2rRa4Ga,CRSO1A-41.4,CRS01A,,,41.4,double polished thin section,Mineralised amphibole-plagioclase gneiss (formed from gabbro-diorite),Хүдэржсэн амфибол-плагиоклазат гнейс (габбро-диоритоор үүссэн),"Nematogranoblastic, relict porphyroblastic, relict hypidiomorphic; structure gneissic, lens-like",Plagioclase (albite):45-50; Actinolite:20-25; Quartz:10-15; Biotite:trace; Magnetite:5-8; Pyrrhotite:8-10; Pyrite:trace; Chalcopyrite:trace,Plagioclase completely albitized; actinolite after amphibole,"Magnetite-pyrrhotite-chalcopyrite paragenesis, evenly disseminated; magnetite replaced by pyrrhotite, pyrrhotite by chalcopyrite; euhedral pyrite in quartz aggregates; magnetite-pyrrhotite-millerite crystal noted in microphoto","Gneiss of albite, actinolite and quartz aligned in one direction (nematogranoblastic) with relict poikilitic/hypidiomorphic textures indicating a gabbro-diorite protolith. Significantly mineralized, ore minerals associated with both albite and actinolite growth; lenticular quartz granoblastic clusters host euhedral pyrite.",Innova Mineral LLC,
English Petrographic and Mineragraphic description. 15.docx (Innova Mineral),1H4Afka4AW1Irumg9EYs2XIw5n2rRa4Ga,OVD21-42.3,OVD21,,,42.3,double polished thin section,Mineralised and altered fine to medium grained peridotite with hornblende (melanocratic gabbro?),"Хүдэржиж, хувирсан жижиг дунд ширхэгтэй эвэр хуурмагт перидотит (меланократ габбро?)","Hypidiomorphic, poikilitic; structure vein-, net-like","Pyroxene:15-20; Hornblende:20-25; Altered olivine:15-20; Plagioclase:5-10; Biotite:5-10; Magnetite:3-5; Pyrrhotite:10-15; Pentlandite:trace; Chromite:trace; Chalcopyrite:1-2; Silver, PGE?:trace; Serpentine+saussurite+talc+actinolite (secondary):10-15","Serpentinization (veins along pyroxene cleavage), saussurite, talc, actinolite","Chromite-magnetite-pentlandite-pyrrhotite-chalcopyrite paragenesis; ore lenses 0.8-7.0 mm; pyrrhotite dominant, replaced by chalcopyrite; pentlandite replaced by pyrrhotite and millerite; possible PGE/white-gold group micrograins 0.005-0.01 mm","Hornblende peridotite / melanocratic gabbro dominated by monoclinic pyroxene with serpentinized olivine, brown hornblende and biotite; interstitial basic plagioclase slightly saussuritized. Strong Ni-Cu style mineralization as evenly distributed sulfide lenses linked to serpentinization of the ultramafic-mafic intrusive; high-reflectance white micrograins may be precious-metal phases requiring analysis.",Innova Mineral LLC,
English Petrographic and Mineragraphic description. 15.docx (Innova Mineral),1H4Afka4AW1Irumg9EYs2XIw5n2rRa4Ga,CRSO1A-53.4,CRS01A,,,53.4,double polished thin section,Mineralised gneiss with quartz-actinolite-albite (metasomatite formed from gabbro-diorite),Хүдэржсэн кварц-актинолит-альбитат гнейс (габбро-диоритоор үүссэн метасоматит),"Lepidonematogranoblastic, relict porphyroblastic, relict hypidiomorphic; structure gneissic, lens-vein like",Albite:35-40; Actinolite:20-25; Quartz:15-20; Biotite:5-10; Magnetite:5-8; Pyrrhotite:3-5; Pyrite:trace; Chalcopyrite:8-10; Sphalerite:trace,Plagioclase albitized; deformed granoblastic recrystallization,Pyrite-magnetite-pyrrhotite-chalcopyrite-sphalerite paragenesis evenly distributed; chalcopyrite lens-like microaggregates replacing pyrrhotite and magnetite; sphalerite with chalcopyrite inclusions,Similar to sample 41.4: albite-actinolite-biotite-quartz gneiss with relict porphyroblastic/hypidiomorphic textures after gabbro-diorite. Quartz granoblastic lens/vein zones 5-7 mm wide contain actinolite needles and ore minerals. Strongly mineralized with chalcopyrite notably abundant (8-10%).,Innova Mineral LLC,
English Petrographic and Mineragraphic description. 15.docx (Innova Mineral),1H4Afka4AW1Irumg9EYs2XIw5n2rRa4Ga,OVD21-76.6,OVD21,,,76.6,double polished thin section,"Mineralized, serpentinized, fine- to medium-grained hornblende-bearing peridotite","Хүдэржиж, серпентинжсэн жижиг дунд ширхэгтэй эвэр хуурмагтай перидотит","Relict hypidiomorphic, poikilitic, occasionally sideronitic; structure massive, net",Serpentine pseudomorphs (after olivine and pyroxene):40-45; Hornblende:20-25; Altered plagioclase:5-10; Altered mon. pyroxene:3-5; Biotite:5-8; Magnetite:8-10; Pyrrhotite:trace; Pentlandite:1-2; Chalcopyrite:trace; Pyrite:trace; Chromite:trace; Apatite:trace; Serpentine+saussurite+talc+actinolite (secondary):10-15,"Intense serpentinization (pseudomorphs with relict 6-8-sided olivine outlines), talc, actinolite, saussurite",Magnetite-pyrite-pentlandite-pyrrhotite-chalcopyrite paragenesis; ore lenses 1.0-8.0 mm; pyrrhotite dominant (0.8-6.0 mm) rimmed by chalcopyrite; fine magnetite veinlets in serpentine; minor euhedral pyrite and chromite,"Similar to sample 42.3: serpentine pseudomorphs after olivine (with relict olivine remnants) and pyroxene, strongly replaced marginally by brown hornblende; minor biotite and saussuritized plagioclase. Intense sulfide mineralization as evenly distributed lenses tied to serpentinization of the ultramafic-mafic intrusive.",Innova Mineral LLC,
