Tag,depth,hole id,Mineralization,Rock type,SEM-EDS,Lab,Petrographic determination
40579,36m,OVD-004,,spotted???,,Mireslab,Amphibole micro-gabbro
40605,91m,OVD-004,,spotted,,Mireslab,Amphibole-orthoperoxene micro-gabbro
40574,28m,OVD-004,weakly mineralized ,oxidazed gabbro,eds,Mireslab,Oxidized Amphibole gabbro
40635,53m,OVD-005,disseminate,gabbro,,Mireslab,Amphibole micro-gabbro
40645,71m,OVD-005,weakly mineralized ,gabbro,eds,Mireslab,Amphibole gabbro
40715,98.2,OVD-007,,schist,,Mireslab,Shale (weak schistosity)
40628,40.5m,OVD-005,disseminate,gabbro,,Mireslab,Amphibole gabbro
40530,157.5m,OVD-003,disseminate,gabbro,eds,Mireslab,Amphibole micro-gabbro
40899,15.5m,OVD-001,,spotted/Schist ,,Mireslab,Pelitic rock (weak schistosity)
40900,56.8m,OVD-001,nonmineralize,gabbro,,Oyunjargal,Altered fine-meduim grained biotite-amphibole gabbro
40901,20.4m,OVD-002,,oxidazed gabbro,,Mireslab,Oxidized Amphibole gabbro
40902,87.4m,OVD-002,,schist,,Mireslab,Pelitic rock
40903,7.15m,OVD-001,gossan,gossan,,Mireslab,Gossan (Iron oxide-calcite-quartz. The original lithofacies are not identification.)
40904,44.2m,OVD-002,disseminate,gabbro,eds,Mireslab,
40905,35.8m,OVD-001,,spotted,,Mireslab,Strong altered diabase
40906,126.4m,OVD-002,pyrite,schist,,Mireslab,Black schist
40907,62.4m,OVD-001,pyrite,schist,,Mireslab,Strong altered diabase
40908,8.6m,OVD-001,"cu enchired, malachite",,,Mireslab,Gossan (Copper-iron-oxide. The original lithofacies is not identified.)
40909,51.6m,OVD-002,,schist?,,Mireslab,Amphibole micro-gabbro
40910,37m,OVD-002,disseminate,gabbro,,Mireslab,Amphibole gabbro
40911,75.5m,OVD-002,,spotted,,Mireslab,Strong altered diabase
40912,137.6m,OVD-002,,schist?,,Mireslab,Black Schist (weak schistosity)
40913,68m,OVD-001,semi-massive,gabbro,,Oyunjargal,"Ore mineralized, altered fine-medium grained biotite subalkaline diorite"
40914,9.4m,OVD-001,"cu enchired, bornite",gossan,eds,Mireslab,Gossan (Iron-copper oxide. Altered Gabbro?)
40915,72m,OVD-009,disseminate,gabbro,eds,Mireslab,Altered Amphibole-Orthopyroxene micro-gabbro
40763,84.5m,OVD-008,disseminate,gabbro,,Oyunjargal,Intensively altered fine-meduim grained olivine-amphibole gabbro (melanocratic gabbro)
41011,50m,OVD-007,,Gabbro,,Khanlab,"Mineralized, fine- medium grained hornblende pyroxene melanocratic gabbro (Peridotite?) "
41012,155.3m,OVD-003,,Gabbro,,Khanlab,Porphyritic fine grained pyroxene-hornblende gabbro (Altered gabbro porphyry)
41013,40.1m,OVD-008,,Gabbro,,Khanlab,Intensive metasomatic altered gabbrodiorite porphyry
41014,195.2m,OVD-009,,Gabbro,,Khanlab,"Mineralized, altered porphyritic fine -medium grained hornblende pyroxene melanocratic gabbronorite (Peridotite?) "
41015,149.5m,OVD-009,,Gabbro,,Khanlab,Altered gabbrodiorite porphyry
41016,171.5m,OVD-009,,Gabbro,,Khanlab,Mineralized and altered fine- medium grained hornblende pyroxene melanocratic gabbronorite (Peridotite?)
41017,161m,OVD-009,,Gabbro,,Khanlab,Mineralized altered porphyritic medium-fine grained hornblende pyroxene melanocratic gabbronorite (Peridotite?)
41018,80.8m,OVD-009,,Gabbro,,Khanlab,Porphyritic fine grained pyroxene-hornblende gabbro (Altered gabbro porphyry)
41019,17.2m,OVD-009,,Gabbro,,Khanlab,Porphyritic fine-grained pyroxene-hornblende gabbro (Altered gabbro porphyry)
41020,143m,OVD-009,Mineralized,Gabbro,,Khanlab,Mineralized porphyritic fine grained hornblende-olivine-pyroxene melanocratic gabbro
41021,126.7m,OVD-009,,Gabbro,,Khanlab,"Schistose, carbonatized and intense altered gabbrodiorite-porphyry (Metasomatite by gabbrodiorite porphyry) "
41022,11.3m,OVD-009,,Gabbro,,Khanlab,Altered gabbrodiorite porphyry
41023,151.6m,OVD-009,Mineralized,Gabbro,,Khanlab,Porphyritic fine grained pyroxene hornblende gabbro (Altered gabbro porphyry)
41024,90.5m,OVD-008,,Gabbro,,Khanlab,Intense mineralized quartz diorite porphyry (Andesite-dacite)
41025,58.2m,OVD-007,,Gabbro,,Khanlab,Altered melanocratic microgabbro
41026,87.8m,OVD-007,,Gabbro,,Khanlab,Altered gabbro porphyry
41027,13.4m,OVD-005,,Gabbro,,Khanlab,Fine and medium grained olivine-hornblende- pyroxene peridotite
41028,27.3m,OVD-008,,Gabbro,,Khanlab,Porphyritic fine grained pyroxene-hornblende gabbro (Altered gabbro porphyry)
41029,60.3m,OVD-008,,Gabbro,,Khanlab,Altered porphyritic fine grained pyroxene-hornblende melanocratic gabbro (Altered melanocratic gabbro porphyry)
41030,88.9m,OVD-008,,Gabbro,,Khanlab,Porphyritic fine grained pyroxene-hornblende melanocratic gabbro (Altered melanocratic gabbro porphyry)
41031,55.9m,OVD-007,,Gabbro,,Khanlab,Porphyritic fine grained pyroxene-hornblende gabbro (Altered gabbro porphyry)
41032,39.5m,OVD-008,,Gabbro,,Khanlab,Altered porphyritic fine grained pyroxene-hornblende melanocratic gabbro (Altered melanocratic gabbro porphyry)
41033,149.8m,OVD-009,,Gabbro,,Khanlab,Altered gabbro porphyry
41034,190.8m,OVD-009,,Gabbro,,Khanlab,Porphyritic fine grained pyroxene-hornblende gabbro (Altered gabbro porphyry)
